Sub,word_ID_full,topic
losangeles,1,20-4-1
losangeles,2,6-4-1
losangeles,69,6-4-1
losangeles,75,20-4-1
losangeles,95,21-5-1
losangeles,97,10-2-1
losangeles,159,23-6-1
losangeles,165,13-6-1
losangeles,167,23-6-1
losangeles,170,23-6-1
losangeles,197,23-6-1
losangeles,217,20-4-1
losangeles,220,23-6-1
losangeles,231,2-2-1
losangeles,265,20-4-1
losangeles,270,23-6-1
losangeles,275,22-3-1
losangeles,276,20-4-1
losangeles,279,1-1-1
losangeles,285,20-4-1
losangeles,370,23-6-1
losangeles,389,2-2-1
losangeles,396,20-4-1
losangeles,400,23-6-1
losangeles,404,23-6-1
losangeles,405,20-4-1
losangeles,415,21-5-1
losangeles,416,10-2-1
losangeles,419,23-6-1
losangeles,427,10-2-1
losangeles,430,20-4-1
losangeles,431,22-3-1
losangeles,436,20-4-1
losangeles,438,20-4-1
losangeles,440,23-6-1
losangeles,444,6-4-1
losangeles,448,6-4-1
losangeles,449,20-4-1
losangeles,455,22-3-1
losangeles,460,6-4-1
losangeles,476,6-4-1
losangeles,498,21-5-1
losangeles,501,4-2-1
losangeles,502,10-2-1
losangeles,508,2-2-1
losangeles,515,6-4-1
losangeles,538,22-3-1
losangeles,539,23-6-1
losangeles,541,20-4-1
losangeles,547,20-4-1
losangeles,552,4-2-1
losangeles,553,6-4-1
losangeles,555,5-3-1
losangeles,557,2-2-1
losangeles,560,7-3-1
losangeles,561,1-1-1
losangeles,563,16-2-1
losangeles,565,10-2-1
losangeles,567,9-4-1
losangeles,570,20-4-1
losangeles,571,22-3-1
losangeles,579,2-2-1
losangeles,581,4-2-1
losangeles,585,2-2-1
losangeles,605,20-4-1
losangeles,609,23-6-1
losangeles,610,23-6-1
losangeles,615,8-4-1
losangeles,617,20-4-1
losangeles,621,10-2-1
losangeles,622,20-4-1
losangeles,628,8-4-1
losangeles,633,2-2-1
losangeles,634,17-6-1
losangeles,635,4-2-1
losangeles,637,2-2-1
losangeles,640,21-5-1
losangeles,644,20-4-1
losangeles,648,19-5-1
losangeles,659,20-4-1
losangeles,665,5-3-1
losangeles,666,8-4-1
losangeles,669,23-6-1
losangeles,670,5-3-1
losangeles,671,7-3-1
losangeles,673,20-4-1
losangeles,678,6-4-1
losangeles,681,17-6-1
losangeles,687,23-6-1
losangeles,688,23-6-1
losangeles,690,6-4-1
losangeles,806,5-3-1
losangeles,807,5-3-1
losangeles,808,23-6-1
losangeles,848,5-3-1
losangeles,911,20-4-1
losangeles,912,20-4-1
losangeles,913,20-4-1
losangeles,914,23-6-1
losangeles,937,10-2-1
losangeles,973,20-4-1
losangeles,987,2-2-1
losangeles,995,17-6-1
losangeles,999,22-3-1
losangeles,1015,6-4-1
losangeles,1018,4-2-1
losangeles,1025,2-2-1
losangeles,1027,4-2-1
losangeles,1028,10-2-1
losangeles,1033,3-2-1
losangeles,1046,12-4-1
losangeles,1048,7-3-1
losangeles,1050,8-4-1
losangeles,1052,4-2-1
losangeles,1054,10-2-1
losangeles,1055,1-1-1
losangeles,1060,4-2-1
losangeles,1062,22-3-1
losangeles,1068,4-2-1
losangeles,1069,4-2-1
losangeles,1076,6-4-1
losangeles,1090,6-4-1
losangeles,1091,19-5-1
losangeles,1099,20-4-1
losangeles,1100,23-6-1
losangeles,1111,7-3-1
losangeles,1112,23-6-1
losangeles,1113,20-4-1
losangeles,1117,12-4-1
losangeles,1124,20-4-1
losangeles,1125,13-6-1
losangeles,1129,20-4-1
losangeles,1140,16-2-1
losangeles,1149,18-1-1
losangeles,1161,23-6-1
losangeles,1164,4-2-1
losangeles,1168,18-1-1
losangeles,1171,23-6-1
losangeles,1173,18-1-1
losangeles,1174,18-1-1
losangeles,1175,4-2-1
losangeles,1176,18-1-1
losangeles,1192,2-2-1
losangeles,1193,20-4-1
losangeles,1194,20-4-1
losangeles,1195,2-2-1
losangeles,1226,21-5-1
losangeles,1227,23-6-1
losangeles,1249,20-4-1
losangeles,1251,20-4-1
losangeles,1254,1-1-1
losangeles,1297,10-2-1
losangeles,1308,6-4-1
losangeles,1317,23-6-1
losangeles,1319,8-4-1
losangeles,1322,5-3-1
losangeles,1323,8-4-1
losangeles,1336,2-2-1
losangeles,1337,7-3-1
losangeles,1338,15-3-1
losangeles,1339,15-3-1
losangeles,1341,5-3-1
losangeles,1343,4-2-1
losangeles,1344,2-2-1
losangeles,1346,23-6-1
losangeles,1358,2-2-1
losangeles,1359,10-2-1
losangeles,1360,5-3-1
losangeles,1364,20-4-1
losangeles,1366,2-2-1
losangeles,1367,6-4-1
losangeles,1368,20-4-1
losangeles,1380,7-3-1
losangeles,1399,6-4-1
losangeles,1400,12-4-1
losangeles,1402,12-4-1
losangeles,1403,12-4-1
losangeles,1411,23-6-1
losangeles,1432,6-4-1
losangeles,1458,4-2-1
losangeles,1466,22-3-1
losangeles,1476,4-2-1
losangeles,1483,5-3-1
losangeles,1493,14-1-1
losangeles,1496,4-2-1
losangeles,1499,20-4-1
losangeles,1507,4-2-1
losangeles,1512,7-3-1
losangeles,1514,6-4-1
losangeles,1516,17-6-1
losangeles,1523,5-3-1
losangeles,1524,21-5-1
losangeles,1528,20-4-1
losangeles,1529,20-4-1
losangeles,1530,6-4-1
losangeles,1535,20-4-1
losangeles,1537,2-2-1
losangeles,1578,20-4-1
losangeles,1590,4-2-1
losangeles,1591,20-4-1
losangeles,1593,20-4-1
losangeles,1597,20-4-1
losangeles,1598,20-4-1
losangeles,1601,23-6-1
losangeles,1604,6-4-1
losangeles,1606,5-3-1
losangeles,1607,8-4-1
losangeles,1642,10-2-1
losangeles,1655,5-3-1
losangeles,1668,23-6-1
losangeles,1670,23-6-1
losangeles,1692,6-4-1
losangeles,1721,13-6-1
losangeles,1723,4-2-1
losangeles,1724,16-2-1
losangeles,1725,5-3-1
losangeles,1726,20-4-1
losangeles,1727,20-4-1
losangeles,1733,5-3-1
losangeles,1741,20-4-1
losangeles,1742,10-2-1
losangeles,1744,10-2-1
losangeles,1750,6-4-1
losangeles,1753,8-4-1
losangeles,1762,10-2-1
losangeles,1763,2-2-1
losangeles,1764,20-4-1
losangeles,1765,9-4-1
losangeles,1771,21-5-1
losangeles,1785,2-2-1
losangeles,1791,2-2-1
losangeles,1795,4-2-1
losangeles,1802,5-3-1
losangeles,1803,17-6-1
losangeles,1804,23-6-1
losangeles,1820,20-4-1
losangeles,1822,10-2-1
losangeles,1825,23-6-1
losangeles,1837,20-4-1
losangeles,1854,15-3-1
losangeles,1993,7-3-1
losangeles,1996,4-2-1
losangeles,2012,5-3-1
losangeles,2014,2-2-1
losangeles,2016,4-2-1
losangeles,2029,2-2-1
losangeles,2031,20-4-1
losangeles,2037,10-2-1
losangeles,2056,21-5-1
losangeles,2058,20-4-1
losangeles,2068,20-4-1
losangeles,2070,4-2-1
losangeles,2071,6-4-1
losangeles,2072,8-4-1
losangeles,2078,23-6-1
losangeles,2106,20-4-1
losangeles,2164,20-4-1
losangeles,2173,16-2-1
losangeles,2214,6-4-1
losangeles,2247,5-3-1
losangeles,2250,22-3-1
losangeles,2263,6-4-1
losangeles,2264,6-4-1
losangeles,2266,23-6-1
losangeles,2272,15-3-1
losangeles,2293,20-4-1
losangeles,2327,16-2-1
losangeles,2337,20-4-1
losangeles,2347,6-4-1
losangeles,2462,13-6-1
losangeles,2467,20-4-1
losangeles,2478,6-4-1
losangeles,2532,20-4-1
losangeles,2546,5-3-1
losangeles,2549,6-4-1
losangeles,2551,7-3-1
losangeles,2557,7-3-1
losangeles,2589,22-3-1
losangeles,2637,10-2-1
losangeles,2644,10-2-1
losangeles,2645,6-4-1
losangeles,2653,23-6-1
losangeles,2662,10-2-1
losangeles,2663,20-4-1
losangeles,2670,8-4-1
losangeles,2673,8-4-1
losangeles,2684,6-4-1
losangeles,2685,6-4-1
losangeles,2686,8-4-1
losangeles,2687,8-4-1
losangeles,2688,6-4-1
losangeles,2692,23-6-1
losangeles,2704,10-2-1
losangeles,2719,21-5-1
losangeles,2720,10-2-1
losangeles,2727,6-4-1
losangeles,2830,12-4-1
losangeles,3003,4-2-1
losangeles,3006,2-2-1
losangeles,3076,5-3-1
losangeles,3078,5-3-1
losangeles,3079,23-6-1
losangeles,3081,20-4-1
losangeles,3083,6-4-1
losangeles,3087,22-3-1
losangeles,3090,7-3-1
losangeles,3120,20-4-1
losangeles,3133,10-2-1
losangeles,3135,8-4-1
losangeles,3160,10-2-1
losangeles,3161,10-2-1
losangeles,3237,10-2-1
losangeles,3301,4-2-1
losangeles,3302,23-6-1
losangeles,3329,6-4-1
losangeles,3330,20-4-1
losangeles,3388,20-4-1
losangeles,3394,6-4-1
losangeles,3408,7-3-1
losangeles,3409,20-4-1
losangeles,3410,7-3-1
losangeles,3411,20-4-1
losangeles,3416,10-2-1
losangeles,3463,4-2-1
losangeles,3585,17-6-1
losangeles,3588,6-4-1
losangeles,3589,6-4-1
losangeles,3590,22-3-1
losangeles,3616,20-4-1
losangeles,3617,10-2-1
losangeles,3631,7-3-1
losangeles,3637,4-2-1
losangeles,3659,20-4-1
losangeles,3668,20-4-1
losangeles,3719,20-4-1
losangeles,3720,20-4-1
losangeles,3722,20-4-1
losangeles,3753,20-4-1
losangeles,3758,23-6-1
losangeles,3760,2-2-1
losangeles,3766,7-3-1
losangeles,3799,20-4-1
losangeles,3919,12-4-1
losangeles,3935,2-2-1
losangeles,3942,23-6-1
losangeles,3951,23-6-1
losangeles,3983,8-4-1
losangeles,4012,2-2-1
losangeles,4026,8-4-1
losangeles,4027,20-4-1
losangeles,4029,20-4-1
losangeles,4037,6-4-1
losangeles,4038,9-4-1
losangeles,4039,20-4-1
