Sub,word_ID_full,topic
melbourne,1,7-4-1-1
melbourne,2,3-1-1-1
melbourne,69,3-1-1-1
melbourne,75,3-1-1-1
melbourne,95,3-1-1-1
melbourne,97,6-2-1-1
melbourne,100,3-1-1-1
melbourne,104,3-1-1-1
melbourne,124,5-3-1-1
melbourne,165,7-4-1-1
melbourne,166,4-2-1-1
melbourne,217,3-1-1-1
melbourne,220,3-1-1-1
melbourne,231,1-1-1-1
melbourne,241,2-2-1-1
melbourne,254,3-1-1-1
melbourne,264,2-2-1-1
melbourne,268,3-1-1-1
melbourne,270,3-1-1-1
melbourne,271,3-1-1-1
melbourne,275,3-1-1-1
melbourne,285,3-1-1-1
melbourne,297,7-4-1-1
melbourne,298,7-4-1-1
melbourne,303,7-4-1-1
melbourne,304,3-1-1-1
melbourne,315,3-1-1-1
melbourne,342,3-1-1-1
melbourne,355,4-2-1-1
melbourne,370,3-1-1-1
melbourne,389,2-2-1-1
melbourne,391,3-1-1-1
melbourne,392,3-1-1-1
melbourne,394,2-2-1-1
melbourne,400,7-4-1-1
melbourne,404,10-3-1-1
melbourne,415,1-1-1-1
melbourne,416,1-1-1-1
melbourne,438,11-5-1-1
melbourne,444,7-4-1-1
melbourne,449,4-2-1-1
melbourne,455,3-1-1-1
melbourne,456,3-1-1-1
melbourne,460,1-1-1-1
melbourne,462,6-2-1-1
melbourne,468,7-4-1-1
melbourne,470,3-1-1-1
melbourne,474,7-4-1-1
melbourne,476,2-2-1-1
melbourne,498,3-1-1-1
melbourne,501,4-2-1-1
melbourne,506,3-1-1-1
melbourne,508,2-2-1-1
melbourne,510,2-2-1-1
melbourne,512,3-1-1-1
melbourne,514,3-1-1-1
melbourne,515,2-2-1-1
melbourne,532,3-1-1-1
melbourne,538,4-2-1-1
melbourne,539,10-3-1-1
melbourne,541,3-1-1-1
melbourne,542,3-1-1-1
melbourne,545,3-1-1-1
melbourne,547,5-3-1-1
melbourne,548,3-1-1-1
melbourne,552,2-2-1-1
melbourne,553,6-2-1-1
melbourne,555,3-1-1-1
melbourne,557,2-2-1-1
melbourne,560,1-1-1-1
melbourne,561,13-3-1-1
melbourne,563,3-1-1-1
melbourne,565,9-2-1-1
melbourne,566,7-4-1-1
melbourne,567,8-5-1-1
melbourne,568,2-2-1-1
melbourne,570,6-2-1-1
melbourne,579,9-2-1-1
melbourne,581,9-2-1-1
melbourne,583,10-3-1-1
melbourne,585,9-2-1-1
melbourne,603,3-1-1-1
melbourne,605,10-3-1-1
melbourne,606,3-1-1-1
melbourne,608,3-1-1-1
melbourne,609,1-1-1-1
melbourne,610,11-5-1-1
melbourne,611,3-1-1-1
melbourne,613,1-1-1-1
melbourne,615,5-3-1-1
melbourne,617,3-1-1-1
melbourne,621,13-3-1-1
melbourne,622,3-1-1-1
melbourne,625,3-1-1-1
melbourne,628,4-2-1-1
melbourne,629,3-1-1-1
melbourne,633,9-2-1-1
melbourne,634,7-4-1-1
melbourne,635,7-4-1-1
melbourne,637,2-2-1-1
melbourne,638,3-1-1-1
melbourne,640,3-1-1-1
melbourne,644,2-2-1-1
melbourne,648,2-2-1-1
melbourne,654,2-2-1-1
