title,Content,type,Post_ID
Shape Of You Ed Sheeran,the club isn't the best place to find a lover so the bar is where i go me and my friends at the table doing shots drinking faster and then we talk slow come over and start up a conversation with just me and trust me i'll give it a chance now take my hand stop put van the man on the jukebox and then we start to dance and now i'm singing like girl you know i want your love your love was handmade for somebody like me come on now follow my lead i may be crazy don't mind me say boy let's not talk too much grab on my waist and put that body on me come on now follow my lead come come on now follow my lead i'm in love with the shape of you we push and pull like a magnet do although my heart is falling too i'm in love with your body and last night you were in my room and now my bedsheets smell like you every day discovering something brand new i'm in love with your body oh i oh i oh i oh i i'm in love with your body oh i oh i oh i oh i i'm in love with your body oh i oh i oh i oh i i'm in love with your body every day discovering something brand new i'm in love with the shape of you one week in we let the story begin we're going out on our first date you and me are thrifty so go all you can eat fill up your bag and i fill up a plate we talk for hours and hours about the sweet and the sour and how your family is doing okay leave and get in a taxi then kiss in the backseat tell the driver make the radio play and i'm singing like girl you know i want your love your love was handmade for somebody like me come on now follow my lead i may be crazy don't mind me say boy let's not talk too much grab on my waist and put that body on me come on now follow my lead come come on now follow my lead i'm in love with the shape of you we push and pull like a magnet do although my heart is falling too i'm in love with your body and last night you were in my room and now my bedsheets smell like you every day discovering something brand new i'm in love with your body oh i oh i oh i oh i i'm in love with your body oh i oh i oh i oh i i'm in love with your body oh i oh i oh i oh i i'm in love with your body every day discovering something brand new i'm in love with the shape of you come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on i'm in love with the shape of you we push and pull like a magnet do although my heart is falling too i'm in love with your body last night you were in my room and now my bedsheets smell like you every day discovering something brand new i'm in love with your body come on be my baby come on come on be my baby come on i'm in love with your body come on be my baby come on come on be my baby come on i'm in love with your body come on be my baby come on come on be my baby come on i'm in love with your body every day discovering something brand new i'm in love with the shape of you,Ed Sheeran,125
Castle On The Hill Ed Sheeran,when i was six years old i broke my leg i was running from my brother and his friends and tasted the sweet perfume of the mountain grass i rolled down i was younger then take me back to when i found my heart and broke it here made friends and lost them through the years and i've not seen the roaring fields in so long i know i've grown but i can't wait to go home i'm on my way driving at 90 down those country lanes singing to tiny dancer and i miss the way you make me feel and it's real we watched the sunset over the castle on the hill fifteen years old and smoking hand rolled cigarettes running from the law through the backfields and getting drunk with my friends had my first kiss on a friday night i don't reckon that i did it right but i was younger then take me back to when we found weekend jobs when we got paid we'd buy cheap spirits and drink them straight me and my friends have not thrown up in so long oh how we've grown but i can't wait to go home i'm on my way driving at 90 down those country lanes singing to tiny dancer and i miss the way you make me feel and it's real we watched the sunset over the castle on the hill over the castle on the hill over the castle on the hill one friend left to sell clothes one works down by the coast one had two kids but lives alone one's brother overdosed one's already on his second wife one's just barely getting by but these people raised me and i can't wait to go home and i'm on my way i still remember these old country lanes when we did not know the answers and i miss the way you make me feel it's real we watched the sunset over the castle on the hill over the castle on the hill over the castle on the hill,Ed Sheeran,126
How Would You Feel Ed Sheeran,you are the one girl you know that it's true i'm feeling younger every time that i'm alone with you we were sitting in a parked car stealing kisses in a front yard we got questions we shouldn't had asked but how would you feel if i told you i loved you it's just something that i want to do i'm taking my time spending my life falling deeper in love with you so tell me that you love me too in the summer as the lilacs blew blood flows deeper than a river every moment that i spend with you we were sat upon our best friend's roof i had both of my arms around you watching the sunrise replace the moon how would you feel if i told you i loved you it's just something that i want to do i'm taking my time spending my life falling deeper in love with you so tell me that you love me too we were sitting in a parked car stealing kisses in a front yard we got questions we shouldn't had asked how would you feel if i told you i loved you it's just something that i want to do i'm taking my time spending my life falling deeper in love with you so tell me that you love me too tell me that you love me too tell me that you love me too,Ed Sheeran,127
Thinking Out Loud Ed Sheeran,when your legs don't work like they used to before and i can't sweep you off of your feet will your mouth still remember the taste of my love will your eyes still smile from your cheeks and darling i will be loving you til we're 70 and baby my heart could still fall as hard at 23 and i'm thinking bout how people fall in love in mysterious ways maybe just the touch of a hand well me i fall in love with you every single day and i just wanna tell you i am so honey now take me into your loving arms kiss me under the light of a thousand stars place your head on my beating heart i'm thinking out loud that maybe we found love right where we are when my hair's all but gone and my memory fades and the crowds don't remember my name when my hands don't play the strings the same way i know you will still love me the same cause honey your soul could never grow old it's evergreen and baby your smile's forever in my mind and memory i'm thinking bout how people fall in love in mysterious ways maybe it's all part of a plan well i'll just keep on making the same mistakes hoping that you'll understand but baby now take me into your loving arms kiss me under the light of a thousand stars place your head on my beating heart thinking out loud that maybe we found love right where we are so baby now take me into your loving arms kiss me under the light of a thousand stars oh darling place your head on my beating heart i'm thinking out loud that maybe we found love right where we are oh baby we found love right where we are and we found love right where we are,Ed Sheeran,128
All Of The Stars Ed Sheeran,it's just another night and i'm staring at the moon i saw a shooting star and thought of you i sang a lullaby by the waterside and knew if you were here i'd sing to you you're on the other side as this skyline splits in two miles away from seeing you but i can see the stars from america i wonder do you see them too so open your eyes and see the way our horizons meet and all of the lights will lead into the night with me and i know these scars will bleed but both of our hearts believe all of these stars will guide us home i can hear your heart on the radio beat they're playing chasing cars and i thought of us back to the time you were laying next to me i looked across and fell in love so i took your hand back through london's streets and knew everything led back to you so can you see the stars over amsterdam hear the song our heart is beating to so open your eyes and see the way our horizons meet and all of the lights will lead into the night with me and i know these scars will bleed but both of our hearts believe all of these stars will guide us home and all and all and all i can see the stars from america,Ed Sheeran,129
Afire Love Ed Sheeran,things were all good yesterday and then the devil took your memory and if you fell to your death today i hope that heaven is your resting place i heard the doctors put your chest in pain but then that could have been the medicine and now you’re lying in the bed again either way i’ll cry with the rest of them and my father told me son it’s not his fault he doesn’t know your face and you’re not the only one although my grandma used to say that he used to sing darling hold me in your arms the way you did last night and we'll lie inside a little while he wrote i could look into your eyes until the sun comes up and we’re wrapped in light in life in love put your open lips on mine and slowly let them shut for they’re designed to be together oh with your body next to mine our hearts will beat as one and we’re set alight we’re afire love love love oh things were all good yesterday then the devil took your breath away and now we’re left here in the pain black suit black tie standin in the rain and now my family is one again stapled together with the strangers and a friend came to my mind i should paint it with a pen six years old i remember when and my father told me son it’s not his fault he doesn’t know your face and you’re not the only one although my grandma used to say he used to say darling hold me in your arms the way you did last night and we'll lie inside a little while he wrote i could look into your eyes until the sun comes up and we’re wrapped in light in life in love put your open lips on mine and slowly let them shut for they’re designed to be together oh with your body next to mine our hearts will beat as one and we’re set alight we’re afire love love love oh and my father and all of my family rise from the seats to sing hallelujah and my mother and all of my family rise from the seats to sing halellujah and my brother and all of my family rise from the seats to sing hallelujah and all of my brothers and my sisters yeah and my father and all of my family rise from the seats to sing hallelujah hallelujah hallelujah hallelujah,Ed Sheeran,130
Bibia Be Ye Ye Ed Sheeran,bibia be ye ye i lost my shoes last night i don't know where i put my keys i was tired and fell asleep beneath an oak tree i bet my mother's proud of me from each scar upon my knuckle and each grass upon my knee and all i know is i got a call and then threw up on his car seat he kicked me out and then i walked in the rain i tell myself in every way i won't be doing this again and tomorrow's a brand new day someone told me always say what's on your mind and i am only being hones wirh you i i get lonely and make mistakes from time to time so make ya if things aren't getting working out bibia be ye ye everything will be alright bibia be ye ye ye ye ye ye ye bibia be ye ye i remember less and less and mostly things i regret in my phone are several texts from girls i've never met and in the pocket of my jeans are only coins and broken dreams my heart is breaking at the and i'm coming apart now now things are looking up i'll find my shoes right down to the oak tree and i'll get a bus straight into town and spend the afternoon looking around for things that i left on the ground and say you're with me tomorrow's a brand new day someone told me always say what's on your mind and i am only being hones with you i i get lonely and make mistakes from time to time so if things aren't going well bibia be ye ye my momma be ye ye your problems will be solved my momma ye my momma be ye ye my momma ye my momma be ye ye my momma ye my momma be ye ye someone told me always say what's on your mind and i am only being hones wirh you i i get lonely and make mistakes from time to time so if things aren't going well bibia be ye ye bibia be ye ye ye ye ye ye ye bibia be ye ye my momma be ye ye my momma ye my momma be ye ye my momma ye bibia be ye ye ye ye ye ye ye my momma be ye ye my momma ye my momma be ye ye my momma ye,Ed Sheeran,131
Barcelona Ed Sheeran,well get up up on the dancefloor tonight i've got two left feet and a bottle of red wine making me feel like the beat and the bassline are in my blood both upon the waistline get on up baby dance to the rhythm of the music don't care what the dj chooses get lost in the rhythm of me please don't close until we wanna leave it you and i we’re flying on an aeroplane tonight we’re going somewhere where the sun is shining bright just close your eyes and let’s pretend in the streets of barcelona barcelona barcelona barcelona we’ll get up up on the dance floor moves it’s saturday night i fell in love with the sparkle and the moonlight reflected in your beautiful eyes i guess that is destiny making it right and just like they do in the mediterranean spin you around e again and again you’re like something that god has sent me i want you baby solamente you and i we’re flying on an aeroplane tonight we’re going somewhere where the sun is shining bright just close your eyes and let’s pretend to dance in the streets of barcelona barcelona barcelona barcelona so let’s pretend in the streets of barcelona las ramblas i’ll meet you dancing around la sagrada drinking sangria mi niña te amo mamacita rica te adoro señorita nosotros vive la vida como es vivir en barcelona las ramblas i’ll meet you come on and dance with me in barcelona drinking sangria i just want to be in barcelona mamacita rica feel that summer breeze in barcelona nosotros vive la vida siempre vivir en barcelona,Ed Sheeran,132
Bloodstream Ed Sheeran,i’ve been spinning out for time couple women by my side i got sinnin on my mind sipping on red wine i’ve been sitting here for ages ripping out the pages how'd i get so faded how'd i get so faded oh no no don’t leave me lonely now if you love me how you'll never learn ooh color crimson in my eyes one or two could free my mind this is how it ends i feel the chemicals burn in my bloodstream fading out again i feel the chemicals burn in my bloodstream so tell me when it kicks in i’ve been looking for a love thought i’d find her in a bottle god make me another one i’ll be feeling this tomorrow lord forgive me for the things i’ve done i was never meant to hurt no one i saw scars upon her broken hearted lover oh no no don’t leave me lonely now if you love me how you'll never learn ooh color crimson in my eyes one or two could free my mind this is how it ends i feel the chemicals burn in my bloodstream fading out again i feel the chemicals burn in my bloodstream so tell me when it kicks in so tell me when it kicks in all the voices in my mind calling out across the line all the voices in my mind calling out across the line all the voices in my mind calling out across the line all the voices in my mind calling out across the line all the voices in my mind calling out across the line all the voices in my mind calling out across the line tell me when it kicks in i saw scars upon her tell me when it kicks in broken hearted tell me when it kicks in i saw scars upon her tell me when it kicks in broken hearted tell me when it kicks in i saw scars upon her tell me when it kicks in broken hearted tell me when it kicks in i saw scars upon her tell me when it kicks in broken hearted so tell me when it kicks in i saw scars upon her tell me when it kicks in broken hearted tell me when it kicks in i saw scars upon her tell me when it kicks in broken hearted,Ed Sheeran,133
Don't Ed Sheeran,ah la la la la ah la la la la i met this girl late last year she said don’t you worry if i disappear i told her i’m not really looking for another mistake i called an old friend thinking that the trouble would wait but then i jump right in a week later return i reckon she was only looking for a lover to burn but i gave her my time for two or three nights then i put it on pause until the moment was right i went away for months until our paths crossed again she told me i was never looking for a friend maybe you could swing by my room around 10 baby bring a lemon and a bottle of gin we’ll be in between the sheets until the late am baby if you wanted me then you should’ve just said she’s singing ah la la la la don’t fuck with my love that heart is so cold all over my arm i don’t wanna know that babe ah la la la la don’t fuck with my love i told her she knows take aim and reload i don’t wanna know that babe ah la la la la for a couple weeks i only want to see her we drink away the days with a take away pizza before a text message was the only way to reach her now she’s staying at my place and loves the way i treat her singing out aretha all over the track like a feature never want to sleep i guess that i don’t want to either but me and her we make money the same way four cities two planes the same day those shows have never been what it’s about but maybe we’ll go together and just figure it out i’d rather put on a film with you and sit on the couch but we should get on a plane or we’ll be missing it now wish i’d have written it down the way that things played out when she was kissing him how i was confused about she should figure it out while i’m sat here singing ah la la la la don’t fuck with my love that heart is so cold all over my arm i don’t wanna know that babe ah la la la la don’t fuck with my love i told her she knows take aim and reload i don’t wanna know that babe ah la la la la knock knock knock on my hotel door i don’t even know if she knows what for she was crying on my shoulder i already told ya trust and respect is what we do this for i never intended to be next but you didn’t need to take him to bed that’s all and i never saw him as a threat until you disappeared with him to have sex of course it’s not like we were both on tour we were staying on the same fucking hotel floor and i wasn’t looking for a promise or commitment but it was never just fun and i thought you were different this is not the way you realize what you wanted it’s a bit too much too late if i’m honest all this time god knows i’m singing ah la la la la don’t fuck with my love that heart is so cold all over my arm i don’t wanna know that babe ah la la la la don’t fuck with my love i told her she knows take aim and reload i don’t wanna know that babe ah la la la la,Ed Sheeran,134
