Sub,Post_ID,Title,Date,Content
belfast,gu98o2,Things to do in Belfast During Lockdown,2020-06-01,ow restrictions lifted friends coming elfast botanic gardens distancing ny suggestions city centre
belfast,gul2c3,Why do so many Belfast people come to the north coast?,2020-06-01,ust listening lot elfast visiting hy elfast people hy tour
belfast,gulqsr,Where can I get cans of Beamish in Belfast,2020-06-02,outh scared risk border current oes pick elfast ll cheers lads
belfast,gv2m0w,Y'all a bunch of dirty bastards,2020-06-02,otanic parks morning fucking ike bins bad ike kids play theyre gonna youre bring bins hat day parks gonna bins dont evening empty bins poor clean morning
belfast,gv3gq9,Brit/swede moving to East Belfast with Irish partner wanting to know the craic with terminology and where not to go or what not to do?,2020-06-02,partner moving elfast born lived troubles lot heard lot stories ve told dont wearing dont itd play rish songs night answer move people dont dont shit ass mind business ll mind stand absolutely business matter dont reland hat walking whats craic called dont hanks
belfast,gwzxvl,Do people understand what social distancing mean?,2020-06-05,time people distance hen forward person forward lso mask people
belfast,gxs7wy,Record Player advice...,2020-06-07,ooking buy gift isnt likes idea moment house doesnt fancy ould ideally read pretty poor reviews oes advice
belfast,gxx12x,Discrimination of mental health workers,2020-06-07,eople elfast hope post research based mental health service mental health social experienced survey degree light issue experiences orthern reland support
belfast,gychd8,"Moving to Belfast next year, any tips?",2020-06-07,ll moving elfast study oes tips living abroad elfast student life guess hope hanks
belfast,gzq087,Anyone work for Citi?,2020-06-10,wondering advice happy wondering isnt post figured itd bit advice
belfast,gzvjno,Moving from London to Belfast,2020-06-10,hoping move elfast ondon months times difficult city centre ideally live half hour public transport ould recommend reasonable start house search bedroom house online difficult idea elfast reasonable distance live west elfast family est ideas ny recommendations appreciated
belfast,h0k76t,American Studying at Queens - Any Belfast Tips?,2020-06-11,ew ve ueens bit elfast tips move appreciated ont matter theyre ondon totally abroad moving service hanks advance
belfast,h0xrki,Coronavirus survey,2020-06-11,ello psychology researchers niversity ent huge fill quick survey survey takes minutes complete happy answer questions time
belfast,h7al77,Anyone looking for off campus (queens) accommodation?,2020-06-12,international student starting eptember people live pretty nice close chat
belfast,h7sqkd,Travel from Belfast to England,2020-06-13,nyone travel elfast ngland day quarantine travel rules quarantine travelling travel lso travelling ublin
belfast,h8vur1,How to get to Dublin for a 0730 flight?,2020-06-15,guys flight ublin morning stuff uni ngland covid dont car public transport
belfast,hac48x,Local T-shirt brands,2020-06-17,ey living elfast website local ot ve music scene hand people move focus based figured nyone suggestions
belfast,hao0z2,Covid situation,2020-06-17,study ueens start eptember anuary sense kinda half ow worried student experience future plan gonna people experience elfast months grateful
belfast,hapt66,Where to buy coffee beans?,2020-06-17,town bag preferably buying dont theyre public minute cafes nyone luck
belfast,har7h9,Any IT jobs,2020-06-17,ey minute jobs dont lot experience love hear love love ve love hear
belfast,hatij3,I can’t believe I ask that here but I need juice 😂,2020-06-18,ello yeah juice dont mixed juice juice elfast checked buy juice
belfast,hb5rj8,Help from a female perspective for herself,2020-06-18,ooking advice lockdown talking called lockdown stop hour hand ew amazing thinking possibly friend months hat chance thinking decent food delivery whilst mates partner kids dont bit wee day love times weeks suggestions hanks advance creative ideas time
belfast,hcgyi5,Anyone know any D&amp;D or RPG groups?,2020-06-20,shit play stuff ve learn kinda feel kinda age times online join games playing online ll honest meet people experience date quarantine love learn join game guess run people elfast
belfast,hctfgt,Any cool abandoned buildings you know of?,2020-06-21,elfast st uly visiting girlfriend university break abandoned love whilst visit abandoned absolutely oes cool isnt issue hanks
belfast,hd181r,Student housing or own apartment,2020-06-21,doesnt shit focus situation ll moving elfast ow experience student heard bit expensive worth lso recommend move hanks
belfast,hdieml,"Belfast based songwriter, anyone fancy listening to some new music?",2020-06-22,based orth elfast ve music love share whos hearing music decided set writing song songs ve home studio guitar ts fairly stuff lots music rock music stuff ve musicians elfast fancy listening music hear
belfast,hdsxsg,Help,2020-06-22,oes food delivered tomorrow morning ve food bank due current money food couple weeks ts hanks advance advice
belfast,hfugeg,Looking for a small gift that reminds my grandpa of Belfast. Any ideas?,2020-06-26,ello family elfast troubles birthday coming wee bit home born lived troubles elfast moving ueens school ut hoping hall life home family moved house idea ideas gift elfast greatly appreciated
belfast,hgfoim,Beer Gardens,2020-06-27,sit garden nder allowed elfast told pubs garden life remember email riday night
belfast,hgofiq,I'm not surprised if a second wave strikes soon,2020-06-27,yesterday wearing mask social distance white yesterday mask paying attention child child wearing child hank hy people dont care wearing social distance
belfast,hi66uu,Question about PwC Operate,2020-06-30,nyone starting ve looked couple quid hat ould nice hear opinion heers
