Sub,word_ID_full,topic
UFOs,1,2-2-1
UFOs,2,2-2-1
UFOs,7,2-2-1
UFOs,64,8-3-1
UFOs,69,40-8-1
UFOs,95,2-2-1
UFOs,97,2-2-1
UFOs,100,2-2-1
UFOs,102,2-2-1
UFOs,158,2-2-1
UFOs,165,44-11-1
UFOs,171,24-1-1
UFOs,172,45-5-1
UFOs,173,45-5-1
UFOs,174,45-5-1
UFOs,175,24-1-1
UFOs,176,24-1-1
UFOs,177,7-3-1
UFOs,178,45-5-1
UFOs,197,2-2-1
UFOs,217,2-2-1
UFOs,220,2-2-1
UFOs,229,2-2-1
UFOs,231,15-3-1
UFOs,241,2-2-1
UFOs,246,2-2-1
UFOs,265,4-2-1
UFOs,266,2-2-1
UFOs,267,2-2-1
UFOs,268,2-2-1
UFOs,270,17-6-1
UFOs,275,2-2-1
UFOs,277,2-2-1
UFOs,286,2-2-1
UFOs,297,24-1-1
UFOs,298,2-2-1
UFOs,300,2-2-1
UFOs,304,2-2-1
UFOs,305,35-11-1
UFOs,315,2-2-1
UFOs,356,2-2-1
UFOs,361,25-5-1
UFOs,389,8-3-1
UFOs,391,2-2-1
UFOs,392,20-7-1
UFOs,394,35-11-1
UFOs,400,2-2-1
UFOs,404,2-2-1
UFOs,415,2-2-1
UFOs,416,2-2-1
UFOs,417,2-2-1
UFOs,426,24-1-1
UFOs,427,48-10-1
UFOs,430,17-6-1
UFOs,432,12-5-1
UFOs,438,13-4-1
UFOs,441,2-2-1
UFOs,442,45-5-1
UFOs,444,2-2-1
UFOs,446,24-1-1
UFOs,447,29-11-1
UFOs,448,3-1-1
UFOs,449,10-3-1
UFOs,455,38-4-1
UFOs,456,10-3-1
UFOs,457,12-5-1
UFOs,460,7-3-1
UFOs,462,2-2-1
UFOs,470,2-2-1
UFOs,476,7-3-1
UFOs,487,2-2-1
UFOs,488,2-2-1
UFOs,498,2-2-1
UFOs,499,38-4-1
UFOs,501,38-4-1
UFOs,506,45-5-1
UFOs,508,2-2-1
UFOs,515,32-5-1
UFOs,537,2-2-1
UFOs,538,20-7-1
UFOs,539,20-7-1
UFOs,540,38-4-1
UFOs,541,22-9-1
UFOs,542,22-9-1
UFOs,544,38-4-1
UFOs,547,1-1-1
UFOs,552,15-3-1
UFOs,553,8-3-1
UFOs,555,7-3-1
UFOs,557,7-3-1
UFOs,560,7-3-1
UFOs,561,31-6-1
UFOs,562,10-3-1
UFOs,563,8-3-1
UFOs,565,48-10-1
UFOs,566,2-2-1
UFOs,567,21-8-1
UFOs,568,2-2-1
UFOs,571,2-2-1
UFOs,579,12-5-1
UFOs,580,2-2-1
UFOs,581,20-7-1
UFOs,582,2-2-1
UFOs,583,22-9-1
UFOs,585,5-3-1
UFOs,596,50-10-1
UFOs,599,2-2-1
UFOs,600,8-3-1
UFOs,605,2-2-1
UFOs,608,25-5-1
UFOs,609,2-2-1
UFOs,610,2-2-1
UFOs,611,2-2-1
UFOs,615,2-2-1
UFOs,617,35-11-1
UFOs,618,2-2-1
UFOs,621,8-3-1
UFOs,622,15-3-1
UFOs,623,2-2-1
UFOs,624,2-2-1
UFOs,626,27-10-1
UFOs,628,2-2-1
UFOs,629,9-4-1
UFOs,633,4-2-1
UFOs,634,11-5-1
UFOs,635,34-6-1
UFOs,640,33-6-1
UFOs,644,46-6-1
UFOs,648,5-3-1
UFOs,654,21-8-1
UFOs,657,10-3-1
UFOs,665,50-10-1
UFOs,666,37-11-1
UFOs,667,2-2-1
UFOs,668,2-2-1
UFOs,669,27-10-1
UFOs,670,29-11-1
UFOs,671,2-2-1
UFOs,673,48-10-1
UFOs,675,37-11-1
UFOs,676,2-2-1
UFOs,678,32-5-1
UFOs,679,2-2-1
UFOs,681,8-3-1
UFOs,684,6-4-1
UFOs,685,2-2-1
UFOs,687,19-7-1
UFOs,690,2-2-1
UFOs,779,2-2-1
UFOs,805,13-4-1
UFOs,806,13-4-1
UFOs,807,14-6-1
UFOs,808,30-5-1
UFOs,809,15-3-1
UFOs,812,5-3-1
UFOs,813,8-3-1
UFOs,815,2-2-1
UFOs,848,24-1-1
UFOs,849,2-2-1
UFOs,850,2-2-1
UFOs,852,29-11-1
UFOs,911,8-3-1
UFOs,912,2-2-1
UFOs,913,9-4-1
UFOs,914,6-4-1
UFOs,915,8-3-1
UFOs,916,6-4-1
UFOs,963,19-7-1
UFOs,966,12-5-1
UFOs,971,2-2-1
UFOs,973,2-2-1
UFOs,976,48-10-1
UFOs,986,31-6-1
UFOs,987,46-6-1
UFOs,988,2-2-1
UFOs,989,2-2-1
UFOs,990,31-6-1
UFOs,991,2-2-1
UFOs,1000,2-2-1
UFOs,1002,1-1-1
UFOs,1005,2-2-1
UFOs,1010,8-3-1
UFOs,1011,2-2-1
UFOs,1018,34-6-1
UFOs,1020,9-4-1
UFOs,1025,2-2-1
UFOs,1027,50-10-1
UFOs,1028,2-2-1
UFOs,1033,9-4-1
UFOs,1039,13-4-1
UFOs,1040,18-4-1
UFOs,1041,2-2-1
UFOs,1042,5-3-1
UFOs,1043,33-6-1
UFOs,1044,11-5-1
UFOs,1046,9-4-1
UFOs,1048,9-4-1
UFOs,1049,2-2-1
UFOs,1052,2-2-1
UFOs,1054,9-4-1
UFOs,1055,18-4-1
UFOs,1060,46-6-1
UFOs,1062,34-6-1
UFOs,1068,13-4-1
UFOs,1069,5-3-1
UFOs,1070,24-1-1
UFOs,1071,2-2-1
UFOs,1076,2-2-1
UFOs,1080,2-2-1
UFOs,1090,48-10-1
UFOs,1099,29-11-1
UFOs,1100,2-2-1
UFOs,1102,2-2-1
UFOs,1111,34-6-1
UFOs,1112,48-10-1
UFOs,1113,2-2-1
UFOs,1117,45-5-1
UFOs,1120,10-3-1
UFOs,1122,2-2-1
UFOs,1123,3-1-1
UFOs,1125,10-3-1
UFOs,1126,3-1-1
UFOs,1127,2-2-1
UFOs,1140,19-7-1
UFOs,1149,2-2-1
UFOs,1152,2-2-1
UFOs,1155,2-2-1
UFOs,1158,2-2-1
UFOs,1159,2-2-1
UFOs,1160,24-1-1
UFOs,1161,2-2-1
UFOs,1163,2-2-1
UFOs,1168,5-3-1
UFOs,1173,9-4-1
UFOs,1174,18-4-1
UFOs,1175,2-2-1
UFOs,1176,40-8-1
UFOs,1192,34-6-1
UFOs,1193,6-4-1
UFOs,1194,34-6-1
UFOs,1195,29-11-1
UFOs,1196,12-5-1
UFOs,1224,5-3-1
UFOs,1225,12-5-1
UFOs,1226,35-11-1
UFOs,1227,29-11-1
UFOs,1246,2-2-1
UFOs,1249,2-2-1
UFOs,1274,2-2-1
UFOs,1308,13-4-1
UFOs,1317,2-2-1
UFOs,1318,2-2-1
UFOs,1319,27-10-1
UFOs,1321,19-7-1
UFOs,1322,2-2-1
UFOs,1323,21-8-1
UFOs,1336,34-6-1
UFOs,1341,33-6-1
UFOs,1342,46-6-1
UFOs,1343,33-6-1
UFOs,1344,33-6-1
UFOs,1346,10-3-1
UFOs,1347,2-2-1
UFOs,1348,32-5-1
UFOs,1349,2-2-1
UFOs,1351,7-3-1
UFOs,1352,2-2-1
UFOs,1356,16-1-1
UFOs,1357,7-3-1
UFOs,1358,8-3-1
UFOs,1359,8-3-1
UFOs,1360,8-3-1
UFOs,1364,17-6-1
UFOs,1365,8-3-1
UFOs,1366,8-3-1
UFOs,1367,2-2-1
UFOs,1368,8-3-1
UFOs,1379,2-2-1
UFOs,1380,36-10-1
UFOs,1386,2-2-1
UFOs,1387,2-2-1
UFOs,1388,2-2-1
UFOs,1399,7-3-1
UFOs,1400,7-3-1
UFOs,1402,2-2-1
UFOs,1403,2-2-1
UFOs,1407,2-2-1
UFOs,1408,2-2-1
UFOs,1410,2-2-1
UFOs,1411,2-2-1
UFOs,1414,2-2-1
UFOs,1432,1-1-1
UFOs,1435,2-2-1
UFOs,1436,2-2-1
UFOs,1455,2-2-1
UFOs,1458,45-5-1
UFOs,1476,4-2-1
UFOs,1480,2-2-1
UFOs,1483,24-1-1
UFOs,1493,5-3-1
UFOs,1496,9-4-1
UFOs,1499,10-3-1
UFOs,1500,9-4-1
UFOs,1502,33-6-1
UFOs,1506,10-3-1
UFOs,1507,15-3-1
UFOs,1511,2-2-1
UFOs,1512,15-3-1
UFOs,1513,5-3-1
UFOs,1514,19-7-1
UFOs,1516,24-1-1
UFOs,1518,2-2-1
UFOs,1519,34-6-1
UFOs,1520,34-6-1
UFOs,1521,34-6-1
UFOs,1523,12-5-1
UFOs,1524,2-2-1
UFOs,1526,41-11-1
UFOs,1528,5-3-1
UFOs,1529,12-5-1
UFOs,1531,2-2-1
UFOs,1534,2-2-1
UFOs,1535,31-6-1
UFOs,1536,2-2-1
UFOs,1537,2-2-1
UFOs,1590,2-2-1
UFOs,1591,50-10-1
UFOs,1593,2-2-1
UFOs,1594,15-3-1
UFOs,1595,50-10-1
UFOs,1597,12-5-1
UFOs,1598,46-6-1
UFOs,1599,2-2-1
UFOs,1600,32-5-1
UFOs,1601,12-5-1
UFOs,1603,2-2-1
UFOs,1604,7-3-1
UFOs,1606,7-3-1
UFOs,1607,2-2-1
UFOs,1642,14-6-1
UFOs,1643,6-4-1
UFOs,1645,31-6-1
UFOs,1647,13-4-1
UFOs,1649,11-5-1
UFOs,1650,1-1-1
UFOs,1651,1-1-1
UFOs,1653,2-2-1
UFOs,1656,46-6-1
UFOs,1668,2-2-1
UFOs,1670,2-2-1
UFOs,1692,2-2-1
UFOs,1697,2-2-1
UFOs,1699,10-3-1
UFOs,1719,12-5-1
UFOs,1720,2-2-1
UFOs,1721,15-3-1
UFOs,1723,10-3-1
UFOs,1724,13-4-1
UFOs,1725,13-4-1
UFOs,1733,2-2-1
UFOs,1739,32-5-1
UFOs,1742,32-5-1
UFOs,1744,50-10-1
UFOs,1745,2-2-1
UFOs,1746,2-2-1
UFOs,1748,2-2-1
UFOs,1750,7-3-1
UFOs,1751,2-2-1
UFOs,1752,2-2-1
UFOs,1754,2-2-1
UFOs,1762,2-2-1
UFOs,1763,5-3-1
UFOs,1765,21-8-1
UFOs,1766,2-2-1
UFOs,1768,2-2-1
UFOs,1770,2-2-1
UFOs,1771,43-9-1
UFOs,1791,34-6-1
UFOs,1795,4-2-1
UFOs,1802,2-2-1
UFOs,1803,43-9-1
UFOs,1804,45-5-1
UFOs,1809,10-3-1
UFOs,1818,37-11-1
UFOs,1820,46-6-1
UFOs,1822,1-1-1
UFOs,1835,2-2-1
UFOs,1837,21-8-1
UFOs,1845,2-2-1
UFOs,1854,12-5-1
UFOs,1942,12-5-1
UFOs,1977,2-2-1
UFOs,1993,2-2-1
UFOs,1996,2-2-1
UFOs,2012,46-6-1
UFOs,2014,46-6-1
UFOs,2016,8-3-1
UFOs,2023,32-5-1
UFOs,2029,25-5-1
UFOs,2031,8-3-1
UFOs,2037,2-2-1
UFOs,2058,2-2-1
UFOs,2063,2-2-1
UFOs,2068,5-3-1
UFOs,2070,5-3-1
UFOs,2071,5-3-1
UFOs,2073,2-2-1
UFOs,2074,2-2-1
UFOs,2085,5-3-1
UFOs,2100,2-2-1
