Sub,word_ID_full,topic
adelaide,1,15-2-1
adelaide,69,5-1-1
adelaide,97,2-2-1
adelaide,125,3-1-1
adelaide,165,14-1-1
adelaide,169,9-1-1
adelaide,217,3-1-1
adelaide,229,3-1-1
adelaide,231,4-1-1
adelaide,241,6-1-1
adelaide,264,9-1-1
adelaide,276,3-1-1
adelaide,297,13-1-1
adelaide,303,5-1-1
adelaide,304,3-1-1
adelaide,313,3-1-1
adelaide,342,3-1-1
adelaide,389,16-1-1
adelaide,394,3-1-1
adelaide,400,3-1-1
adelaide,404,9-1-1
adelaide,415,5-1-1
adelaide,416,12-1-1
adelaide,426,7-1-1
adelaide,444,3-1-1
adelaide,449,3-1-1
adelaide,455,7-1-1
adelaide,460,10-1-1
adelaide,462,9-1-1
adelaide,474,3-1-1
adelaide,476,10-1-1
adelaide,501,5-1-1
adelaide,508,16-1-1
adelaide,532,3-1-1
adelaide,539,3-1-1
adelaide,547,14-1-1
adelaide,548,9-1-1
adelaide,552,14-1-1
adelaide,553,4-1-1
adelaide,555,3-1-1
adelaide,557,11-1-1
adelaide,560,4-1-1
adelaide,561,3-1-1
adelaide,562,9-1-1
adelaide,563,11-1-1
adelaide,565,3-1-1
adelaide,566,3-1-1
adelaide,567,8-1-1
adelaide,568,3-1-1
adelaide,570,5-1-1
adelaide,571,7-1-1
adelaide,579,6-1-1
adelaide,580,3-1-1
adelaide,581,3-1-1
adelaide,585,3-1-1
adelaide,605,4-1-1
adelaide,608,3-1-1
adelaide,609,12-1-1
adelaide,613,6-1-1
adelaide,614,9-1-1
adelaide,618,3-1-1
adelaide,622,9-1-1
adelaide,629,5-1-1
adelaide,633,11-1-1
adelaide,634,3-1-1
adelaide,635,3-1-1
adelaide,637,3-1-1
adelaide,640,3-1-1
adelaide,644,14-1-1
adelaide,648,11-1-1
adelaide,654,11-1-1
adelaide,655,16-1-1
adelaide,666,3-1-1
adelaide,667,3-1-1
adelaide,670,5-1-1
adelaide,671,14-1-1
adelaide,681,16-1-1
adelaide,685,5-1-1
