Sub,word_ID_full,topic
afl,15,51-21-4-1
afl,125,118-25-3-1
afl,137,44-17-2-1
afl,163,66-15-1-1
afl,195,51-21-4-1
afl,231,93-9-1-1
afl,400,68-9-1-1
afl,415,5-5-1-1
afl,416,13-2-1-1
afl,444,88-6-1-1
afl,460,15-2-1-1
afl,501,83-21-4-1
afl,515,76-24-4-1
afl,552,56-1-1-1
afl,553,49-20-1-1
afl,563,54-10-3-1
afl,581,99-11-1-1
afl,603,68-9-1-1
afl,633,54-10-3-1
afl,635,32-5-1-1
afl,648,15-2-1-1
afl,670,9-8-1-1
afl,671,100-4-1-1
afl,673,9-8-1-1
afl,693,32-5-1-1
afl,766,81-21-4-1
afl,772,81-21-4-1
afl,804,81-21-4-1
afl,806,105-11-1-1
afl,807,61-15-1-1
afl,826,110-24-4-1
afl,884,51-21-4-1
afl,906,23-11-1-1
afl,911,1-1-1-1
afl,920,95-21-4-1
afl,941,81-21-4-1
afl,945,95-21-4-1
afl,996,81-21-4-1
afl,1018,52-20-1-1
afl,1027,57-20-1-1
afl,1033,57-20-1-1
afl,1046,71-20-1-1
afl,1048,15-2-1-1
afl,1068,52-20-1-1
afl,1069,70-11-1-1
afl,1099,6-6-1-1
afl,1120,52-20-1-1
afl,1140,18-1-1-1
afl,1149,63-23-1-1
afl,1153,102-19-4-1
afl,1168,18-1-1-1
afl,1173,11-7-1-1
afl,1174,33-2-1-1
afl,1192,57-20-1-1
afl,1193,57-20-1-1
afl,1195,57-20-1-1
afl,1196,76-24-4-1
afl,1197,83-21-4-1
afl,1199,95-21-4-1
afl,1207,74-13-2-1
afl,1245,83-21-4-1
afl,1317,65-18-4-1
afl,1319,70-11-1-1
afl,1360,5-5-1-1
afl,1400,107-16-3-1
afl,1458,6-6-1-1
afl,1476,109-1-1-1
afl,1493,4-4-1-1
afl,1507,86-16-3-1
afl,1531,59-4-1-1
afl,1535,59-4-1-1
afl,1537,32-5-1-1
afl,1625,82-21-4-1
afl,1642,5-5-1-1
afl,1716,83-21-4-1
afl,1723,9-8-1-1
afl,1763,65-18-4-1
afl,1782,4-4-1-1
afl,1783,100-4-1-1
afl,1791,68-9-1-1
