Sub,word_ID_full,topic
anarchism,95,6-2-2-1
anarchism,97,2-2-2-1
anarchism,100,4-2-2-1
anarchism,204,10-3-1-1
anarchism,229,12-2-2-1
anarchism,231,2-2-2-1
anarchism,253,17-3-1-1
anarchism,254,12-2-2-1
anarchism,275,12-2-2-1
anarchism,276,12-2-2-1
anarchism,277,12-2-2-1
anarchism,278,12-2-2-1
anarchism,279,12-2-2-1
anarchism,280,12-2-2-1
anarchism,281,12-2-2-1
anarchism,289,17-3-1-1
anarchism,303,12-2-2-1
anarchism,316,10-3-1-1
anarchism,389,11-2-2-1
anarchism,400,7-2-2-1
anarchism,404,9-2-2-1
anarchism,415,8-2-2-1
anarchism,416,3-2-2-1
anarchism,433,19-3-1-1
anarchism,438,18-3-1-1
anarchism,444,2-2-2-1
anarchism,447,8-2-2-1
anarchism,448,5-2-2-1
anarchism,455,12-2-2-1
anarchism,460,9-2-2-1
anarchism,462,9-2-2-1
anarchism,468,9-2-2-1
anarchism,469,9-2-2-1
anarchism,470,6-2-2-1
anarchism,474,9-2-2-1
anarchism,476,9-2-2-1
anarchism,489,5-2-2-1
anarchism,499,4-2-2-1
anarchism,506,4-2-2-1
anarchism,508,4-2-2-1
anarchism,512,9-2-2-1
anarchism,552,3-2-2-1
anarchism,553,8-2-2-1
anarchism,555,17-3-1-1
anarchism,557,19-3-1-1
anarchism,560,8-2-2-1
anarchism,561,2-2-2-1
anarchism,563,4-2-2-1
anarchism,566,11-2-2-1
anarchism,567,4-2-2-1
anarchism,579,6-2-2-1
anarchism,581,5-2-2-1
anarchism,585,5-2-2-1
anarchism,621,6-2-2-1
anarchism,622,16-1-1-1
anarchism,628,1-1-1-1
anarchism,629,11-2-2-1
anarchism,633,4-2-2-1
anarchism,634,9-2-2-1
anarchism,635,7-2-2-1
anarchism,648,4-2-2-1
anarchism,665,6-2-2-1
anarchism,669,18-3-1-1
anarchism,670,11-2-2-1
anarchism,671,2-2-2-1
anarchism,673,19-3-1-1
anarchism,678,1-1-1-1
anarchism,680,9-2-2-1
anarchism,681,6-2-2-1
anarchism,685,19-3-1-1
anarchism,687,12-2-2-1
anarchism,690,17-3-1-1
anarchism,693,4-2-2-1
anarchism,766,1-1-1-1
anarchism,805,4-2-2-1
anarchism,806,2-2-2-1
anarchism,807,12-2-2-1
anarchism,809,11-2-2-1
anarchism,813,12-2-2-1
anarchism,859,1-1-1-1
anarchism,860,12-2-2-1
anarchism,881,11-2-2-1
anarchism,884,12-2-2-1
anarchism,893,1-1-1-1
anarchism,898,9-2-2-1
anarchism,911,2-2-2-1
anarchism,912,2-2-2-1
anarchism,986,12-2-2-1
anarchism,987,7-2-2-1
anarchism,990,18-3-1-1
anarchism,1002,4-2-2-1
anarchism,1018,2-2-2-1
anarchism,1020,9-2-2-1
anarchism,1025,7-2-2-1
anarchism,1027,8-2-2-1
anarchism,1033,7-2-2-1
anarchism,1046,16-1-1-1
anarchism,1048,7-2-2-1
anarchism,1049,4-2-2-1
anarchism,1050,11-2-2-1
anarchism,1052,7-2-2-1
anarchism,1054,8-2-2-1
anarchism,1055,5-2-2-1
anarchism,1060,12-2-2-1
anarchism,1062,7-2-2-1
anarchism,1068,7-2-2-1
anarchism,1069,8-2-2-1
anarchism,1097,8-2-2-1
anarchism,1099,4-2-2-1
anarchism,1120,9-2-2-1
anarchism,1125,1-1-1-1
anarchism,1140,4-2-2-1
anarchism,1149,4-2-2-1
anarchism,1159,4-2-2-1
anarchism,1161,17-3-1-1
anarchism,1164,17-3-1-1
anarchism,1168,17-3-1-1
anarchism,1173,11-2-2-1
anarchism,1174,4-2-2-1
anarchism,1192,4-2-2-1
anarchism,1193,5-2-2-1
anarchism,1194,6-2-2-1
anarchism,1195,12-2-2-1
anarchism,1196,17-3-1-1
anarchism,1199,17-3-1-1
anarchism,1226,12-2-2-1
anarchism,1246,8-2-2-1
anarchism,1249,8-2-2-1
anarchism,1266,13-4-1-1
anarchism,1293,4-2-2-1
anarchism,1310,19-3-1-1
anarchism,1319,18-3-1-1
anarchism,1334,6-2-2-1
anarchism,1336,16-1-1-1
anarchism,1338,18-3-1-1
anarchism,1341,11-2-2-1
anarchism,1342,11-2-2-1
anarchism,1346,16-1-1-1
anarchism,1350,1-1-1-1
anarchism,1351,9-2-2-1
anarchism,1360,8-2-2-1
anarchism,1366,9-2-2-1
anarchism,1367,1-1-1-1
anarchism,1399,8-2-2-1
anarchism,1400,5-2-2-1
anarchism,1402,6-2-2-1
anarchism,1403,1-1-1-1
anarchism,1410,19-3-1-1
anarchism,1441,11-2-2-1
anarchism,1458,4-2-2-1
anarchism,1476,9-2-2-1
