Sub,word_ID_full,topic
anxiety,1,147-38-4-1-1
anxiety,2,315-18-2-1-1
anxiety,4,26-16-5-1-1
anxiety,5,26-16-5-1-1
anxiety,41,289-43-2-1-1
anxiety,69,293-18-2-1-1
anxiety,75,6-5-1-1-1
anxiety,95,119-14-3-1-1
anxiety,97,209-14-3-1-1
anxiety,100,260-14-3-1-1
anxiety,102,209-14-3-1-1
anxiety,110,130-8-2-1-1
anxiety,166,169-32-5-1-1
anxiety,169,289-43-2-1-1
anxiety,170,67-29-2-1-1
anxiety,172,161-41-3-1-1
anxiety,193,321-6-4-1-1
anxiety,204,97-6-4-1-1
anxiety,217,165-17-3-1-1
anxiety,224,58-26-3-1-1
anxiety,228,130-8-2-1-1
anxiety,229,231-30-3-1-1
anxiety,231,70-28-5-1-1
anxiety,241,91-10-5-1-1
anxiety,245,58-26-3-1-1
anxiety,246,319-6-4-1-1
anxiety,248,315-18-2-1-1
anxiety,254,97-6-4-1-1
anxiety,265,195-43-2-1-1
anxiety,266,242-43-2-1-1
anxiety,268,93-2-2-1-1
anxiety,269,289-43-2-1-1
anxiety,276,319-6-4-1-1
anxiety,300,75-1-1-1-1
anxiety,301,246-26-3-1-1
anxiety,303,312-44-4-1-1
anxiety,329,229-22-4-1-1
anxiety,330,138-2-2-1-1
anxiety,335,209-14-3-1-1
anxiety,338,26-16-5-1-1
anxiety,342,319-6-4-1-1
anxiety,346,233-17-3-1-1
anxiety,348,237-15-3-1-1
anxiety,349,209-14-3-1-1
anxiety,361,26-16-5-1-1
anxiety,389,73-22-4-1-1
anxiety,391,78-1-1-1-1
anxiety,392,6-5-1-1-1
anxiety,394,299-18-2-1-1
anxiety,396,326-27-2-1-1
anxiety,400,88-33-3-1-1
anxiety,402,230-33-3-1-1
anxiety,404,77-9-5-1-1
anxiety,405,97-6-4-1-1
anxiety,409,54-16-5-1-1
anxiety,415,214-28-5-1-1
anxiety,416,3-1-1-1-1
anxiety,420,162-30-3-1-1
anxiety,421,58-26-3-1-1
anxiety,422,246-26-3-1-1
anxiety,426,75-1-1-1-1
anxiety,427,54-16-5-1-1
anxiety,430,236-17-3-1-1
anxiety,432,185-27-2-1-1
anxiety,436,130-8-2-1-1
anxiety,438,75-1-1-1-1
anxiety,444,83-1-1-1-1
anxiety,447,54-16-5-1-1
anxiety,448,292-17-3-1-1
anxiety,449,216-23-5-1-1
anxiety,455,165-17-3-1-1
anxiety,456,75-1-1-1-1
anxiety,460,260-14-3-1-1
anxiety,462,260-14-3-1-1
anxiety,468,304-36-4-1-1
anxiety,469,54-16-5-1-1
anxiety,470,206-23-5-1-1
anxiety,474,133-8-2-1-1
anxiety,476,260-14-3-1-1
anxiety,489,313-41-3-1-1
anxiety,498,225-15-3-1-1
anxiety,499,192-4-5-1-1
anxiety,501,311-13-2-1-1
anxiety,506,25-15-3-1-1
anxiety,508,252-15-3-1-1
anxiety,510,252-15-3-1-1
anxiety,512,252-15-3-1-1
anxiety,515,110-36-4-1-1
anxiety,532,7-6-4-1-1
anxiety,538,286-41-3-1-1
anxiety,539,169-32-5-1-1
anxiety,540,116-18-2-1-1
anxiety,541,315-18-2-1-1
anxiety,542,286-41-3-1-1
anxiety,547,147-38-4-1-1
