Sub,word_ID_full,topic
belfast,97,2-2-1
belfast,389,7-2-1
belfast,416,1-1-1
belfast,547,1-1-1
belfast,609,7-2-1
belfast,633,1-1-1
belfast,1018,5-2-1
belfast,1099,1-1-1
belfast,1192,3-2-1
belfast,1493,1-1-1
belfast,1537,1-1-1
belfast,1590,7-2-1
belfast,1993,3-2-1
belfast,2012,1-1-1
belfast,2031,7-2-1
belfast,2173,1-1-1
belfast,2327,5-2-1
belfast,2637,7-2-1
belfast,2686,2-2-1
belfast,3133,5-2-1
belfast,3760,1-1-1
belfast,3776,1-1-1
belfast,4230,1-1-1
belfast,4319,5-2-1
belfast,4535,4-2-1
belfast,4548,2-2-1
belfast,4842,1-1-1
belfast,5594,5-2-1
belfast,5605,5-2-1
belfast,5744,6-2-1
belfast,6067,1-1-1
belfast,6529,7-2-1
belfast,6539,7-2-1
belfast,6774,7-2-1
belfast,6778,1-1-1
belfast,6780,7-2-1
belfast,6801,1-1-1
belfast,7446,1-1-1
belfast,7670,1-1-1
belfast,8101,2-2-1
belfast,8208,1-1-1
belfast,8320,5-2-1
belfast,8799,1-1-1
belfast,9002,1-1-1
belfast,9374,3-2-1
belfast,9614,1-1-1
belfast,9625,3-2-1
belfast,9748,2-2-1
belfast,10185,1-1-1
belfast,10207,1-1-1
belfast,10322,1-1-1
belfast,10389,2-2-1
belfast,10562,5-2-1
belfast,11039,4-2-1
belfast,11105,4-2-1
belfast,11199,5-2-1
belfast,11219,5-2-1
belfast,11234,2-2-1
belfast,11274,4-2-1
belfast,11366,2-2-1
belfast,11643,5-2-1
belfast,11920,7-2-1
belfast,11955,2-2-1
belfast,12108,1-1-1
belfast,12445,5-2-1
belfast,12461,1-1-1
belfast,12542,1-1-1
belfast,12625,1-1-1
belfast,12658,1-1-1
belfast,12729,1-1-1
belfast,12956,3-2-1
belfast,13201,2-2-1
belfast,13206,2-2-1
belfast,13207,2-2-1
belfast,13263,1-1-1
belfast,13283,1-1-1
belfast,13315,2-2-1
belfast,13370,1-1-1
belfast,13621,1-1-1
belfast,13772,1-1-1
belfast,13867,3-2-1
belfast,14011,1-1-1
belfast,14192,1-1-1
belfast,14210,1-1-1
belfast,14255,1-1-1
belfast,14295,1-1-1
belfast,14301,4-2-1
belfast,14317,1-1-1
belfast,14399,1-1-1
belfast,14471,4-2-1
belfast,14476,4-2-1
belfast,14754,1-1-1
belfast,14774,1-1-1
belfast,14797,3-2-1
belfast,15080,3-2-1
belfast,15092,5-2-1
belfast,15230,5-2-1
belfast,15313,4-2-1
belfast,15448,3-2-1
belfast,15466,3-2-1
belfast,15469,7-2-1
belfast,15598,3-2-1
belfast,15632,1-1-1
belfast,15656,2-2-1
belfast,15658,1-1-1
belfast,15676,2-2-1
belfast,15699,1-1-1
belfast,15799,1-1-1
belfast,15822,6-2-1
belfast,15852,3-2-1
belfast,15876,4-2-1
belfast,16311,4-2-1
belfast,16402,3-2-1
belfast,16405,3-2-1
belfast,16446,1-1-1
belfast,16608,1-1-1
belfast,16612,5-2-1
belfast,16644,2-2-1
belfast,16797,5-2-1
belfast,16833,2-2-1
belfast,16959,5-2-1
belfast,17131,1-1-1
belfast,17231,1-1-1
belfast,17275,6-2-1
belfast,17276,5-2-1
belfast,17296,1-1-1
belfast,17301,1-1-1
belfast,17389,6-2-1
belfast,17532,1-1-1
