Sub,word_ID_full,topic
birmingham,69,37-3-1-1
birmingham,97,21-2-1-1
birmingham,231,2-2-1-1
birmingham,405,43-8-1-1
birmingham,415,37-3-1-1
birmingham,416,38-2-1-1
birmingham,552,42-6-2-1
birmingham,557,42-6-2-1
birmingham,560,23-1-1-1
birmingham,563,38-2-1-1
birmingham,633,28-4-2-1
birmingham,671,49-8-1-1
birmingham,693,4-3-1-1
birmingham,884,22-5-1-1
birmingham,940,51-1-1-1
birmingham,1027,40-2-1-1
birmingham,1046,12-5-1-1
birmingham,1054,50-1-1-1
birmingham,1055,13-6-2-1
birmingham,1069,3-3-1-1
birmingham,1099,16-3-1-1
birmingham,1140,3-3-1-1
birmingham,1149,39-4-2-1
birmingham,1168,39-4-2-1
birmingham,1173,37-3-1-1
birmingham,1174,21-2-1-1
birmingham,1192,40-2-1-1
birmingham,1193,42-6-2-1
birmingham,1293,31-8-1-1
birmingham,1476,42-6-2-1
birmingham,1483,14-7-2-1
birmingham,1493,18-3-1-1
birmingham,1496,37-3-1-1
birmingham,1528,22-5-1-1
birmingham,1537,18-3-1-1
birmingham,1724,31-8-1-1
birmingham,1763,42-6-2-1
birmingham,1765,29-6-2-1
birmingham,1795,8-2-1-1
birmingham,1822,8-2-1-1
birmingham,1993,27-2-1-1
birmingham,2012,31-8-1-1
birmingham,2014,42-6-2-1
birmingham,2070,12-5-1-1
birmingham,2089,34-5-1-1
birmingham,2173,4-3-1-1
birmingham,2247,40-2-1-1
birmingham,2250,37-3-1-1
birmingham,2264,46-6-2-1
birmingham,2296,21-2-1-1
birmingham,2327,3-3-1-1
birmingham,2462,37-3-1-1
birmingham,2536,34-5-1-1
birmingham,2637,8-2-1-1
birmingham,2686,22-5-1-1
birmingham,2829,34-5-1-1
birmingham,2865,16-3-1-1
birmingham,2887,25-2-1-1
birmingham,2889,7-6-2-1
birmingham,2909,22-5-1-1
birmingham,3006,33-5-1-1
birmingham,3237,33-5-1-1
birmingham,3357,49-8-1-1
birmingham,3400,51-1-1-1
birmingham,3637,19-2-1-1
birmingham,3700,42-6-2-1
birmingham,3760,6-2-1-1
birmingham,3763,14-7-2-1
birmingham,3766,31-8-1-1
birmingham,3822,40-2-1-1
birmingham,4038,6-2-1-1
birmingham,4138,51-1-1-1
birmingham,4230,27-2-1-1
birmingham,4319,47-7-2-1
birmingham,4345,7-6-2-1
birmingham,4366,48-8-1-1
birmingham,4432,24-8-1-1
birmingham,4535,20-2-1-1
birmingham,4858,43-8-1-1
birmingham,4859,43-8-1-1
birmingham,5155,33-5-1-1
birmingham,5330,6-2-1-1
birmingham,5437,2-2-1-1
birmingham,5439,46-6-2-1
