Sub,word_ID_full,topic
cardiff,389,2-2-1-1
cardiff,415,12-3-1-1
cardiff,416,10-4-1-1
cardiff,508,8-1-1-1
cardiff,560,3-3-1-1
cardiff,563,3-3-1-1
cardiff,567,7-4-1-1
cardiff,609,4-3-1-1
cardiff,633,8-1-1-1
cardiff,693,12-3-1-1
cardiff,1046,1-1-1-1
cardiff,1069,10-4-1-1
cardiff,1140,10-4-1-1
cardiff,1493,2-2-1-1
cardiff,1537,2-2-1-1
cardiff,1716,10-4-1-1
cardiff,1763,7-4-1-1
cardiff,1765,7-4-1-1
cardiff,1822,7-4-1-1
cardiff,1993,6-4-1-1
cardiff,2012,7-4-1-1
cardiff,2014,7-4-1-1
cardiff,2029,7-4-1-1
cardiff,2031,7-4-1-1
cardiff,2037,10-4-1-1
cardiff,2173,2-2-1-1
cardiff,2327,10-4-1-1
cardiff,2686,10-4-1-1
cardiff,3160,3-3-1-1
cardiff,3237,5-1-1-1
cardiff,3307,2-2-1-1
cardiff,3700,10-4-1-1
cardiff,3760,9-3-1-1
cardiff,3805,12-3-1-1
cardiff,4038,7-4-1-1
cardiff,4230,3-3-1-1
cardiff,4535,4-3-1-1
cardiff,4872,5-1-1-1
cardiff,4985,8-1-1-1
cardiff,5155,7-4-1-1
cardiff,5594,10-4-1-1
cardiff,5744,8-1-1-1
cardiff,5756,8-1-1-1
cardiff,5760,7-4-1-1
cardiff,6037,10-4-1-1
cardiff,6108,6-4-1-1
cardiff,6347,1-1-1-1
cardiff,6529,7-4-1-1
cardiff,6697,1-1-1-1
cardiff,6778,4-3-1-1
cardiff,6780,2-2-1-1
cardiff,6789,3-3-1-1
cardiff,6801,2-2-1-1
cardiff,6861,11-3-1-1
cardiff,6939,10-4-1-1
cardiff,7205,10-4-1-1
cardiff,7337,2-2-1-1
cardiff,7446,2-2-1-1
cardiff,7670,1-1-1-1
cardiff,8134,10-4-1-1
cardiff,8316,12-3-1-1
cardiff,8320,12-3-1-1
cardiff,8359,1-1-1-1
cardiff,9002,10-4-1-1
cardiff,9045,8-1-1-1
cardiff,9081,11-3-1-1
cardiff,9327,7-4-1-1
cardiff,9457,10-4-1-1
cardiff,9614,10-4-1-1
cardiff,9748,3-3-1-1
cardiff,10185,3-3-1-1
cardiff,10211,10-4-1-1
cardiff,10263,5-1-1-1
cardiff,10287,11-3-1-1
cardiff,10322,2-2-1-1
cardiff,10389,2-2-1-1
cardiff,10445,10-4-1-1
cardiff,10562,2-2-1-1
cardiff,10581,12-3-1-1
cardiff,10685,11-3-1-1
cardiff,10872,3-3-1-1
cardiff,10932,7-4-1-1
cardiff,11039,6-4-1-1
cardiff,11068,6-4-1-1
cardiff,11105,4-3-1-1
cardiff,11114,3-3-1-1
cardiff,11199,12-3-1-1
cardiff,11219,12-3-1-1
cardiff,11234,3-3-1-1
cardiff,11274,11-3-1-1
cardiff,11287,6-4-1-1
cardiff,11366,10-4-1-1
cardiff,11643,1-1-1-1
cardiff,11655,6-4-1-1
cardiff,11665,10-4-1-1
cardiff,11697,10-4-1-1
cardiff,11714,11-3-1-1
cardiff,11727,10-4-1-1
cardiff,11861,5-1-1-1
cardiff,11895,7-4-1-1
cardiff,11920,7-4-1-1
cardiff,11922,7-4-1-1
cardiff,11955,10-4-1-1
cardiff,12021,12-3-1-1
cardiff,12023,8-1-1-1
cardiff,12057,8-1-1-1
cardiff,12461,11-3-1-1
cardiff,12466,11-3-1-1
cardiff,12505,7-4-1-1
cardiff,12519,3-3-1-1
cardiff,12542,3-3-1-1
cardiff,12555,5-1-1-1
cardiff,12625,10-4-1-1
cardiff,12658,2-2-1-1
cardiff,12729,9-3-1-1
cardiff,13030,12-3-1-1
cardiff,13069,4-3-1-1
cardiff,13201,10-4-1-1
cardiff,13203,10-4-1-1
cardiff,13206,4-3-1-1
cardiff,13216,12-3-1-1
cardiff,13272,1-1-1-1
cardiff,13283,7-4-1-1
cardiff,13370,7-4-1-1
cardiff,13426,7-4-1-1
cardiff,13640,9-3-1-1
cardiff,13772,4-3-1-1
cardiff,13793,6-4-1-1
cardiff,13812,6-4-1-1
cardiff,13815,6-4-1-1
cardiff,13983,7-4-1-1
cardiff,14011,3-3-1-1
cardiff,14012,5-1-1-1
cardiff,14092,7-4-1-1
cardiff,14142,7-4-1-1
cardiff,14192,11-3-1-1
cardiff,14210,2-2-1-1
cardiff,14214,10-4-1-1
cardiff,14255,10-4-1-1
cardiff,14295,7-4-1-1
cardiff,14301,7-4-1-1
cardiff,14317,10-4-1-1
cardiff,14397,1-1-1-1
cardiff,14399,10-4-1-1
cardiff,14471,3-3-1-1
cardiff,14476,6-4-1-1
cardiff,14494,3-3-1-1
cardiff,14538,7-4-1-1
cardiff,14565,10-4-1-1
cardiff,14574,10-4-1-1
cardiff,14594,1-1-1-1
cardiff,14754,5-1-1-1
cardiff,14774,1-1-1-1
cardiff,14780,2-2-1-1
cardiff,14797,10-4-1-1
cardiff,14803,2-2-1-1
cardiff,15005,10-4-1-1
cardiff,15011,9-3-1-1
cardiff,15106,9-3-1-1
cardiff,15305,7-4-1-1
cardiff,15313,10-4-1-1
cardiff,15403,10-4-1-1
cardiff,15448,2-2-1-1
cardiff,15466,4-3-1-1
cardiff,15555,5-1-1-1
cardiff,15562,10-4-1-1
cardiff,15563,10-4-1-1
cardiff,15598,6-4-1-1
cardiff,15632,7-4-1-1
cardiff,15633,5-1-1-1
cardiff,15634,10-4-1-1
cardiff,15656,6-4-1-1
cardiff,15658,6-4-1-1
cardiff,15664,1-1-1-1
cardiff,15822,8-1-1-1
cardiff,15852,3-3-1-1
cardiff,15991,4-3-1-1
cardiff,16026,7-4-1-1
cardiff,16298,1-1-1-1
cardiff,16311,2-2-1-1
cardiff,16358,7-4-1-1
cardiff,16402,4-3-1-1
cardiff,16405,1-1-1-1
cardiff,16454,1-1-1-1
cardiff,16532,9-3-1-1
cardiff,16608,10-4-1-1
cardiff,16612,10-4-1-1
cardiff,16624,10-4-1-1
cardiff,16644,10-4-1-1
cardiff,16645,10-4-1-1
cardiff,16664,12-3-1-1
cardiff,16671,12-3-1-1
cardiff,16797,1-1-1-1
cardiff,16833,10-4-1-1
cardiff,16902,10-4-1-1
cardiff,16955,3-3-1-1
cardiff,16959,3-3-1-1
cardiff,16960,3-3-1-1
cardiff,16973,6-4-1-1
cardiff,17111,6-4-1-1
cardiff,17131,10-4-1-1
cardiff,17166,1-1-1-1
cardiff,17180,6-4-1-1
cardiff,17231,12-3-1-1
cardiff,17276,1-1-1-1
cardiff,17284,7-4-1-1
cardiff,17296,7-4-1-1
cardiff,17301,2-2-1-1
cardiff,17312,12-3-1-1
cardiff,17389,8-1-1-1
cardiff,17391,3-3-1-1
cardiff,17532,7-4-1-1
cardiff,17627,8-1-1-1
cardiff,17728,12-3-1-1
cardiff,17781,1-1-1-1
cardiff,17925,6-4-1-1
cardiff,17959,5-1-1-1
cardiff,17990,11-3-1-1
cardiff,18085,3-3-1-1
cardiff,18101,7-4-1-1
cardiff,18138,4-3-1-1
cardiff,18283,1-1-1-1
cardiff,18386,10-4-1-1
cardiff,18506,5-1-1-1
cardiff,18518,7-4-1-1
cardiff,18565,2-2-1-1
cardiff,18577,5-1-1-1
cardiff,18655,2-2-1-1
cardiff,18680,2-2-1-1
cardiff,18731,7-4-1-1
cardiff,18733,7-4-1-1
cardiff,18748,6-4-1-1
cardiff,18900,1-1-1-1
cardiff,18940,8-1-1-1
cardiff,19009,3-3-1-1
cardiff,19019,6-4-1-1
cardiff,19307,1-1-1-1
cardiff,19486,10-4-1-1
cardiff,19501,8-1-1-1
cardiff,19550,6-4-1-1
cardiff,19556,6-4-1-1
cardiff,19610,11-3-1-1
cardiff,19618,11-3-1-1
cardiff,19620,11-3-1-1
cardiff,19685,9-3-1-1
cardiff,19809,8-1-1-1
cardiff,19825,1-1-1-1
cardiff,19909,2-2-1-1
cardiff,19984,3-3-1-1
cardiff,20116,7-4-1-1
cardiff,20131,10-4-1-1
cardiff,20272,7-4-1-1
cardiff,20285,4-3-1-1
cardiff,20287,2-2-1-1
cardiff,20586,8-1-1-1
cardiff,20670,10-4-1-1
cardiff,20673,3-3-1-1
cardiff,20678,2-2-1-1
cardiff,20846,3-3-1-1
cardiff,20848,3-3-1-1
cardiff,20927,5-1-1-1
cardiff,20985,6-4-1-1
cardiff,21159,12-3-1-1
cardiff,21190,4-3-1-1
cardiff,21255,1-1-1-1
cardiff,21350,5-1-1-1
cardiff,21560,10-4-1-1
cardiff,21650,6-4-1-1
cardiff,21825,7-4-1-1
cardiff,21833,11-3-1-1
cardiff,22314,8-1-1-1
cardiff,22346,2-2-1-1
cardiff,22359,2-2-1-1
cardiff,22623,5-1-1-1
cardiff,22641,6-4-1-1
cardiff,22675,2-2-1-1
cardiff,22695,10-4-1-1
cardiff,22829,10-4-1-1
cardiff,22881,2-2-1-1
cardiff,22925,7-4-1-1
cardiff,22939,7-4-1-1
cardiff,23318,7-4-1-1
cardiff,23324,11-3-1-1
cardiff,23338,10-4-1-1
cardiff,23360,5-1-1-1
cardiff,23373,10-4-1-1
cardiff,23502,2-2-1-1
cardiff,23608,1-1-1-1
cardiff,23951,9-3-1-1
cardiff,23975,9-3-1-1
cardiff,24050,1-1-1-1
cardiff,24056,7-4-1-1
cardiff,24075,4-3-1-1
cardiff,24080,4-3-1-1
cardiff,24088,7-4-1-1
cardiff,24096,1-1-1-1
cardiff,24285,4-3-1-1
cardiff,24308,1-1-1-1
cardiff,24565,1-1-1-1
cardiff,24702,1-1-1-1
cardiff,24819,1-1-1-1
cardiff,24836,7-4-1-1
cardiff,24838,10-4-1-1
cardiff,25489,10-4-1-1
cardiff,25802,5-1-1-1
cardiff,25978,3-3-1-1
cardiff,26122,2-2-1-1
cardiff,26216,7-4-1-1
cardiff,26277,12-3-1-1
cardiff,26357,6-4-1-1
cardiff,26498,9-3-1-1
cardiff,26761,9-3-1-1
cardiff,26800,5-1-1-1
cardiff,27252,4-3-1-1
cardiff,27545,8-1-1-1
cardiff,27584,1-1-1-1
cardiff,27631,5-1-1-1
cardiff,27659,2-2-1-1
cardiff,27664,9-3-1-1
cardiff,27671,10-4-1-1
cardiff,27705,10-4-1-1
cardiff,27737,1-1-1-1
cardiff,27761,10-4-1-1
cardiff,28035,2-2-1-1
cardiff,28255,2-2-1-1
cardiff,28841,11-3-1-1
cardiff,29009,9-3-1-1
cardiff,29185,11-3-1-1
cardiff,29227,3-3-1-1
cardiff,29230,3-3-1-1
cardiff,29264,7-4-1-1
cardiff,29294,7-4-1-1
cardiff,29902,7-4-1-1
cardiff,29928,9-3-1-1
cardiff,29938,12-3-1-1
cardiff,29954,4-3-1-1
cardiff,30056,5-1-1-1
cardiff,30224,5-1-1-1
cardiff,30272,7-4-1-1
cardiff,30491,12-3-1-1
cardiff,30653,7-4-1-1
cardiff,30681,7-4-1-1
cardiff,30684,2-2-1-1
cardiff,30687,2-2-1-1
cardiff,30699,2-2-1-1
cardiff,30778,6-4-1-1
cardiff,30887,1-1-1-1
cardiff,30929,7-4-1-1
cardiff,30956,2-2-1-1
cardiff,30972,9-3-1-1
cardiff,31245,9-3-1-1
cardiff,31251,4-3-1-1
cardiff,31284,10-4-1-1
cardiff,31343,2-2-1-1
cardiff,31393,1-1-1-1
cardiff,31407,10-4-1-1
cardiff,31425,8-1-1-1
cardiff,31439,10-4-1-1
cardiff,31570,7-4-1-1
cardiff,31611,10-4-1-1
cardiff,31697,9-3-1-1
cardiff,31709,4-3-1-1
cardiff,31711,3-3-1-1
cardiff,31712,2-2-1-1
cardiff,31722,1-1-1-1
cardiff,31741,9-3-1-1
cardiff,31802,11-3-1-1
cardiff,31831,3-3-1-1
cardiff,31854,1-1-1-1
cardiff,32123,7-4-1-1
cardiff,32144,8-1-1-1
cardiff,32149,3-3-1-1
cardiff,32158,12-3-1-1
cardiff,32171,1-1-1-1
cardiff,32182,10-4-1-1
cardiff,32204,2-2-1-1
cardiff,32208,9-3-1-1
cardiff,32277,7-4-1-1
cardiff,32369,9-3-1-1
cardiff,32400,12-3-1-1
cardiff,32487,7-4-1-1
cardiff,32500,7-4-1-1
cardiff,32634,7-4-1-1
cardiff,32729,11-3-1-1
cardiff,32735,5-1-1-1
cardiff,32757,8-1-1-1
cardiff,32793,1-1-1-1
cardiff,32797,8-1-1-1
cardiff,32830,3-3-1-1
cardiff,32839,4-3-1-1
cardiff,32855,12-3-1-1
cardiff,33119,1-1-1-1
cardiff,33155,2-2-1-1
cardiff,33264,1-1-1-1
cardiff,33343,4-3-1-1
cardiff,33380,1-1-1-1
cardiff,33430,7-4-1-1
cardiff,33448,1-1-1-1
cardiff,33687,12-3-1-1
cardiff,33734,9-3-1-1
cardiff,33823,12-3-1-1
cardiff,33929,8-1-1-1
cardiff,34045,12-3-1-1
cardiff,34059,12-3-1-1
cardiff,34074,12-3-1-1
cardiff,34107,5-1-1-1
cardiff,34112,7-4-1-1
cardiff,34132,7-4-1-1
cardiff,34175,4-3-1-1
cardiff,34436,1-1-1-1
cardiff,34492,4-3-1-1
cardiff,34541,2-2-1-1
cardiff,34616,8-1-1-1
cardiff,34946,3-3-1-1
cardiff,35014,10-4-1-1
cardiff,35155,2-2-1-1
cardiff,35254,8-1-1-1
cardiff,35308,8-1-1-1
cardiff,35327,5-1-1-1
cardiff,35450,5-1-1-1
cardiff,35682,5-1-1-1
cardiff,35694,5-1-1-1
cardiff,35718,7-4-1-1
cardiff,35725,6-4-1-1
cardiff,35780,9-3-1-1
cardiff,35830,6-4-1-1
cardiff,35852,2-2-1-1
cardiff,35865,7-4-1-1
cardiff,35890,10-4-1-1
cardiff,35896,10-4-1-1
cardiff,36045,7-4-1-1
cardiff,36080,6-4-1-1
cardiff,36083,6-4-1-1
cardiff,36138,2-2-1-1
cardiff,36188,7-4-1-1
cardiff,36202,7-4-1-1
cardiff,36304,6-4-1-1
cardiff,36386,1-1-1-1
cardiff,36417,2-2-1-1
cardiff,36423,2-2-1-1
cardiff,36481,5-1-1-1
cardiff,36487,6-4-1-1
cardiff,36528,6-4-1-1
cardiff,36582,1-1-1-1
cardiff,36668,6-4-1-1
cardiff,36849,6-4-1-1
cardiff,36866,2-2-1-1
cardiff,36899,7-4-1-1
cardiff,36963,2-2-1-1
cardiff,37048,6-4-1-1
cardiff,37136,6-4-1-1
