Sub,word_ID_full,topic
climate,231,29-1-1
climate,426,32-1-1
climate,427,32-1-1
climate,456,22-4-1
climate,508,23-2-1
climate,538,12-2-1
climate,563,36-1-1
climate,567,22-4-1
climate,585,19-1-1
climate,633,31-2-1
climate,648,2-2-1
climate,671,20-3-1
climate,806,16-4-1
climate,850,35-3-1
climate,884,26-4-1
climate,1018,2-2-1
climate,1027,38-4-1
climate,1033,7-2-1
climate,1046,17-3-1
climate,1048,29-1-1
climate,1049,23-2-1
climate,1050,4-2-1
climate,1052,31-2-1
climate,1054,6-2-1
climate,1055,3-3-1
climate,1068,26-4-1
climate,1069,30-1-1
climate,1120,38-4-1
climate,1140,25-3-1
climate,1149,39-1-1
climate,1173,18-4-1
climate,1174,39-1-1
climate,1192,38-4-1
climate,1193,31-2-1
climate,1195,26-4-1
climate,1262,19-1-1
climate,1341,38-4-1
climate,1493,6-2-1
climate,1496,20-3-1
climate,1507,29-1-1
climate,1537,23-2-1
climate,1653,17-3-1
climate,1723,20-3-1
climate,1724,17-3-1
climate,1725,8-3-1
climate,1733,8-3-1
climate,1993,2-2-1
climate,2012,26-4-1
climate,2014,26-4-1
climate,2016,27-4-1
climate,2070,38-4-1
climate,2173,37-3-1
climate,2247,28-2-1
climate,2264,38-4-1
climate,2271,22-4-1
climate,2272,28-2-1
climate,2557,16-4-1
climate,2637,8-3-1
climate,2865,9-1-1
climate,2909,29-1-1
climate,3003,30-1-1
climate,3339,35-3-1
climate,3400,35-3-1
climate,3760,2-2-1
climate,3766,32-1-1
climate,4038,36-1-1
climate,4535,39-1-1
climate,4538,32-1-1
climate,4640,27-4-1
climate,4842,38-4-1
climate,4844,37-3-1
climate,4883,6-2-1
climate,4970,19-1-1
climate,5155,31-2-1
climate,5215,16-4-1
climate,5437,28-2-1
climate,5439,15-3-1
climate,5491,21-2-1
climate,5606,11-1-1
climate,5632,9-1-1
climate,5744,5-4-1
climate,5830,23-2-1
climate,6108,2-2-1
climate,6236,2-2-1
climate,6509,19-1-1
climate,6606,29-1-1
climate,6697,5-4-1
climate,6774,1-1-1
climate,6778,3-3-1
climate,6780,3-3-1
climate,6801,23-2-1
climate,6835,21-2-1
climate,6854,31-2-1
climate,6902,32-1-1
climate,7141,32-1-1
climate,7296,37-3-1
climate,7446,2-2-1
climate,7528,31-2-1
climate,7536,28-2-1
climate,7543,25-3-1
climate,7637,38-4-1
climate,7670,12-2-1
climate,7815,2-2-1
climate,8236,37-3-1
climate,8256,36-1-1
climate,8273,23-2-1
climate,8276,17-3-1
climate,8281,8-3-1
climate,8289,29-1-1
climate,8369,28-2-1
climate,8605,28-2-1
climate,8763,28-2-1
climate,8980,17-3-1
climate,9256,16-4-1
climate,9286,14-3-1
climate,9300,27-4-1
climate,9421,18-4-1
climate,9428,16-4-1
climate,9462,20-3-1
climate,9464,20-3-1
climate,9573,19-1-1
climate,9603,31-2-1
climate,9625,31-2-1
climate,9745,20-3-1
climate,9750,16-4-1
climate,9820,31-2-1
climate,10033,31-2-1
climate,10080,22-4-1
climate,10185,23-2-1
climate,10211,9-1-1
climate,10251,1-1-1
climate,10256,31-2-1
climate,10322,21-2-1
climate,10389,5-4-1
climate,10390,7-2-1
climate,10445,2-2-1
climate,10562,6-2-1
climate,10581,31-2-1
climate,10932,23-2-1
climate,11039,2-2-1
climate,11140,20-3-1
climate,11643,39-1-1
climate,11654,23-2-1
climate,11655,17-3-1
climate,11665,28-2-1
climate,11712,11-1-1
climate,11714,11-1-1
climate,11940,31-2-1
climate,11955,15-3-1
climate,12016,1-1-1
climate,12110,37-3-1
climate,12184,12-2-1
climate,12188,21-2-1
climate,12191,31-2-1
climate,12444,31-2-1
climate,12445,2-2-1
climate,12492,19-1-1
climate,12502,15-3-1
climate,12555,26-4-1
climate,12577,32-1-1
climate,12658,22-4-1
climate,12777,15-3-1
climate,13030,31-2-1
climate,13069,8-3-1
climate,13201,5-4-1
climate,13216,23-2-1
climate,13283,12-2-1
climate,13772,16-4-1
climate,13775,31-2-1
climate,13867,12-2-1
climate,13983,1-1-1
climate,14008,13-1-1
climate,14011,36-1-1
climate,14012,29-1-1
climate,14016,27-4-1
climate,14164,32-1-1
climate,14210,5-4-1
climate,14214,5-4-1
climate,14295,13-1-1
climate,14301,1-1-1
climate,14386,15-3-1
climate,14439,12-2-1
climate,14471,4-2-1
climate,14476,22-4-1
climate,14494,1-1-1
climate,14552,31-2-1
climate,14558,27-4-1
climate,14597,19-1-1
climate,14704,30-1-1
climate,14711,2-2-1
climate,14749,32-1-1
climate,14754,29-1-1
climate,14763,33-1-1
climate,14764,35-3-1
climate,14774,2-2-1
climate,14797,29-1-1
climate,14803,23-2-1
climate,14917,11-1-1
climate,15027,23-2-1
climate,15029,37-3-1
climate,15086,28-2-1
climate,15103,10-2-1
climate,15106,12-2-1
climate,15167,17-3-1
climate,15198,37-3-1
climate,15249,11-1-1
climate,15260,29-1-1
climate,15290,12-2-1
climate,15331,16-4-1
climate,15401,17-3-1
climate,15423,31-2-1
climate,15427,5-4-1
climate,15448,4-2-1
climate,15466,24-2-1
climate,15469,17-3-1
climate,15505,28-2-1
climate,15508,23-2-1
climate,15547,11-1-1
climate,15583,37-3-1
climate,15632,11-1-1
climate,15633,11-1-1
climate,15634,19-1-1
climate,15656,22-4-1
climate,15724,20-3-1
climate,15726,8-3-1
climate,15728,14-3-1
climate,15822,28-2-1
climate,15834,19-1-1
climate,15852,12-2-1
climate,15991,26-4-1
climate,15998,2-2-1
climate,16197,6-2-1
climate,16203,19-1-1
climate,16261,29-1-1
climate,16294,3-3-1
climate,16298,6-2-1
climate,16305,31-2-1
climate,16311,15-3-1
climate,16333,37-3-1
climate,16358,3-3-1
climate,16362,3-3-1
climate,16402,5-4-1
climate,16446,11-1-1
climate,16449,8-3-1
climate,16525,24-2-1
climate,16527,14-3-1
climate,16528,35-3-1
climate,16608,7-2-1
climate,16624,31-2-1
climate,16651,8-3-1
climate,16726,11-1-1
climate,16735,14-3-1
climate,16736,14-3-1
climate,16902,14-3-1
climate,16939,2-2-1
climate,16955,22-4-1
climate,16973,2-2-1
climate,17059,21-2-1
climate,17070,35-3-1
climate,17131,28-2-1
climate,17166,5-4-1
climate,17180,2-2-1
climate,17192,1-1-1
climate,17215,26-4-1
climate,17231,10-2-1
climate,17275,26-4-1
climate,17276,25-3-1
climate,17296,1-1-1
climate,17301,1-1-1
climate,17311,32-1-1
climate,17312,12-2-1
climate,17315,23-2-1
climate,17317,17-3-1
climate,17356,19-1-1
climate,17360,32-1-1
climate,17389,10-2-1
climate,17391,17-3-1
climate,17402,16-4-1
climate,17451,31-2-1
climate,17520,39-1-1
climate,17521,28-2-1
climate,17523,22-4-1
climate,17531,15-3-1
climate,17532,22-4-1
climate,17537,28-2-1
climate,17563,28-2-1
climate,17609,37-3-1
climate,17781,21-2-1
climate,17804,26-4-1
climate,17836,17-3-1
climate,17841,15-3-1
climate,17848,17-3-1
climate,17849,29-1-1
climate,17853,28-2-1
climate,17856,31-2-1
climate,17868,1-1-1
climate,17870,32-1-1
climate,17879,3-3-1
climate,17901,2-2-1
climate,17923,2-2-1
climate,17959,34-1-1
climate,17980,21-2-1
climate,17984,2-2-1
climate,17989,12-2-1
climate,17990,12-2-1
climate,18037,25-3-1
climate,18054,3-3-1
climate,18071,29-1-1
climate,18085,17-3-1
climate,18088,37-3-1
climate,18089,22-4-1
climate,18128,10-2-1
climate,18130,35-3-1
climate,18131,23-2-1
climate,18132,8-3-1
climate,18138,13-1-1
climate,18149,25-3-1
climate,18183,12-2-1
climate,18192,31-2-1
climate,18208,5-4-1
climate,18219,32-1-1
climate,18224,11-1-1
climate,18244,31-2-1
climate,18283,14-3-1
climate,18288,14-3-1
climate,18293,20-3-1
climate,18363,17-3-1
climate,18373,20-3-1
climate,18417,13-1-1
climate,18429,17-3-1
climate,18506,21-2-1
climate,18515,19-1-1
climate,18518,19-1-1
climate,18650,38-4-1
climate,18655,21-2-1
climate,18680,22-4-1
climate,18704,16-4-1
climate,18731,14-3-1
climate,18930,21-2-1
climate,18931,6-2-1
climate,18934,12-2-1
climate,18936,36-1-1
climate,18937,6-2-1
climate,18956,30-1-1
climate,18961,1-1-1
climate,19051,38-4-1
climate,19063,17-3-1
climate,19104,29-1-1
climate,19107,29-1-1
climate,19280,19-1-1
climate,19486,23-2-1
climate,19501,10-2-1
climate,19556,9-1-1
climate,19610,20-3-1
climate,19614,23-2-1
climate,19685,22-4-1
climate,19701,31-2-1
climate,19752,19-1-1
climate,19753,18-4-1
climate,19809,3-3-1
climate,19825,16-4-1
climate,19909,17-3-1
climate,19984,17-3-1
climate,20069,37-3-1
climate,20116,38-4-1
climate,20128,30-1-1
climate,20149,15-3-1
climate,20168,19-1-1
