Sub,word_ID_full,topic
climateskeptics,391,45-2-2-1-1
climateskeptics,416,1-1-1-1-1
climateskeptics,426,9-3-2-1-1
climateskeptics,427,37-1-1-1-1
climateskeptics,432,1-1-1-1-1
climateskeptics,508,29-1-1-1-1
climateskeptics,512,6-5-1-1-1
climateskeptics,552,22-1-1-1-1
climateskeptics,557,29-1-1-1-1
climateskeptics,579,31-8-2-1-1
climateskeptics,633,46-5-1-1-1
climateskeptics,671,29-1-1-1-1
climateskeptics,673,4-1-1-1-1
climateskeptics,766,25-8-2-1-1
climateskeptics,806,26-8-2-1-1
climateskeptics,807,1-1-1-1-1
climateskeptics,850,39-7-2-1-1
climateskeptics,859,34-2-2-1-1
climateskeptics,884,6-5-1-1-1
climateskeptics,1018,22-1-1-1-1
climateskeptics,1027,10-5-1-1-1
climateskeptics,1033,1-1-1-1-1
climateskeptics,1046,13-4-2-1-1
climateskeptics,1050,44-7-2-1-1
climateskeptics,1052,28-5-1-1-1
climateskeptics,1054,27-5-1-1-1
climateskeptics,1055,4-1-1-1-1
climateskeptics,1069,29-1-1-1-1
climateskeptics,1099,13-4-2-1-1
climateskeptics,1140,25-8-2-1-1
climateskeptics,1149,22-1-1-1-1
climateskeptics,1173,29-1-1-1-1
climateskeptics,1174,41-9-3-1-1
climateskeptics,1192,4-1-1-1-1
climateskeptics,1258,33-2-2-1-1
climateskeptics,1319,40-2-2-1-1
climateskeptics,1323,40-2-2-1-1
climateskeptics,1360,26-8-2-1-1
climateskeptics,1400,26-8-2-1-1
climateskeptics,1512,12-5-1-1-1
climateskeptics,1653,44-7-2-1-1
climateskeptics,1655,44-7-2-1-1
climateskeptics,1723,4-1-1-1-1
climateskeptics,1765,38-8-2-1-1
climateskeptics,1984,35-6-2-1-1
climateskeptics,1993,43-6-2-1-1
climateskeptics,2014,6-5-1-1-1
climateskeptics,2016,28-5-1-1-1
climateskeptics,2173,16-4-2-1-1
climateskeptics,2247,5-1-1-1-1
climateskeptics,2264,26-8-2-1-1
climateskeptics,2273,48-2-2-1-1
climateskeptics,2327,37-1-1-1-1
climateskeptics,2422,41-9-3-1-1
climateskeptics,2543,35-6-2-1-1
climateskeptics,2637,9-3-2-1-1
climateskeptics,2865,1-1-1-1-1
climateskeptics,3003,43-6-2-1-1
climateskeptics,3080,17-1-1-1-1
climateskeptics,3081,1-1-1-1-1
climateskeptics,3082,17-1-1-1-1
climateskeptics,3400,36-6-2-1-1
climateskeptics,3637,42-7-2-1-1
climateskeptics,3766,31-8-2-1-1
climateskeptics,4038,31-8-2-1-1
climateskeptics,4041,24-8-2-1-1
climateskeptics,4048,48-2-2-1-1
climateskeptics,4058,48-2-2-1-1
climateskeptics,4272,38-8-2-1-1
climateskeptics,4319,2-2-2-1-1
climateskeptics,4498,2-2-2-1-1
climateskeptics,4535,25-8-2-1-1
climateskeptics,4538,13-4-2-1-1
climateskeptics,4842,52-7-2-1-1
climateskeptics,4844,52-7-2-1-1
climateskeptics,4883,29-1-1-1-1
climateskeptics,4949,35-6-2-1-1
climateskeptics,5004,23-5-1-1-1
climateskeptics,5215,23-5-1-1-1
climateskeptics,5437,12-5-1-1-1
climateskeptics,5439,5-1-1-1-1
climateskeptics,5491,24-8-2-1-1
climateskeptics,5550,46-5-1-1-1
climateskeptics,5606,25-8-2-1-1
climateskeptics,5632,40-2-2-1-1
climateskeptics,5744,27-5-1-1-1
climateskeptics,5830,22-1-1-1-1
climateskeptics,5912,28-5-1-1-1
climateskeptics,6067,35-6-2-1-1
climateskeptics,6236,23-5-1-1-1
climateskeptics,6710,20-2-2-1-1
climateskeptics,6725,10-5-1-1-1
climateskeptics,6729,10-5-1-1-1
climateskeptics,6778,23-5-1-1-1
climateskeptics,6801,22-1-1-1-1
climateskeptics,6835,10-5-1-1-1
climateskeptics,6854,43-6-2-1-1
climateskeptics,6939,13-4-2-1-1
climateskeptics,7141,26-8-2-1-1
climateskeptics,7205,35-6-2-1-1
climateskeptics,7296,21-7-2-1-1
climateskeptics,7446,23-5-1-1-1
climateskeptics,7528,41-9-3-1-1
climateskeptics,7536,17-1-1-1-1
climateskeptics,7543,17-1-1-1-1
climateskeptics,7637,26-8-2-1-1
climateskeptics,7670,38-8-2-1-1
climateskeptics,7804,2-2-2-1-1
climateskeptics,7806,2-2-2-1-1
climateskeptics,7815,2-2-2-1-1
climateskeptics,8208,27-5-1-1-1
climateskeptics,8236,7-6-2-1-1
climateskeptics,8256,46-5-1-1-1
climateskeptics,8273,46-5-1-1-1
climateskeptics,8276,13-4-2-1-1
climateskeptics,8605,35-6-2-1-1
climateskeptics,8801,28-5-1-1-1
climateskeptics,8949,10-5-1-1-1
climateskeptics,8980,24-8-2-1-1
climateskeptics,9002,48-2-2-1-1
climateskeptics,9172,33-2-2-1-1
