Sub,word_ID_full,topic
conservatives,95,1-1
conservatives,231,1-1
conservatives,277,1-1
conservatives,303,1-1
conservatives,415,1-1
conservatives,416,1-1
conservatives,444,1-1
conservatives,460,1-1
conservatives,474,1-1
conservatives,552,1-1
conservatives,553,1-1
conservatives,560,1-1
conservatives,563,1-1
conservatives,633,1-1
conservatives,634,1-1
conservatives,635,1-1
conservatives,644,1-1
conservatives,648,1-1
conservatives,671,1-1
conservatives,681,1-1
conservatives,685,1-1
conservatives,690,1-1
conservatives,693,1-1
conservatives,806,1-1
conservatives,807,1-1
conservatives,808,1-1
conservatives,881,1-1
conservatives,884,1-1
conservatives,941,1-1
conservatives,1018,1-1
conservatives,1025,1-1
conservatives,1027,1-1
conservatives,1033,1-1
conservatives,1046,1-1
conservatives,1048,1-1
conservatives,1052,1-1
conservatives,1068,1-1
conservatives,1069,1-1
conservatives,1099,1-1
conservatives,1140,1-1
conservatives,1149,1-1
conservatives,1168,1-1
conservatives,1174,1-1
conservatives,1192,1-1
conservatives,1341,1-1
conservatives,1346,1-1
conservatives,1360,1-1
conservatives,1366,1-1
conservatives,1483,1-1
conservatives,1493,1-1
conservatives,1507,1-1
conservatives,1537,1-1
conservatives,1604,1-1
conservatives,1606,1-1
conservatives,1607,1-1
conservatives,1713,1-1
conservatives,1763,1-1
conservatives,1795,1-1
conservatives,1993,1-1
conservatives,2012,1-1
conservatives,2016,1-1
conservatives,2029,1-1
conservatives,2031,1-1
conservatives,2068,1-1
conservatives,2070,1-1
conservatives,2173,1-1
conservatives,2247,1-1
conservatives,2250,1-1
conservatives,2266,1-1
conservatives,2327,1-1
conservatives,2462,1-1
conservatives,2524,1-1
conservatives,2589,1-1
conservatives,2637,1-1
conservatives,2865,1-1
conservatives,3315,1-1
conservatives,3400,1-1
conservatives,3463,1-1
conservatives,3520,1-1
conservatives,3585,1-1
conservatives,3588,1-1
conservatives,3589,1-1
conservatives,3668,1-1
conservatives,3760,1-1
conservatives,3766,1-1
conservatives,3811,1-1
conservatives,4038,1-1
conservatives,4066,1-1
conservatives,4246,1-1
conservatives,4319,1-1
conservatives,4340,1-1
conservatives,4358,1-1
conservatives,4366,1-1
conservatives,4535,1-1
conservatives,5280,1-1
conservatives,5330,1-1
conservatives,5439,1-1
conservatives,5606,1-1
conservatives,5627,1-1
conservatives,5663,1-1
conservatives,5744,1-1
conservatives,5835,1-1
conservatives,5905,1-1
conservatives,5987,1-1
conservatives,6067,1-1
conservatives,6228,1-1
conservatives,6236,1-1
conservatives,6611,1-1
conservatives,6697,1-1
conservatives,6709,1-1
conservatives,6710,1-1
conservatives,6729,1-1
conservatives,6773,1-1
conservatives,6774,1-1
conservatives,6778,1-1
conservatives,6779,1-1
conservatives,6780,1-1
conservatives,6788,1-1
conservatives,6821,1-1
conservatives,6835,1-1
conservatives,6844,1-1
conservatives,6939,1-1
conservatives,7205,1-1
conservatives,7446,1-1
conservatives,7488,1-1
conservatives,7528,1-1
conservatives,7529,1-1
conservatives,7533,1-1
conservatives,7535,1-1
conservatives,7536,1-1
conservatives,7543,1-1
conservatives,7578,1-1
conservatives,7670,1-1
conservatives,7742,1-1
conservatives,7800,1-1
conservatives,7835,1-1
conservatives,7838,1-1
conservatives,7992,1-1
conservatives,8041,1-1
conservatives,8043,1-1
conservatives,8045,1-1
conservatives,8097,1-1
conservatives,8134,1-1
conservatives,8188,1-1
conservatives,8208,1-1
conservatives,8273,1-1
conservatives,8276,1-1
conservatives,8369,1-1
conservatives,8424,1-1
conservatives,8427,1-1
conservatives,8429,1-1
conservatives,8433,1-1
conservatives,8513,1-1
conservatives,8516,1-1
conservatives,8570,1-1
conservatives,8605,1-1
conservatives,8799,1-1
conservatives,8839,1-1
conservatives,8846,1-1
conservatives,8862,1-1
conservatives,8911,1-1
conservatives,8980,1-1
conservatives,8981,1-1
conservatives,9002,1-1
conservatives,9235,1-1
conservatives,9256,1-1
conservatives,9374,1-1
conservatives,9421,1-1
conservatives,9500,1-1
conservatives,9554,1-1
conservatives,9556,1-1
conservatives,9567,1-1
conservatives,9573,1-1
conservatives,9603,1-1
conservatives,9604,1-1
conservatives,9606,1-1
conservatives,9609,1-1
conservatives,9614,1-1
conservatives,9622,1-1
conservatives,9625,1-1
conservatives,9649,1-1
conservatives,9668,1-1
conservatives,9816,1-1
conservatives,9829,1-1
conservatives,10049,1-1
conservatives,10185,1-1
conservatives,10211,1-1
conservatives,10256,1-1
conservatives,10287,1-1
conservatives,10322,1-1
conservatives,10389,1-1
conservatives,10445,1-1
conservatives,10452,1-1
conservatives,10562,1-1
conservatives,10581,1-1
conservatives,10638,1-1
conservatives,10665,1-1
conservatives,10780,1-1
conservatives,10808,1-1
conservatives,10869,1-1
conservatives,10872,1-1
conservatives,10932,1-1
conservatives,10954,1-1
conservatives,11039,1-1
conservatives,11168,1-1
conservatives,11171,1-1
conservatives,11180,1-1
conservatives,11185,1-1
conservatives,11191,1-1
conservatives,11253,1-1
conservatives,11256,1-1
conservatives,11274,1-1
conservatives,11639,1-1
conservatives,11643,1-1
conservatives,11653,1-1
conservatives,11654,1-1
conservatives,11655,1-1
conservatives,11716,1-1
conservatives,11830,1-1
conservatives,11849,1-1
conservatives,11851,1-1
conservatives,11895,1-1
conservatives,12016,1-1
conservatives,12023,1-1
conservatives,12043,1-1
conservatives,12110,1-1
conservatives,12111,1-1
conservatives,12114,1-1
conservatives,12118,1-1
conservatives,12121,1-1
conservatives,12139,1-1
conservatives,12188,1-1
conservatives,12406,1-1
conservatives,12407,1-1
conservatives,12409,1-1
conservatives,12444,1-1
conservatives,12452,1-1
