Sub,word_ID_full,topic
conspiracy,1,167-87-7-1-1
conspiracy,9,806-90-6-1-1
conspiracy,14,693-3-3-1-1
conspiracy,15,490-15-11-1-1
conspiracy,23,270-102-6-1-1
conspiracy,27,603-33-16-1-1
conspiracy,28,441-65-6-1-1
conspiracy,33,773-113-6-1-1
conspiracy,48,678-77-14-1-1
conspiracy,53,793-109-5-1-1
conspiracy,57,693-3-3-1-1
conspiracy,63,643-109-5-1-1
conspiracy,68,188-90-6-1-1
conspiracy,69,804-70-9-1-1
conspiracy,70,443-103-11-1-1
conspiracy,75,79-56-10-1-1
conspiracy,84,717-50-10-1-1
conspiracy,86,707-52-6-1-1
conspiracy,89,490-15-11-1-1
conspiracy,95,275-54-13-2-1
conspiracy,97,296-20-13-2-1
conspiracy,100,647-54-13-2-1
conspiracy,102,472-51-13-2-1
conspiracy,104,748-116-7-1-1
conspiracy,113,523-99-19-1-1
conspiracy,119,614-107-11-1-1
conspiracy,120,441-65-6-1-1
conspiracy,127,64-52-6-1-1
conspiracy,128,808-114-4-3-1
conspiracy,129,806-90-6-1-1
conspiracy,130,660-12-1-1-1
conspiracy,131,441-65-6-1-1
conspiracy,133,147-79-4-3-1
conspiracy,136,443-103-11-1-1
conspiracy,138,614-107-11-1-1
conspiracy,139,614-107-11-1-1
conspiracy,140,807-65-6-1-1
conspiracy,141,443-103-11-1-1
conspiracy,142,443-103-11-1-1
conspiracy,143,443-103-11-1-1
conspiracy,144,443-103-11-1-1
conspiracy,148,443-103-11-1-1
conspiracy,153,569-112-6-1-1
conspiracy,154,257-81-10-1-1
conspiracy,155,518-3-3-1-1
conspiracy,156,737-121-18-3-1
conspiracy,157,748-116-7-1-1
conspiracy,158,96-25-15-1-1
conspiracy,159,96-25-15-1-1
conspiracy,165,430-100-5-1-1
conspiracy,166,781-13-9-1-1
conspiracy,167,606-105-5-1-1
conspiracy,168,141-54-13-2-1
conspiracy,169,257-81-10-1-1
conspiracy,170,792-13-9-1-1
conspiracy,171,649-113-6-1-1
conspiracy,172,649-113-6-1-1
conspiracy,173,649-113-6-1-1
conspiracy,174,335-90-6-1-1
conspiracy,175,649-113-6-1-1
conspiracy,176,649-113-6-1-1
conspiracy,177,649-113-6-1-1
conspiracy,178,335-90-6-1-1
conspiracy,179,431-110-19-1-1
conspiracy,180,155-83-3-1-1
conspiracy,185,441-65-6-1-1
conspiracy,186,442-63-6-1-1
conspiracy,187,765-77-14-1-1
conspiracy,188,777-62-6-1-1
conspiracy,190,444-48-14-1-1
conspiracy,193,489-12-1-1-1
conspiracy,196,232-50-10-1-1
conspiracy,197,333-96-6-1-1
conspiracy,199,765-77-14-1-1
conspiracy,200,570-2-2-2-1
conspiracy,203,542-116-7-1-1
conspiracy,204,765-77-14-1-1
conspiracy,209,448-69-11-1-1
conspiracy,217,134-46-2-2-1
conspiracy,219,484-50-10-1-1
conspiracy,220,502-3-3-1-1
conspiracy,224,497-118-2-2-1
conspiracy,229,477-102-6-1-1
conspiracy,230,700-71-13-2-1
conspiracy,231,413-27-17-2-1
conspiracy,233,60-48-14-1-1
conspiracy,234,324-105-5-1-1
conspiracy,241,69-8-7-1-1
conspiracy,246,460-4-2-2-1
conspiracy,249,520-32-7-1-1
conspiracy,251,273-99-19-1-1
conspiracy,255,60-48-14-1-1
conspiracy,256,389-107-11-1-1
conspiracy,257,164-62-6-1-1
conspiracy,258,233-33-16-1-1
conspiracy,265,317-24-14-1-1
conspiracy,266,727-48-14-1-1
conspiracy,268,792-13-9-1-1
conspiracy,270,742-116-7-1-1
conspiracy,271,578-52-6-1-1
conspiracy,275,531-94-3-1-1
conspiracy,276,195-4-2-2-1
conspiracy,277,354-3-3-1-1
conspiracy,278,220-16-7-1-1
conspiracy,279,195-4-2-2-1
conspiracy,280,596-82-11-1-1
conspiracy,281,596-82-11-1-1
conspiracy,284,441-65-6-1-1
conspiracy,285,769-112-6-1-1
conspiracy,286,652-65-6-1-1
conspiracy,289,516-12-1-1-1
conspiracy,291,420-68-5-1-1
conspiracy,292,721-48-14-1-1
conspiracy,300,656-118-2-2-1
conspiracy,301,497-118-2-2-1
conspiracy,302,424-11-15-1-1
conspiracy,303,497-118-2-2-1
conspiracy,304,497-118-2-2-1
conspiracy,305,274-97-9-1-1
conspiracy,307,809-107-11-1-1
conspiracy,308,542-116-7-1-1
conspiracy,313,229-65-6-1-1
conspiracy,315,727-48-14-1-1
conspiracy,316,75-55-3-1-1
conspiracy,324,643-109-5-1-1
conspiracy,327,79-56-10-1-1
conspiracy,329,329-46-2-2-1
conspiracy,331,71-46-2-2-1
conspiracy,332,365-2-2-2-1
conspiracy,336,764-91-19-1-1
conspiracy,337,314-38-17-2-1
conspiracy,338,455-9-8-2-1
conspiracy,340,10-10-8-2-1
conspiracy,344,424-11-15-1-1
conspiracy,352,38-32-7-1-1
conspiracy,353,726-26-16-1-1
conspiracy,354,727-48-14-1-1
conspiracy,356,769-112-6-1-1
conspiracy,361,757-77-14-1-1
conspiracy,364,442-63-6-1-1
conspiracy,366,389-107-11-1-1
conspiracy,370,442-63-6-1-1
conspiracy,371,686-101-2-2-1
conspiracy,373,652-65-6-1-1
conspiracy,377,490-15-11-1-1
conspiracy,381,489-12-1-1-1
conspiracy,389,758-103-11-1-1
conspiracy,390,456-61-1-1-1
conspiracy,391,447-62-6-1-1
conspiracy,392,510-8-7-1-1
conspiracy,394,527-70-9-1-1
conspiracy,395,591-52-6-1-1
conspiracy,400,232-50-10-1-1
conspiracy,404,482-64-13-2-1
conspiracy,405,456-61-1-1-1
conspiracy,406,60-48-14-1-1
conspiracy,415,29-27-17-2-1
conspiracy,416,152-38-17-2-1
conspiracy,417,764-91-19-1-1
conspiracy,418,570-2-2-2-1
conspiracy,419,580-44-1-1-1
conspiracy,422,634-79-4-3-1
conspiracy,424,443-103-11-1-1
conspiracy,425,147-79-4-3-1
conspiracy,426,37-27-17-2-1
conspiracy,427,812-13-9-1-1
