Sub,word_ID_full,topic
edinburgh,97,23-2-1-1
edinburgh,229,19-7-1-1
edinburgh,389,6-2-1-1
edinburgh,415,1-1-1-1
edinburgh,416,1-1-1-1
edinburgh,460,3-3-1-1
edinburgh,508,22-5-1-1
edinburgh,547,19-7-1-1
edinburgh,552,1-1-1-1
edinburgh,557,22-5-1-1
edinburgh,560,13-8-1-1
edinburgh,561,30-2-1-1
edinburgh,563,5-3-1-1
edinburgh,567,16-3-1-1
edinburgh,579,17-6-1-1
edinburgh,581,3-3-1-1
edinburgh,605,27-4-1-1
edinburgh,609,20-9-1-1
edinburgh,633,2-2-1-1
edinburgh,671,23-2-1-1
edinburgh,693,24-7-1-1
edinburgh,884,24-7-1-1
edinburgh,1025,32-4-1-1
edinburgh,1027,24-7-1-1
edinburgh,1046,32-4-1-1
edinburgh,1054,36-4-1-1
edinburgh,1055,24-7-1-1
edinburgh,1069,1-1-1-1
edinburgh,1099,5-3-1-1
edinburgh,1140,30-2-1-1
edinburgh,1149,38-9-1-1
edinburgh,1174,16-3-1-1
edinburgh,1192,2-2-1-1
edinburgh,1476,16-3-1-1
edinburgh,1483,20-9-1-1
edinburgh,1493,13-8-1-1
edinburgh,1528,14-3-1-1
edinburgh,1535,24-7-1-1
edinburgh,1537,8-5-1-1
edinburgh,1590,1-1-1-1
edinburgh,1692,23-2-1-1
edinburgh,1724,14-3-1-1
edinburgh,1733,22-5-1-1
edinburgh,1763,30-2-1-1
edinburgh,1765,1-1-1-1
edinburgh,1795,1-1-1-1
edinburgh,1822,16-3-1-1
edinburgh,1993,16-3-1-1
edinburgh,1996,12-5-1-1
edinburgh,2012,30-2-1-1
edinburgh,2014,18-2-1-1
edinburgh,2029,18-2-1-1
edinburgh,2031,18-2-1-1
edinburgh,2037,16-3-1-1
edinburgh,2070,33-2-1-1
edinburgh,2173,1-1-1-1
edinburgh,2247,12-5-1-1
edinburgh,2250,33-2-1-1
edinburgh,2294,10-7-1-1
edinburgh,2327,24-7-1-1
edinburgh,2462,3-3-1-1
edinburgh,2513,12-5-1-1
edinburgh,2517,27-4-1-1
edinburgh,2587,24-7-1-1
edinburgh,2637,1-1-1-1
edinburgh,2644,30-2-1-1
edinburgh,2686,21-6-1-1
edinburgh,2830,38-9-1-1
edinburgh,2866,28-7-1-1
edinburgh,3076,32-4-1-1
edinburgh,3083,23-2-1-1
edinburgh,3160,10-7-1-1
edinburgh,3237,32-4-1-1
edinburgh,3297,8-5-1-1
edinburgh,3490,35-2-1-1
edinburgh,3498,13-8-1-1
edinburgh,3508,3-3-1-1
edinburgh,3700,4-4-1-1
edinburgh,3760,1-1-1-1
edinburgh,3766,24-7-1-1
edinburgh,3805,16-3-1-1
edinburgh,3983,1-1-1-1
edinburgh,3985,17-6-1-1
edinburgh,4012,34-6-1-1
edinburgh,4038,22-5-1-1
edinburgh,4040,19-7-1-1
edinburgh,4063,16-3-1-1
edinburgh,4218,28-7-1-1
edinburgh,4230,27-4-1-1
edinburgh,4236,5-3-1-1
edinburgh,4300,17-6-1-1
edinburgh,4319,35-2-1-1
edinburgh,4362,3-3-1-1
edinburgh,4366,28-7-1-1
edinburgh,4438,28-7-1-1
edinburgh,4535,1-1-1-1
edinburgh,4640,28-7-1-1
edinburgh,4842,1-1-1-1
edinburgh,4844,22-5-1-1
edinburgh,4872,17-6-1-1
edinburgh,4985,20-9-1-1
edinburgh,5155,1-1-1-1
edinburgh,5330,3-3-1-1
edinburgh,5439,19-7-1-1
edinburgh,5491,22-5-1-1
edinburgh,5594,27-4-1-1
edinburgh,5627,1-1-1-1
edinburgh,5664,16-3-1-1
edinburgh,5668,29-7-1-1
edinburgh,5744,29-7-1-1
edinburgh,5747,33-2-1-1
edinburgh,5756,24-7-1-1
edinburgh,5760,13-8-1-1
edinburgh,5835,13-8-1-1
edinburgh,6067,22-5-1-1
edinburgh,6108,22-5-1-1
edinburgh,6191,19-7-1-1
edinburgh,6236,1-1-1-1
edinburgh,6347,1-1-1-1
edinburgh,6513,4-4-1-1
edinburgh,6529,8-5-1-1
edinburgh,6596,20-9-1-1
edinburgh,6658,29-7-1-1
edinburgh,6697,28-7-1-1
edinburgh,6710,14-3-1-1
edinburgh,6718,24-7-1-1
edinburgh,6725,14-3-1-1
edinburgh,6729,21-6-1-1
edinburgh,6765,28-7-1-1
edinburgh,6774,2-2-1-1
edinburgh,6778,22-5-1-1
edinburgh,6780,22-5-1-1
edinburgh,6781,37-9-1-1
edinburgh,6789,16-3-1-1
edinburgh,6790,19-7-1-1
edinburgh,6801,13-8-1-1
edinburgh,6808,22-5-1-1
edinburgh,6835,36-4-1-1
edinburgh,6837,3-3-1-1
edinburgh,6847,23-2-1-1
edinburgh,6861,22-5-1-1
edinburgh,6939,35-2-1-1
edinburgh,7205,1-1-1-1
edinburgh,7242,32-4-1-1
edinburgh,7256,32-4-1-1
edinburgh,7324,21-6-1-1
edinburgh,7446,1-1-1-1
edinburgh,7670,35-2-1-1
edinburgh,7698,24-7-1-1
edinburgh,8000,3-3-1-1
edinburgh,8093,16-3-1-1
edinburgh,8096,1-1-1-1
edinburgh,8097,1-1-1-1
edinburgh,8101,9-6-1-1
edinburgh,8134,17-6-1-1
edinburgh,8208,10-7-1-1
edinburgh,8273,24-7-1-1
edinburgh,8276,24-7-1-1
edinburgh,8316,32-4-1-1
edinburgh,8320,32-4-1-1
edinburgh,8359,25-4-1-1
edinburgh,8473,34-6-1-1
edinburgh,8539,13-8-1-1
edinburgh,8632,25-4-1-1
edinburgh,8799,9-6-1-1
edinburgh,8887,34-6-1-1
edinburgh,8937,30-2-1-1
edinburgh,8959,28-7-1-1
edinburgh,8980,1-1-1-1
edinburgh,8983,1-1-1-1
edinburgh,9002,7-3-1-1
edinburgh,9035,3-3-1-1
edinburgh,9045,20-9-1-1
edinburgh,9081,13-8-1-1
edinburgh,9172,22-5-1-1
edinburgh,9256,23-2-1-1
edinburgh,9286,35-2-1-1
edinburgh,9320,4-4-1-1
edinburgh,9370,31-4-1-1
edinburgh,9421,3-3-1-1
edinburgh,9457,1-1-1-1
edinburgh,9462,31-4-1-1
edinburgh,9548,35-2-1-1
edinburgh,9603,28-7-1-1
edinburgh,9614,19-7-1-1
edinburgh,9619,3-3-1-1
edinburgh,9625,22-5-1-1
edinburgh,9668,38-9-1-1
edinburgh,9687,10-7-1-1
edinburgh,9748,9-6-1-1
edinburgh,10101,1-1-1-1
edinburgh,10118,13-8-1-1
edinburgh,10185,11-5-1-1
edinburgh,10211,1-1-1-1
edinburgh,10223,21-6-1-1
edinburgh,10224,36-4-1-1
edinburgh,10287,1-1-1-1
edinburgh,10322,11-5-1-1
edinburgh,10327,3-3-1-1
edinburgh,10360,12-5-1-1
edinburgh,10389,1-1-1-1
edinburgh,10439,16-3-1-1
edinburgh,10445,1-1-1-1
edinburgh,10511,2-2-1-1
edinburgh,10562,24-7-1-1
edinburgh,10581,3-3-1-1
edinburgh,10644,21-6-1-1
edinburgh,10872,1-1-1-1
edinburgh,10932,22-5-1-1
edinburgh,11039,11-5-1-1
edinburgh,11068,23-2-1-1
edinburgh,11105,15-2-1-1
edinburgh,11114,25-4-1-1
edinburgh,11191,3-3-1-1
edinburgh,11199,16-3-1-1
edinburgh,11224,28-7-1-1
edinburgh,11234,30-2-1-1
edinburgh,11250,30-2-1-1
edinburgh,11274,35-2-1-1
edinburgh,11286,4-4-1-1
edinburgh,11287,4-4-1-1
edinburgh,11306,1-1-1-1
edinburgh,11366,13-8-1-1
edinburgh,11643,11-5-1-1
edinburgh,11654,22-5-1-1
edinburgh,11655,1-1-1-1
edinburgh,11660,30-2-1-1
edinburgh,11665,13-8-1-1
edinburgh,11690,23-2-1-1
edinburgh,11697,23-2-1-1
edinburgh,11714,23-2-1-1
edinburgh,11732,9-6-1-1
edinburgh,11742,25-4-1-1
edinburgh,11807,4-4-1-1
edinburgh,11861,13-8-1-1
edinburgh,11895,18-2-1-1
edinburgh,11920,18-2-1-1
edinburgh,11922,13-8-1-1
edinburgh,11955,27-4-1-1
edinburgh,12021,4-4-1-1
edinburgh,12023,10-7-1-1
edinburgh,12057,33-2-1-1
edinburgh,12166,27-4-1-1
edinburgh,12188,28-7-1-1
edinburgh,12191,12-5-1-1
edinburgh,12231,36-4-1-1
edinburgh,12421,3-3-1-1
edinburgh,12444,1-1-1-1
edinburgh,12445,22-5-1-1
edinburgh,12461,21-6-1-1
edinburgh,12466,21-6-1-1
edinburgh,12484,2-2-1-1
edinburgh,12505,30-2-1-1
edinburgh,12519,15-2-1-1
edinburgh,12542,15-2-1-1
edinburgh,12618,3-3-1-1
edinburgh,12621,19-7-1-1
edinburgh,12625,27-4-1-1
edinburgh,12658,1-1-1-1
edinburgh,12693,23-2-1-1
edinburgh,12729,3-3-1-1
edinburgh,12892,33-2-1-1
edinburgh,12899,37-9-1-1
edinburgh,12906,24-7-1-1
edinburgh,12918,34-6-1-1
edinburgh,12958,6-2-1-1
edinburgh,12966,24-7-1-1
edinburgh,13030,19-7-1-1
edinburgh,13037,4-4-1-1
edinburgh,13038,24-7-1-1
edinburgh,13112,23-2-1-1
edinburgh,13181,27-4-1-1
edinburgh,13201,10-7-1-1
edinburgh,13203,13-8-1-1
edinburgh,13206,13-8-1-1
edinburgh,13207,27-4-1-1
edinburgh,13216,10-7-1-1
edinburgh,13263,22-5-1-1
edinburgh,13270,13-8-1-1
edinburgh,13272,22-5-1-1
edinburgh,13280,10-7-1-1
edinburgh,13283,19-7-1-1
edinburgh,13293,16-3-1-1
edinburgh,13322,1-1-1-1
edinburgh,13323,27-4-1-1
edinburgh,13343,5-3-1-1
edinburgh,13370,1-1-1-1
edinburgh,13376,32-4-1-1
edinburgh,13406,28-7-1-1
edinburgh,13426,32-4-1-1
edinburgh,13431,14-3-1-1
edinburgh,13437,3-3-1-1
edinburgh,13448,27-4-1-1
edinburgh,13482,3-3-1-1
edinburgh,13572,3-3-1-1
edinburgh,13576,25-4-1-1
edinburgh,13581,12-5-1-1
edinburgh,13612,3-3-1-1
edinburgh,13621,1-1-1-1
edinburgh,13627,6-2-1-1
edinburgh,13634,27-4-1-1
edinburgh,13640,3-3-1-1
edinburgh,13651,29-7-1-1
edinburgh,13737,17-6-1-1
edinburgh,13772,19-7-1-1
edinburgh,13775,1-1-1-1
edinburgh,13793,26-2-1-1
edinburgh,13812,14-3-1-1
edinburgh,13815,15-2-1-1
edinburgh,13850,36-4-1-1
edinburgh,13870,3-3-1-1
edinburgh,13898,17-6-1-1
edinburgh,13983,8-5-1-1
edinburgh,14008,10-7-1-1
edinburgh,14011,23-2-1-1
edinburgh,14012,32-4-1-1
edinburgh,14013,35-2-1-1
edinburgh,14016,1-1-1-1
edinburgh,14058,16-3-1-1
edinburgh,14092,15-2-1-1
edinburgh,14192,21-6-1-1
edinburgh,14198,34-6-1-1
