Sub,word_ID_full,topic
formula1,57,502-67-6-1-1
formula1,59,50-25-8-2-1
formula1,61,502-67-6-1-1
formula1,72,436-49-2-2-1
formula1,95,47-18-8-2-1
formula1,97,312-24-2-2-1
formula1,100,96-45-5-3-1
formula1,158,246-3-3-3-1
formula1,206,518-89-12-4-1
formula1,229,217-47-4-2-1
formula1,231,104-34-10-3-1
formula1,236,227-76-9-3-1
formula1,258,390-61-11-3-1
formula1,300,338-77-13-3-1
formula1,301,312-24-2-2-1
formula1,361,47-18-8-2-1
formula1,389,219-41-7-3-1
formula1,392,3-3-3-3-1
formula1,400,77-40-9-3-1
formula1,404,445-96-10-3-1
formula1,415,266-16-8-2-1
formula1,416,453-25-8-2-1
formula1,427,216-3-3-3-1
formula1,444,85-12-4-2-1
formula1,450,172-59-10-3-1
formula1,460,281-43-1-1-1
formula1,489,390-61-11-3-1
formula1,498,460-84-10-3-1
formula1,501,66-12-4-2-1
formula1,508,273-22-7-3-1
formula1,515,456-96-10-3-1
formula1,526,227-76-9-3-1
formula1,538,3-3-3-3-1
formula1,539,224-71-3-3-1
formula1,541,251-14-3-3-1
formula1,542,211-14-3-3-1
formula1,546,375-89-12-4-1
formula1,547,124-45-5-3-1
formula1,548,27-21-5-3-1
formula1,552,215-12-4-2-1
formula1,553,21-5-3-3-1
formula1,557,11-11-3-3-1
formula1,560,66-12-4-2-1
formula1,563,181-23-5-3-1
formula1,567,446-22-7-3-1
formula1,579,224-71-3-3-1
formula1,581,271-61-11-3-1
formula1,585,224-71-3-3-1
formula1,601,300-81-10-3-1
formula1,605,463-82-13-3-1
formula1,615,460-84-10-3-1
formula1,621,47-18-8-2-1
formula1,622,77-40-9-3-1
formula1,626,154-47-4-2-1
formula1,633,321-4-4-2-1
formula1,635,175-43-1-1-1
formula1,640,338-77-13-3-1
formula1,648,36-17-1-1-1
formula1,666,154-47-4-2-1
formula1,670,254-14-3-3-1
formula1,671,348-68-10-3-1
formula1,673,348-68-10-3-1
formula1,678,281-43-1-1-1
formula1,681,175-43-1-1-1
formula1,690,121-52-15-1-1
formula1,691,389-30-9-3-1
formula1,692,373-77-13-3-1
formula1,693,36-17-1-1-1
formula1,701,514-94-18-4-1
formula1,702,515-94-18-4-1
formula1,703,515-94-18-4-1
formula1,704,514-94-18-4-1
formula1,705,515-94-18-4-1
formula1,706,515-94-18-4-1
formula1,707,519-94-18-4-1
formula1,708,515-94-18-4-1
formula1,709,519-94-18-4-1
formula1,710,514-94-18-4-1
formula1,711,515-94-18-4-1
formula1,712,515-94-18-4-1
formula1,713,519-94-18-4-1
formula1,714,514-94-18-4-1
formula1,715,515-94-18-4-1
formula1,716,514-94-18-4-1
formula1,717,519-94-18-4-1
formula1,718,514-94-18-4-1
formula1,719,514-94-18-4-1
formula1,720,515-94-18-4-1
formula1,721,514-94-18-4-1
formula1,722,515-94-18-4-1
formula1,723,515-94-18-4-1
formula1,724,515-94-18-4-1
formula1,725,519-94-18-4-1
formula1,726,515-94-18-4-1
formula1,727,519-94-18-4-1
formula1,728,514-94-18-4-1
formula1,729,515-94-18-4-1
formula1,730,515-94-18-4-1
formula1,731,519-94-18-4-1
formula1,732,514-94-18-4-1
formula1,733,515-94-18-4-1
formula1,734,514-94-18-4-1
formula1,735,519-94-18-4-1
formula1,736,514-94-18-4-1
formula1,752,384-87-12-4-1
formula1,761,490-56-15-1-1
formula1,766,54-1-1-1-1
formula1,806,33-26-4-2-1
formula1,807,400-62-11-3-1
formula1,808,375-89-12-4-1
formula1,809,156-47-4-2-1
formula1,813,47-18-8-2-1
formula1,814,496-54-10-3-1
formula1,859,127-55-16-4-1
formula1,870,197-67-6-1-1
formula1,871,519-94-18-4-1
formula1,872,179-65-18-4-1
formula1,873,397-76-9-3-1
formula1,881,281-43-1-1-1
formula1,884,476-92-6-1-1
formula1,898,280-2-2-2-1
formula1,902,157-61-11-3-1
formula1,911,171-50-7-3-1
formula1,912,208-6-2-2-1
formula1,929,404-76-9-3-1
formula1,980,250-78-11-3-1
formula1,986,5-5-3-3-1
formula1,987,226-14-3-3-1
formula1,989,300-81-10-3-1
formula1,1018,114-25-8-2-1
formula1,1020,12-12-4-2-1
formula1,1025,92-7-5-3-1
formula1,1027,290-3-3-3-1
formula1,1033,175-43-1-1-1
formula1,1039,292-79-3-3-1
formula1,1040,292-79-3-3-1
formula1,1046,56-35-7-3-1
formula1,1048,58-12-4-2-1
formula1,1049,175-43-1-1-1
formula1,1054,194-66-5-3-1
formula1,1055,281-43-1-1-1
formula1,1062,339-19-5-3-1
formula1,1068,518-89-12-4-1
formula1,1069,145-4-4-2-1
formula1,1090,216-3-3-3-1
formula1,1099,51-25-8-2-1
formula1,1120,453-25-8-2-1
formula1,1125,229-14-3-3-1
formula1,1127,172-59-10-3-1
formula1,1138,211-14-3-3-1
formula1,1140,148-18-8-2-1
formula1,1149,407-57-15-1-1
formula1,1159,28-22-7-3-1
formula1,1168,415-4-4-2-1
formula1,1173,370-6-2-2-1
