Sub,word_ID_full,topic
houston,97,64-1-1-1-1
houston,231,23-3-3-1-1
houston,405,32-12-2-1-1
houston,415,54-7-3-1-1
houston,416,31-6-3-1-1
houston,444,36-7-3-1-1
houston,460,8-7-3-1-1
houston,476,23-3-3-1-1
houston,501,38-11-3-1-1
houston,552,49-1-1-1-1
houston,553,48-2-2-1-1
houston,557,2-2-2-1-1
houston,560,45-4-1-1-1
houston,563,33-3-3-1-1
houston,579,29-11-3-1-1
houston,581,62-9-1-1-1
houston,633,2-2-2-1-1
houston,634,9-8-1-1-1
houston,635,9-8-1-1-1
houston,648,56-15-2-1-1
houston,671,10-13-1-1-1
houston,681,9-8-1-1-1
houston,693,34-7-3-1-1
houston,766,35-1-1-1-1
houston,788,4-4-1-1-1
houston,806,52-12-2-1-1
houston,884,41-15-2-1-1
houston,920,23-3-3-1-1
houston,940,53-4-1-1-1
houston,987,62-9-1-1-1
houston,999,61-5-1-1-1
houston,1002,46-11-3-1-1
houston,1018,36-7-3-1-1
houston,1025,38-11-3-1-1
houston,1027,9-8-1-1-1
houston,1033,9-8-1-1-1
houston,1046,39-3-3-1-1
houston,1048,23-3-3-1-1
houston,1054,54-7-3-1-1
houston,1055,36-7-3-1-1
houston,1068,24-10-1-1-1
houston,1069,18-3-3-1-1
houston,1099,6-6-3-1-1
houston,1140,56-15-2-1-1
houston,1149,23-3-3-1-1
houston,1161,53-4-1-1-1
houston,1168,23-3-3-1-1
houston,1173,6-6-3-1-1
houston,1174,39-3-3-1-1
houston,1192,48-2-2-1-1
houston,1193,23-3-3-1-1
houston,1293,34-7-3-1-1
houston,1317,46-11-3-1-1
houston,1334,57-7-3-1-1
houston,1358,57-7-3-1-1
houston,1399,51-1-1-1-1
houston,1400,53-4-1-1-1
houston,1458,23-3-3-1-1
houston,1476,54-7-3-1-1
houston,1483,13-10-1-1-1
houston,1493,22-13-1-1-1
houston,1496,37-5-1-1-1
houston,1507,18-3-3-1-1
houston,1529,40-5-1-1-1
houston,1535,13-10-1-1-1
houston,1537,11-3-3-1-1
houston,1590,10-13-1-1-1
houston,1707,57-7-3-1-1
houston,1713,28-14-1-1-1
houston,1723,30-14-1-1-1
houston,1724,53-4-1-1-1
houston,1742,45-4-1-1-1
houston,1763,39-3-3-1-1
houston,1765,22-13-1-1-1
houston,1795,27-6-3-1-1
houston,1822,16-11-3-1-1
houston,1854,34-7-3-1-1
houston,1993,14-4-1-1-1
houston,1996,17-12-2-1-1
houston,2012,53-4-1-1-1
houston,2014,61-5-1-1-1
houston,2016,9-8-1-1-1
houston,2029,2-2-2-1-1
houston,2031,13-10-1-1-1
houston,2037,13-10-1-1-1
houston,2070,51-1-1-1-1
houston,2162,14-4-1-1-1
houston,2173,31-6-3-1-1
houston,2247,23-3-3-1-1
houston,2250,23-3-3-1-1
houston,2264,9-8-1-1-1
houston,2327,39-3-3-1-1
houston,2394,38-11-3-1-1
houston,2462,50-15-2-1-1
houston,2546,67-8-1-1-1
houston,2559,1-14-1-1-1
houston,2589,42-13-1-1-1
houston,2637,35-1-1-1-1
houston,2670,62-9-1-1-1
houston,2686,62-9-1-1-1
houston,2829,50-15-2-1-1
houston,2830,25-9-1-1-1
houston,2865,43-9-1-1-1
houston,2885,57-7-3-1-1
houston,2909,25-9-1-1-1
houston,2962,43-9-1-1-1
houston,3003,42-13-1-1-1
houston,3133,23-3-3-1-1
houston,3160,57-7-3-1-1
houston,3237,36-7-3-1-1
houston,3301,49-1-1-1-1
houston,3357,1-14-1-1-1
houston,3368,37-5-1-1-1
houston,3400,27-6-3-1-1
houston,3463,51-1-1-1-1
houston,3560,54-7-3-1-1
houston,3581,2-2-2-1-1
houston,3613,32-12-2-1-1
houston,3617,24-10-1-1-1
houston,3621,54-7-3-1-1
houston,3637,36-7-3-1-1
houston,3700,54-7-3-1-1
houston,3760,18-3-3-1-1
houston,3763,55-9-1-1-1
houston,3766,37-5-1-1-1
houston,3811,10-13-1-1-1
houston,3822,10-13-1-1-1
houston,3935,2-2-2-1-1
houston,3983,43-9-1-1-1
houston,4033,32-12-2-1-1
houston,4038,54-7-3-1-1
houston,4111,55-9-1-1-1
houston,4138,51-1-1-1-1
houston,4161,9-8-1-1-1
houston,4227,57-7-3-1-1
houston,4230,57-7-3-1-1
houston,4319,33-3-3-1-1
houston,4339,44-8-1-1-1
houston,4345,57-7-3-1-1
houston,4432,20-10-1-1-1
houston,4535,39-3-3-1-1
houston,4538,28-14-1-1-1
houston,4570,23-3-3-1-1
houston,4611,17-12-2-1-1
houston,4640,50-15-2-1-1
houston,4686,43-9-1-1-1
houston,4842,25-9-1-1-1
houston,4857,49-1-1-1-1
houston,4858,38-11-3-1-1
houston,5037,25-9-1-1-1
houston,5155,3-3-3-1-1
houston,5228,67-8-1-1-1
houston,5245,38-11-3-1-1
houston,5256,34-7-3-1-1
houston,5280,53-4-1-1-1
houston,5330,29-11-3-1-1
houston,5437,51-1-1-1-1
houston,5439,51-1-1-1-1
houston,5448,57-7-3-1-1
houston,5468,30-14-1-1-1
houston,5491,8-7-3-1-1
houston,5594,57-7-3-1-1
houston,5605,34-7-3-1-1
houston,5606,20-10-1-1-1
houston,5622,49-1-1-1-1
houston,5627,16-11-3-1-1
houston,5632,45-4-1-1-1
houston,5668,7-2-2-1-1
houston,5744,39-3-3-1-1
houston,5747,7-2-2-1-1
houston,5750,7-2-2-1-1
houston,5756,18-3-3-1-1
houston,5760,64-1-1-1-1
houston,5797,57-7-3-1-1
houston,5965,67-8-1-1-1
houston,5982,42-13-1-1-1
houston,6067,18-3-3-1-1
houston,6108,53-4-1-1-1
houston,6236,10-13-1-1-1
houston,6347,36-7-3-1-1
houston,6413,10-13-1-1-1
houston,6467,43-9-1-1-1
houston,6495,63-12-2-1-1
houston,6513,57-7-3-1-1
houston,6529,60-1-1-1-1
houston,6539,60-1-1-1-1
houston,6559,44-8-1-1-1
houston,6574,44-8-1-1-1
houston,6592,43-9-1-1-1
houston,6665,10-13-1-1-1
houston,6697,2-2-2-1-1
houston,6705,38-11-3-1-1
houston,6710,6-6-3-1-1
houston,6718,2-2-2-1-1
houston,6721,23-3-3-1-1
houston,6722,48-2-2-1-1
houston,6729,6-6-3-1-1
houston,6741,29-11-3-1-1
houston,6766,9-8-1-1-1
houston,6769,60-1-1-1-1
houston,6774,48-2-2-1-1
houston,6775,4-4-1-1-1
houston,6778,4-4-1-1-1
houston,6779,46-11-3-1-1
houston,6780,2-2-2-1-1
houston,6781,4-4-1-1-1
houston,6784,9-8-1-1-1
houston,6789,58-14-1-1-1
houston,6790,58-14-1-1-1
houston,6796,61-5-1-1-1
houston,6797,61-5-1-1-1
houston,6801,22-13-1-1-1
houston,6821,61-5-1-1-1
houston,6835,4-4-1-1-1
houston,6837,28-14-1-1-1
houston,6847,2-2-2-1-1
houston,6854,29-11-3-1-1
houston,6856,23-3-3-1-1
houston,6858,1-14-1-1-1
houston,6861,57-7-3-1-1
houston,6888,60-1-1-1-1
houston,6889,38-11-3-1-1
houston,6939,50-15-2-1-1
houston,7164,34-7-3-1-1
houston,7205,6-6-3-1-1
houston,7302,43-9-1-1-1
houston,7320,36-7-3-1-1
houston,7324,50-15-2-1-1
houston,7345,9-8-1-1-1
houston,7446,31-6-3-1-1
houston,7506,43-9-1-1-1
houston,7536,47-11-3-1-1
houston,7630,50-15-2-1-1
houston,7670,65-9-1-1-1
houston,7684,10-13-1-1-1
houston,7686,4-4-1-1-1
houston,7717,51-1-1-1-1
houston,7726,23-3-3-1-1
houston,7781,32-12-2-1-1
houston,7784,6-6-3-1-1
houston,7800,28-14-1-1-1
houston,7835,62-9-1-1-1
houston,8000,49-1-1-1-1
houston,8041,9-8-1-1-1
houston,8043,7-2-2-1-1
houston,8088,48-2-2-1-1
houston,8096,19-6-3-1-1
houston,8097,16-11-3-1-1
houston,8139,30-14-1-1-1
houston,8208,34-7-3-1-1
