Sub,word_ID_full,topic
liberal,303,1-1
liberal,405,1-1
liberal,415,1-1
liberal,416,1-1
liberal,460,1-1
liberal,552,1-1
liberal,563,1-1
liberal,633,1-1
liberal,635,1-1
liberal,648,1-1
liberal,693,1-1
liberal,1018,1-1
liberal,1027,1-1
liberal,1033,1-1
liberal,1048,1-1
liberal,1173,1-1
liberal,1192,1-1
liberal,1199,1-1
liberal,1341,1-1
liberal,1458,1-1
liberal,1476,1-1
liberal,1493,1-1
liberal,1507,1-1
liberal,1723,1-1
liberal,1795,1-1
liberal,1993,1-1
liberal,2016,1-1
liberal,2173,1-1
liberal,2247,1-1
liberal,2250,1-1
liberal,2865,1-1
liberal,3400,1-1
liberal,3760,1-1
liberal,3811,1-1
liberal,4158,1-1
liberal,4340,1-1
liberal,4535,1-1
liberal,5280,1-1
liberal,5330,1-1
liberal,5668,1-1
liberal,5744,1-1
liberal,5835,1-1
liberal,6067,1-1
liberal,6236,1-1
liberal,6611,1-1
liberal,6835,1-1
liberal,7446,1-1
liberal,7528,1-1
liberal,7536,1-1
liberal,7543,1-1
liberal,8088,1-1
liberal,8273,1-1
liberal,8276,1-1
liberal,8369,1-1
liberal,8605,1-1
liberal,8632,1-1
liberal,8799,1-1
liberal,8980,1-1
liberal,9416,1-1
liberal,9554,1-1
liberal,9573,1-1
liberal,9614,1-1
liberal,9625,1-1
liberal,9820,1-1
liberal,10185,1-1
liberal,10211,1-1
liberal,10322,1-1
liberal,10445,1-1
liberal,10562,1-1
liberal,10581,1-1
liberal,10932,1-1
liberal,11039,1-1
liberal,11166,1-1
liberal,11168,1-1
liberal,11180,1-1
liberal,11185,1-1
liberal,11639,1-1
liberal,11643,1-1
liberal,11654,1-1
liberal,11655,1-1
liberal,12043,1-1
liberal,12110,1-1
liberal,12111,1-1
liberal,12188,1-1
liberal,12191,1-1
liberal,12406,1-1
liberal,12523,1-1
liberal,12658,1-1
liberal,12729,1-1
liberal,12777,1-1
liberal,12966,1-1
liberal,13216,1-1
liberal,13370,1-1
liberal,13426,1-1
liberal,13553,1-1
liberal,13772,1-1
liberal,13775,1-1
liberal,13812,1-1
liberal,13867,1-1
liberal,13906,1-1
liberal,13983,1-1
liberal,14058,1-1
liberal,14214,1-1
liberal,14301,1-1
liberal,14471,1-1
liberal,14476,1-1
liberal,14484,1-1
liberal,14494,1-1
liberal,14552,1-1
liberal,14558,1-1
