Sub,word_ID_full,topic
libertarian,69,23-13-3-1
libertarian,95,178-29-1-1
libertarian,97,81-30-3-1
libertarian,100,205-11-3-1
libertarian,102,194-28-1-1
libertarian,133,71-30-3-1
libertarian,175,86-7-3-1
libertarian,190,97-34-4-1
libertarian,204,87-6-3-1
libertarian,217,156-39-3-1
libertarian,220,117-24-4-1
libertarian,229,192-20-3-1
libertarian,231,3-3-2-1
libertarian,275,129-19-2-1
libertarian,276,45-3-2-1
libertarian,277,62-27-3-1
libertarian,278,210-4-3-1
libertarian,279,81-30-3-1
libertarian,280,81-30-3-1
libertarian,281,81-30-3-1
libertarian,285,54-25-1-1
libertarian,289,109-27-3-1
libertarian,300,195-40-1-1
libertarian,301,95-37-4-1
libertarian,303,195-40-1-1
libertarian,304,195-40-1-1
libertarian,316,50-23-1-1
libertarian,369,77-34-4-1
libertarian,389,128-10-3-1
libertarian,400,157-20-3-1
libertarian,404,185-33-1-1
libertarian,405,56-26-3-1
libertarian,415,76-33-1-1
libertarian,416,2-2-2-1
libertarian,419,188-17-3-1
libertarian,426,41-20-3-1
libertarian,433,79-1-3-1
libertarian,438,157-20-3-1
libertarian,444,84-8-2-1
libertarian,447,205-11-3-1
libertarian,448,106-36-4-1
libertarian,455,66-23-1-1
libertarian,456,166-27-3-1
libertarian,457,182-35-1-1
libertarian,460,186-24-4-1
libertarian,462,68-8-2-1
libertarian,469,117-24-4-1
libertarian,470,72-31-4-1
libertarian,474,8-7-3-1
libertarian,476,115-40-1-1
libertarian,494,177-28-1-1
libertarian,498,42-14-4-1
libertarian,503,88-36-4-1
libertarian,506,160-25-1-1
libertarian,508,193-20-3-1
libertarian,512,193-20-3-1
libertarian,516,193-20-3-1
libertarian,538,161-39-3-1
libertarian,539,33-18-1-1
libertarian,540,121-11-3-1
libertarian,543,64-28-1-1
libertarian,552,119-3-2-1
libertarian,553,2-2-2-1
libertarian,555,112-20-3-1
libertarian,557,68-8-2-1
libertarian,560,44-21-3-1
libertarian,561,153-28-1-1
libertarian,563,3-3-2-1
libertarian,565,32-5-3-1
libertarian,567,98-38-1-1
libertarian,568,152-41-3-1
libertarian,579,24-14-4-1
libertarian,580,182-35-1-1
libertarian,581,189-22-3-1
libertarian,585,170-38-1-1
libertarian,590,95-37-4-1
libertarian,594,95-37-4-1
libertarian,597,189-22-3-1
libertarian,605,185-33-1-1
libertarian,609,107-31-4-1
libertarian,615,201-34-4-1
libertarian,620,131-36-4-1
libertarian,621,73-5-3-1
libertarian,622,110-6-3-1
libertarian,624,22-5-3-1
libertarian,626,14-9-1-1
libertarian,628,20-8-2-1
libertarian,629,201-34-4-1
libertarian,633,82-9-1-1
libertarian,634,94-5-3-1
libertarian,635,49-5-3-1
libertarian,638,171-39-3-1
libertarian,640,153-28-1-1
libertarian,644,161-39-3-1
libertarian,648,82-9-1-1
libertarian,659,153-28-1-1
libertarian,665,177-28-1-1
libertarian,666,177-28-1-1
libertarian,668,189-22-3-1
libertarian,669,187-23-1-1
libertarian,670,197-15-1-1
libertarian,671,145-16-2-1
libertarian,673,192-20-3-1
libertarian,676,77-34-4-1
libertarian,678,23-13-3-1
libertarian,680,32-5-3-1
libertarian,681,131-36-4-1
libertarian,685,105-7-3-1
libertarian,687,76-33-1-1
libertarian,690,193-20-3-1
libertarian,693,114-9-1-1
libertarian,747,23-13-3-1
libertarian,766,38-1-3-1
libertarian,784,41-20-3-1
libertarian,805,211-33-1-1
libertarian,806,70-17-3-1
libertarian,807,111-19-2-1
libertarian,808,192-20-3-1
libertarian,809,81-30-3-1
libertarian,813,203-4-3-1
libertarian,844,196-25-1-1
libertarian,859,197-15-1-1
libertarian,881,160-25-1-1
libertarian,882,196-25-1-1
libertarian,883,160-25-1-1
libertarian,884,109-27-3-1
libertarian,898,41-20-3-1
libertarian,902,95-37-4-1
libertarian,911,83-19-2-1
libertarian,912,20-8-2-1
libertarian,913,205-11-3-1
libertarian,914,189-22-3-1
libertarian,915,6-6-3-1
libertarian,919,193-20-3-1
libertarian,920,168-37-4-1
libertarian,940,32-5-3-1
libertarian,941,86-7-3-1
libertarian,947,107-31-4-1
libertarian,973,32-5-3-1
libertarian,986,138-27-3-1
libertarian,987,98-38-1-1
libertarian,989,163-39-3-1
libertarian,990,185-33-1-1
libertarian,995,102-36-4-1
libertarian,1002,138-27-3-1
libertarian,1018,60-3-2-1
libertarian,1020,20-8-2-1
libertarian,1025,31-10-3-1
libertarian,1027,37-19-2-1
libertarian,1028,205-11-3-1
libertarian,1033,92-22-3-1
libertarian,1039,209-28-1-1
libertarian,1046,93-8-2-1
libertarian,1048,31-10-3-1
libertarian,1049,181-42-3-1
libertarian,1050,169-1-3-1
libertarian,1052,84-8-2-1
libertarian,1054,153-28-1-1
libertarian,1055,84-8-2-1
libertarian,1060,85-35-1-1
libertarian,1062,92-22-3-1
libertarian,1068,92-22-3-1
libertarian,1069,2-2-2-1
libertarian,1070,20-8-2-1
libertarian,1090,24-14-4-1
libertarian,1099,71-30-3-1
libertarian,1112,115-40-1-1
libertarian,1113,110-6-3-1
libertarian,1120,161-39-3-1
libertarian,1125,39-14-4-1
libertarian,1140,68-8-2-1
libertarian,1149,126-39-3-1
libertarian,1158,215-39-3-1
libertarian,1159,158-24-4-1
libertarian,1161,158-24-4-1
libertarian,1163,158-24-4-1
libertarian,1164,158-24-4-1
libertarian,1168,156-39-3-1
libertarian,1173,98-38-1-1
libertarian,1174,128-10-3-1
libertarian,1192,45-3-2-1
libertarian,1193,84-8-2-1
libertarian,1194,106-36-4-1
libertarian,1195,60-3-2-1
libertarian,1196,111-19-2-1
libertarian,1197,195-40-1-1
libertarian,1199,202-37-4-1
libertarian,1216,190-15-1-1
libertarian,1226,166-27-3-1
libertarian,1227,96-37-4-1
libertarian,1228,79-1-3-1
libertarian,1249,157-20-3-1
libertarian,1251,188-17-3-1
libertarian,1266,214-23-1-1
libertarian,1293,138-27-3-1
libertarian,1303,104-33-1-1
libertarian,1308,211-33-1-1
libertarian,1317,161-39-3-1
libertarian,1319,128-10-3-1
libertarian,1325,42-14-4-1
libertarian,1326,42-14-4-1
libertarian,1334,121-11-3-1
libertarian,1336,14-9-1-1
libertarian,1337,62-27-3-1
libertarian,1338,201-34-4-1
libertarian,1339,126-39-3-1
libertarian,1341,21-12-1-1
libertarian,1342,199-35-1-1
libertarian,1343,201-34-4-1
libertarian,1345,109-27-3-1
libertarian,1346,14-9-1-1
libertarian,1350,81-30-3-1
libertarian,1351,50-23-1-1
libertarian,1352,104-33-1-1
libertarian,1357,167-34-4-1
libertarian,1358,40-1-3-1
libertarian,1359,41-20-3-1
libertarian,1360,55-16-2-1
libertarian,1364,97-34-4-1
libertarian,1365,106-36-4-1
libertarian,1366,110-6-3-1
libertarian,1367,150-11-3-1
libertarian,1368,100-32-1-1
libertarian,1399,119-3-2-1
libertarian,1400,84-8-2-1
libertarian,1401,13-9-1-1
libertarian,1402,140-42-3-1
libertarian,1403,98-38-1-1
libertarian,1458,23-13-3-1
libertarian,1459,172-32-1-1
libertarian,1460,118-11-3-1
libertarian,1476,108-40-1-1
libertarian,1480,189-22-3-1
libertarian,1483,108-40-1-1
libertarian,1493,120-21-3-1
libertarian,1496,189-22-3-1
libertarian,1499,213-28-1-1
libertarian,1502,189-22-3-1
libertarian,1506,199-35-1-1
libertarian,1507,10-16-2-1
libertarian,1512,152-41-3-1
libertarian,1513,164-27-3-1
libertarian,1520,199-35-1-1
libertarian,1523,42-14-4-1
libertarian,1528,14-9-1-1
libertarian,1529,121-11-3-1
libertarian,1530,13-9-1-1
libertarian,1531,25-15-1-1
libertarian,1533,114-9-1-1
libertarian,1535,78-9-1-1
libertarian,1537,110-6-3-1
libertarian,1590,188-17-3-1
libertarian,1591,33-18-1-1
libertarian,1593,148-15-1-1
libertarian,1597,148-15-1-1
libertarian,1598,50-23-1-1
libertarian,1600,206-12-1-1
libertarian,1603,87-6-3-1
libertarian,1604,144-6-3-1
libertarian,1605,37-19-2-1
libertarian,1606,188-17-3-1
libertarian,1607,43-2-2-1
libertarian,1616,6-6-3-1
libertarian,1662,74-32-1-1
libertarian,1668,193-20-3-1
libertarian,1692,140-42-3-1
libertarian,1707,211-33-1-1
libertarian,1713,97-34-4-1
libertarian,1719,85-35-1-1
libertarian,1721,178-29-1-1
libertarian,1723,70-17-3-1
libertarian,1724,60-3-2-1
libertarian,1725,60-3-2-1
libertarian,1732,193-20-3-1
libertarian,1733,144-6-3-1
libertarian,1742,94-5-3-1
libertarian,1743,107-31-4-1
libertarian,1744,52-4-3-1
libertarian,1745,87-6-3-1
libertarian,1747,178-29-1-1
libertarian,1748,167-34-4-1
libertarian,1750,160-25-1-1
libertarian,1762,182-35-1-1
libertarian,1763,164-27-3-1
libertarian,1765,164-27-3-1
libertarian,1766,77-34-4-1
libertarian,1770,114-9-1-1
libertarian,1785,134-41-3-1
libertarian,1791,199-35-1-1
libertarian,1795,48-2-2-1
libertarian,1796,209-28-1-1
libertarian,1820,77-34-4-1
libertarian,1822,32-5-3-1
libertarian,1834,126-39-3-1
libertarian,1851,177-28-1-1
libertarian,1854,202-37-4-1
libertarian,1933,209-28-1-1
libertarian,1984,23-13-3-1
libertarian,1986,106-36-4-1
libertarian,1993,47-22-3-1
libertarian,1996,81-30-3-1
libertarian,2012,97-34-4-1
libertarian,2014,97-34-4-1
libertarian,2016,48-2-2-1
libertarian,2023,169-1-3-1
libertarian,2029,32-5-3-1
libertarian,2031,32-5-3-1
libertarian,2033,157-20-3-1
libertarian,2037,76-33-1-1
libertarian,2054,28-7-3-1
libertarian,2058,152-41-3-1
libertarian,2068,130-38-1-1
libertarian,2070,31-10-3-1
libertarian,2071,182-35-1-1
libertarian,2073,86-7-3-1
libertarian,2074,102-36-4-1
libertarian,2106,197-15-1-1
libertarian,2119,90-7-3-1
