Sub,word_ID_full,topic
liverpool,97,8-2-1
liverpool,389,8-2-1
liverpool,415,8-2-1
liverpool,416,8-2-1
liverpool,460,6-2-1
liverpool,547,4-2-1
liverpool,552,5-2-1
liverpool,560,6-2-1
liverpool,563,6-2-1
liverpool,609,6-2-1
liverpool,633,5-2-1
liverpool,648,5-2-1
liverpool,693,8-2-1
liverpool,1027,8-2-1
liverpool,1046,5-2-1
liverpool,1055,5-2-1
liverpool,1069,7-2-1
liverpool,1099,4-2-1
liverpool,1140,4-2-1
liverpool,1149,6-2-1
liverpool,1168,5-2-1
liverpool,1195,5-2-1
liverpool,1476,4-2-1
liverpool,1493,9-2-1
liverpool,1528,4-2-1
liverpool,1537,7-2-1
liverpool,1593,1-1-1
liverpool,1598,1-1-1
liverpool,1724,9-2-1
liverpool,1763,6-2-1
liverpool,1765,6-2-1
liverpool,1795,4-2-1
liverpool,1822,8-2-1
liverpool,1831,1-1-1
liverpool,1993,7-2-1
liverpool,2037,8-2-1
liverpool,2173,8-2-1
liverpool,2264,1-1-1
liverpool,2551,5-2-1
liverpool,2637,6-2-1
liverpool,2686,4-2-1
liverpool,2865,6-2-1
liverpool,3135,4-2-1
liverpool,3202,6-2-1
liverpool,3508,8-2-1
liverpool,3700,8-2-1
liverpool,3760,7-2-1
liverpool,3935,3-2-1
liverpool,3983,4-2-1
liverpool,4038,5-2-1
liverpool,4051,4-2-1
liverpool,4063,6-2-1
liverpool,4218,7-2-1
liverpool,4230,4-2-1
liverpool,4300,8-2-1
liverpool,4535,8-2-1
liverpool,4842,4-2-1
liverpool,4985,6-2-1
liverpool,5155,5-2-1
liverpool,5198,6-2-1
liverpool,5249,3-2-1
liverpool,5439,4-2-1
liverpool,5622,1-1-1
liverpool,5627,1-1-1
liverpool,5668,9-2-1
liverpool,5744,5-2-1
liverpool,5760,4-2-1
liverpool,5835,8-2-1
liverpool,6067,8-2-1
liverpool,6108,3-2-1
liverpool,6236,8-2-1
liverpool,6347,4-2-1
liverpool,6529,6-2-1
liverpool,6539,4-2-1
liverpool,6657,4-2-1
liverpool,6697,9-2-1
liverpool,6774,1-1-1
liverpool,6778,4-2-1
liverpool,6780,1-1-1
liverpool,6781,7-2-1
liverpool,6789,2-1-1
liverpool,6790,1-1-1
liverpool,6801,7-2-1
liverpool,6808,4-2-1
liverpool,6854,4-2-1
liverpool,7205,6-2-1
liverpool,7242,4-2-1
liverpool,7446,7-2-1
liverpool,7528,4-2-1
liverpool,7536,8-2-1
liverpool,7670,6-2-1
liverpool,7784,1-1-1
liverpool,7835,1-1-1
liverpool,8081,4-2-1
liverpool,8097,8-2-1
liverpool,8208,4-2-1
liverpool,8273,8-2-1
liverpool,8276,4-2-1
liverpool,8320,4-2-1
liverpool,8570,8-2-1
liverpool,8632,7-2-1
liverpool,8876,1-1-1
liverpool,8982,1-1-1
liverpool,8983,8-2-1
liverpool,9002,4-2-1
liverpool,9045,5-2-1
liverpool,9256,3-2-1
liverpool,9457,8-2-1
liverpool,9614,8-2-1
liverpool,9748,8-2-1
liverpool,10079,7-2-1
liverpool,10185,6-2-1
liverpool,10211,3-2-1
liverpool,10236,6-2-1
liverpool,10287,6-2-1
liverpool,10322,6-2-1
liverpool,10389,7-2-1
liverpool,10445,4-2-1
liverpool,10469,4-2-1
liverpool,10507,1-1-1
liverpool,10508,1-1-1
liverpool,10562,2-1-1
liverpool,10581,8-2-1
liverpool,10932,7-2-1
liverpool,11039,2-1-1
liverpool,11199,4-2-1
liverpool,11219,4-2-1
liverpool,11234,5-2-1
liverpool,11274,1-1-1
liverpool,11306,7-2-1
liverpool,11366,8-2-1
liverpool,11643,9-2-1
liverpool,11654,9-2-1
