Sub,word_ID_full,topic
london,97,9-4-2-2-1
london,231,74-3-3-2-1
london,242,69-12-3-2-1
london,389,31-5-2-2-1
london,415,12-4-2-2-1
london,416,53-6-2-2-1
london,455,41-10-3-2-1
london,460,62-5-2-2-1
london,476,26-6-2-2-1
london,508,58-7-3-2-1
london,547,76-14-3-2-1
london,552,9-4-2-2-1
london,553,13-5-2-2-1
london,557,6-5-2-2-1
london,560,3-3-3-2-1
london,561,9-4-2-2-1
london,563,27-1-1-1-1
london,567,4-1-1-1-1
london,579,16-3-3-2-1
london,581,66-11-3-2-1
london,605,10-2-2-2-1
london,609,58-7-3-2-1
london,610,58-7-3-2-1
london,613,58-7-3-2-1
london,633,24-5-2-2-1
london,648,7-6-2-2-1
london,671,3-3-3-2-1
london,690,60-10-3-2-1
london,693,13-5-2-2-1
london,806,79-12-3-2-1
london,881,64-12-3-2-1
london,884,69-12-3-2-1
london,910,4-1-1-1-1
london,911,71-12-3-2-1
london,973,75-2-2-2-1
london,1018,9-4-2-2-1
london,1025,26-6-2-2-1
london,1027,64-12-3-2-1
london,1033,64-12-3-2-1
london,1046,67-5-2-2-1
london,1048,26-6-2-2-1
london,1054,15-8-1-1-1
london,1055,28-6-2-2-1
london,1069,12-4-2-2-1
london,1099,15-8-1-1-1
london,1120,51-6-2-2-1
london,1140,49-6-2-2-1
london,1149,12-4-2-2-1
london,1168,36-3-3-2-1
london,1169,20-2-2-2-1
london,1173,42-1-1-1-1
london,1174,24-5-2-2-1
london,1192,19-8-1-1-1
london,1193,9-4-2-2-1
london,1196,37-5-2-2-1
london,1293,44-6-2-2-1
london,1298,82-12-3-2-1
london,1317,9-4-2-2-1
london,1334,26-6-2-2-1
london,1336,24-5-2-2-1
london,1342,79-12-3-2-1
london,1360,44-6-2-2-1
london,1366,69-12-3-2-1
london,1399,76-14-3-2-1
london,1441,30-10-3-2-1
london,1458,3-3-3-2-1
london,1476,32-8-1-1-1
london,1483,42-1-1-1-1
london,1493,1-1-1-1-1
london,1496,24-5-2-2-1
london,1507,74-3-3-2-1
london,1512,69-12-3-2-1
london,1514,14-7-3-2-1
london,1518,69-12-3-2-1
london,1527,69-12-3-2-1
london,1528,72-13-4-1-1
london,1529,73-14-3-2-1
london,1535,13-5-2-2-1
london,1536,69-12-3-2-1
london,1537,54-13-4-1-1
london,1555,4-1-1-1-1
london,1590,42-1-1-1-1
london,1591,57-5-2-2-1
london,1595,60-10-3-2-1
london,1598,58-7-3-2-1
london,1679,18-3-3-2-1
london,1692,62-5-2-2-1
london,1699,69-12-3-2-1
london,1707,9-4-2-2-1
london,1713,4-1-1-1-1
london,1723,23-5-2-2-1
london,1724,43-5-2-2-1
london,1725,9-4-2-2-1
london,1733,64-12-3-2-1
london,1762,21-2-2-2-1
london,1763,80-7-3-2-1
london,1765,4-1-1-1-1
london,1795,5-4-2-2-1
london,1822,57-5-2-2-1
london,1993,49-6-2-2-1
london,1996,69-12-3-2-1
london,2012,6-5-2-2-1
london,2014,73-14-3-2-1
london,2026,38-2-2-2-1
london,2029,73-14-3-2-1
london,2031,73-14-3-2-1
london,2037,8-2-2-2-1
london,2046,38-2-2-2-1
london,2070,9-4-2-2-1
london,2173,12-4-2-2-1
london,2247,9-4-2-2-1
london,2250,61-5-2-2-1
london,2264,73-14-3-2-1
london,2327,10-2-2-2-1
london,2462,36-3-3-2-1
london,2513,20-2-2-2-1
london,2515,20-2-2-2-1
london,2518,82-12-3-2-1
london,2543,48-12-3-2-1
london,2546,14-7-3-2-1
london,2549,74-3-3-2-1
london,2551,49-6-2-2-1
london,2557,46-9-4-1-1
london,2559,48-12-3-2-1
london,2563,20-2-2-2-1
london,2583,79-12-3-2-1
london,2587,3-3-3-2-1
london,2589,23-5-2-2-1
london,2637,70-12-3-2-1
london,2644,74-3-3-2-1
london,2686,30-10-3-2-1
london,2687,80-7-3-2-1
london,2716,7-6-2-2-1
london,2751,36-3-3-2-1
london,2829,4-1-1-1-1
london,2830,9-4-2-2-1
london,2865,53-6-2-2-1
london,2881,20-2-2-2-1
london,2882,20-2-2-2-1
london,2886,44-6-2-2-1
london,2909,69-12-3-2-1
london,2916,71-12-3-2-1
london,3017,44-6-2-2-1
london,3076,18-3-3-2-1
london,3120,76-14-3-2-1
london,3133,26-6-2-2-1
london,3160,8-2-2-2-1
london,3194,36-3-3-2-1
london,3237,21-2-2-2-1
london,3301,83-9-4-1-1
london,3307,43-5-2-2-1
london,3362,4-1-1-1-1
london,3400,51-6-2-2-1
london,3434,4-1-1-1-1
london,3490,17-14-3-2-1
london,3508,9-4-2-2-1
london,3581,78-14-3-2-1
london,3619,76-14-3-2-1
london,3623,44-6-2-2-1
london,3631,70-12-3-2-1
london,3637,66-11-3-2-1
london,3700,37-5-2-2-1
london,3718,4-1-1-1-1
london,3732,3-3-3-2-1
london,3734,51-6-2-2-1
london,3744,41-10-3-2-1
london,3760,8-2-2-2-1
london,3766,30-10-3-2-1
london,3805,4-1-1-1-1
london,3811,53-6-2-2-1
london,3919,62-5-2-2-1
london,3935,16-3-3-2-1
london,3983,27-1-1-1-1
london,4009,4-1-1-1-1
london,4038,68-10-3-2-1
london,4040,13-5-2-2-1
london,4046,4-1-1-1-1
london,4062,3-3-3-2-1
london,4218,26-6-2-2-1
london,4230,11-1-1-1-1
london,4236,69-12-3-2-1
london,4252,4-1-1-1-1
london,4254,18-3-3-2-1
london,4292,40-10-3-2-1
london,4300,16-3-3-2-1
london,4317,10-2-2-2-1
london,4319,28-6-2-2-1
london,4345,4-1-1-1-1
london,4358,69-12-3-2-1
london,4366,69-12-3-2-1
london,4462,38-2-2-2-1
london,4482,20-2-2-2-1
london,4535,37-5-2-2-1
london,4628,21-2-2-2-1
london,4631,41-10-3-2-1
london,4640,69-12-3-2-1
london,4661,76-14-3-2-1
london,4754,59-6-2-2-1
london,4842,42-1-1-1-1
london,4844,51-6-2-2-1
london,4857,14-7-3-2-1
london,4872,4-1-1-1-1
london,4883,69-12-3-2-1
london,4930,4-1-1-1-1
london,4985,58-7-3-2-1
london,5004,49-6-2-2-1
london,5022,20-2-2-2-1
london,5123,82-12-3-2-1
london,5139,73-14-3-2-1
london,5155,15-8-1-1-1
london,5175,7-6-2-2-1
london,5184,4-1-1-1-1
london,5198,53-6-2-2-1
london,5203,14-7-3-2-1
london,5280,64-12-3-2-1
london,5314,26-6-2-2-1
london,5330,64-12-3-2-1
london,5437,76-14-3-2-1
london,5439,69-12-3-2-1
london,5487,68-10-3-2-1
london,5491,24-5-2-2-1
london,5588,4-1-1-1-1
london,5594,36-3-3-2-1
london,5605,82-12-3-2-1
london,5606,30-10-3-2-1
london,5609,68-10-3-2-1
london,5622,9-4-2-2-1
london,5627,67-5-2-2-1
london,5632,37-5-2-2-1
london,5638,58-7-3-2-1
london,5666,26-6-2-2-1
london,5674,38-2-2-2-1
london,5718,68-10-3-2-1
london,5744,49-6-2-2-1
london,5747,83-9-4-1-1
london,5750,24-5-2-2-1
london,5755,46-9-4-1-1
london,5756,5-4-2-2-1
london,5760,12-4-2-2-1
london,5782,66-11-3-2-1
london,5797,58-7-3-2-1
london,6067,5-4-2-2-1
london,6108,41-10-3-2-1
london,6191,5-4-2-2-1
london,6236,12-4-2-2-1
london,6347,12-4-2-2-1
london,6413,12-4-2-2-1
london,6509,7-6-2-2-1
london,6513,7-6-2-2-1
london,6529,72-13-4-1-1
london,6539,72-13-4-1-1
london,6657,67-5-2-2-1
