Sub,word_ID_full,topic
losangeles,97,10-3-1-1
losangeles,231,8-5-1-1
losangeles,289,43-16-4-1
losangeles,373,27-1-1-1
losangeles,415,49-16-4-1
losangeles,416,27-1-1-1
losangeles,508,50-17-3-1
losangeles,552,32-12-3-1
losangeles,553,24-13-1-1
losangeles,557,45-3-1-1
losangeles,560,6-5-1-1
losangeles,561,6-5-1-1
losangeles,563,22-3-1-1
losangeles,567,5-3-1-1
losangeles,579,25-3-1-1
losangeles,581,25-3-1-1
losangeles,585,25-3-1-1
losangeles,588,46-6-2-1
losangeles,590,46-6-2-1
losangeles,594,29-14-2-1
losangeles,633,43-16-4-1
losangeles,648,42-13-1-1
losangeles,671,33-13-1-1
losangeles,693,26-3-1-1
losangeles,766,51-17-3-1
losangeles,859,23-4-1-1
losangeles,884,60-17-3-1
losangeles,904,38-15-2-1
losangeles,997,60-17-3-1
losangeles,999,60-17-3-1
losangeles,1014,24-13-1-1
losangeles,1018,9-6-2-1
losangeles,1025,56-7-3-1
losangeles,1027,9-6-2-1
losangeles,1033,50-17-3-1
losangeles,1046,58-7-3-1
losangeles,1048,24-13-1-1
losangeles,1054,5-3-1-1
losangeles,1055,15-10-2-1
losangeles,1060,45-3-1-1
losangeles,1062,60-17-3-1
losangeles,1068,55-4-1-1
losangeles,1069,35-1-1-1
losangeles,1099,56-7-3-1
losangeles,1125,52-15-2-1
losangeles,1140,22-3-1-1
losangeles,1149,43-16-4-1
losangeles,1168,43-16-4-1
losangeles,1173,37-8-4-1
losangeles,1174,41-8-4-1
losangeles,1192,6-5-1-1
losangeles,1226,42-13-1-1
losangeles,1322,44-16-4-1
losangeles,1341,42-13-1-1
losangeles,1360,42-13-1-1
losangeles,1402,58-7-3-1
losangeles,1458,48-12-3-1
losangeles,1476,27-1-1-1
losangeles,1483,24-13-1-1
losangeles,1493,16-11-4-1
losangeles,1496,45-3-1-1
losangeles,1507,26-3-1-1
losangeles,1537,27-1-1-1
losangeles,1590,18-3-1-1
losangeles,1692,28-12-3-1
losangeles,1707,52-15-2-1
losangeles,1709,52-15-2-1
losangeles,1713,4-4-1-1
losangeles,1721,38-15-2-1
losangeles,1723,24-13-1-1
