Sub,word_ID_full,topic
melbourne,97,17-2-2-1-1
melbourne,231,62-1-1-1-1
melbourne,289,26-14-2-1-1
melbourne,297,59-10-3-1-1
melbourne,298,59-10-3-1-1
melbourne,303,16-10-3-1-1
melbourne,389,96-18-2-1-1
melbourne,400,30-1-1-1-1
melbourne,415,62-1-1-1-1
melbourne,416,13-6-1-1-1
melbourne,444,9-3-2-1-1
melbourne,449,18-11-2-1-1
melbourne,460,10-1-1-1-1
melbourne,462,10-1-1-1-1
melbourne,476,10-1-1-1-1
melbourne,501,32-11-2-1-1
melbourne,508,56-18-2-1-1
melbourne,536,83-13-3-1-1
melbourne,547,1-1-1-1-1
melbourne,552,28-16-1-1-1
melbourne,553,24-1-1-1-1
melbourne,557,96-18-2-1-1
melbourne,560,60-1-1-1-1
melbourne,563,19-6-1-1-1
melbourne,567,55-7-3-1-1
melbourne,579,50-13-3-1-1
melbourne,581,34-2-2-1-1
melbourne,605,74-4-2-1-1
melbourne,609,28-16-1-1-1
melbourne,613,28-16-1-1-1
melbourne,633,64-9-1-1-1
melbourne,635,62-1-1-1-1
melbourne,637,1-1-1-1-1
melbourne,644,56-18-2-1-1
melbourne,648,94-10-3-1-1
melbourne,666,22-8-3-1-1
melbourne,671,40-13-3-1-1
melbourne,687,74-4-2-1-1
melbourne,690,24-1-1-1-1
melbourne,693,14-9-1-1-1
melbourne,697,79-11-2-1-1
melbourne,766,53-9-1-1-1
melbourne,786,56-18-2-1-1
melbourne,788,56-18-2-1-1
melbourne,806,30-1-1-1-1
melbourne,807,16-10-3-1-1
melbourne,813,97-21-4-2-1
melbourne,848,37-5-2-1-1
melbourne,881,97-21-4-2-1
melbourne,884,98-21-4-2-1
melbourne,911,101-4-2-1-1
melbourne,931,55-7-3-1-1
melbourne,940,58-13-3-1-1
melbourne,957,53-9-1-1-1
melbourne,1018,10-1-1-1-1
melbourne,1025,9-3-2-1-1
melbourne,1027,92-17-3-1-1
melbourne,1033,16-10-3-1-1
melbourne,1039,14-9-1-1-1
melbourne,1046,86-11-2-1-1
melbourne,1048,10-1-1-1-1
melbourne,1054,23-11-2-1-1
melbourne,1055,44-16-1-1-1
melbourne,1068,95-10-3-1-1
melbourne,1069,13-6-1-1-1
melbourne,1099,17-2-2-1-1
melbourne,1140,35-16-1-1-1
melbourne,1149,28-16-1-1-1
melbourne,1159,91-18-2-1-1
melbourne,1161,91-18-2-1-1
melbourne,1168,99-18-2-1-1
melbourne,1173,94-10-3-1-1
melbourne,1174,42-9-1-1-1
melbourne,1192,5-5-2-1-1
melbourne,1194,66-15-1-1-1
melbourne,1199,23-11-2-1-1
melbourne,1249,3-4-2-1-1
melbourne,1317,74-4-2-1-1
melbourne,1319,95-10-3-1-1
melbourne,1334,74-4-2-1-1
