Sub,word_ID_full,topic
mentalhealth,1,231-4-1-1-1
mentalhealth,8,231-4-1-1-1
mentalhealth,41,30-9-3-1-1
mentalhealth,69,291-13-3-1-1
mentalhealth,75,184-38-5-1-1
mentalhealth,94,231-4-1-1-1
mentalhealth,95,130-27-2-1-1
mentalhealth,97,130-27-2-1-1
mentalhealth,100,165-36-5-1-1
mentalhealth,102,272-23-2-1-1
mentalhealth,110,246-5-2-1-1
mentalhealth,166,231-4-1-1-1
mentalhealth,169,30-9-3-1-1
mentalhealth,170,30-9-3-1-1
mentalhealth,172,99-17-2-1-1
mentalhealth,203,223-21-2-1-1
mentalhealth,204,237-34-5-1-1
mentalhealth,217,117-13-3-1-1
mentalhealth,220,281-13-3-1-1
mentalhealth,228,246-5-2-1-1
mentalhealth,229,62-20-2-1-1
mentalhealth,231,127-11-1-1-1
mentalhealth,241,274-34-5-1-1
mentalhealth,243,183-13-3-1-1
mentalhealth,245,231-4-1-1-1
mentalhealth,246,223-21-2-1-1
mentalhealth,253,83-10-1-1-1
mentalhealth,254,83-10-1-1-1
mentalhealth,265,58-1-1-1-1
mentalhealth,266,116-12-4-1-1
mentalhealth,267,58-1-1-1-1
mentalhealth,268,58-1-1-1-1
mentalhealth,285,223-21-2-1-1
mentalhealth,289,231-4-1-1-1
mentalhealth,300,140-35-3-1-1
mentalhealth,301,212-27-2-1-1
mentalhealth,303,140-35-3-1-1
mentalhealth,304,79-28-2-1-1
mentalhealth,310,283-28-2-1-1
mentalhealth,325,79-28-2-1-1
mentalhealth,329,196-33-5-1-1
mentalhealth,330,231-4-1-1-1
mentalhealth,332,231-4-1-1-1
mentalhealth,335,63-26-3-1-1
mentalhealth,338,237-34-5-1-1
mentalhealth,339,179-24-3-1-1
mentalhealth,340,231-4-1-1-1
mentalhealth,344,231-4-1-1-1
mentalhealth,346,231-4-1-1-1
mentalhealth,347,303-5-2-1-1
mentalhealth,348,231-4-1-1-1
mentalhealth,349,303-5-2-1-1
mentalhealth,351,280-31-3-1-1
mentalhealth,361,83-10-1-1-1
mentalhealth,373,239-37-3-1-1
mentalhealth,389,102-19-2-1-1
mentalhealth,391,195-17-2-1-1
mentalhealth,392,65-1-1-1-1
mentalhealth,394,269-9-3-1-1
mentalhealth,398,237-34-5-1-1
mentalhealth,400,254-26-3-1-1
mentalhealth,402,285-37-3-1-1
mentalhealth,404,148-19-2-1-1
mentalhealth,408,290-17-2-1-1
mentalhealth,409,105-2-2-1-1
mentalhealth,415,41-1-1-1-1
mentalhealth,416,43-8-1-1-1
mentalhealth,420,248-18-3-1-1
mentalhealth,421,175-18-3-1-1
mentalhealth,422,223-21-2-1-1
mentalhealth,426,174-2-2-1-1
mentalhealth,427,109-21-2-1-1
mentalhealth,430,105-2-2-1-1
mentalhealth,431,116-12-4-1-1
mentalhealth,432,246-5-2-1-1
mentalhealth,433,231-4-1-1-1
mentalhealth,434,11-9-3-1-1
mentalhealth,435,249-9-3-1-1
mentalhealth,436,249-9-3-1-1
mentalhealth,438,61-2-2-1-1
mentalhealth,444,58-1-1-1-1
mentalhealth,447,242-13-3-1-1
mentalhealth,448,220-6-3-1-1
mentalhealth,449,248-18-3-1-1
mentalhealth,455,125-33-5-1-1
mentalhealth,456,125-33-5-1-1
mentalhealth,457,231-4-1-1-1
mentalhealth,460,253-6-3-1-1
mentalhealth,462,253-6-3-1-1
mentalhealth,465,264-35-3-1-1
mentalhealth,467,257-23-2-1-1
mentalhealth,468,252-6-3-1-1
mentalhealth,469,253-6-3-1-1
mentalhealth,470,264-35-3-1-1
mentalhealth,474,253-6-3-1-1
mentalhealth,476,253-6-3-1-1
mentalhealth,480,258-17-2-1-1
mentalhealth,487,274-34-5-1-1
mentalhealth,489,156-14-2-1-1
mentalhealth,498,209-31-3-1-1
mentalhealth,499,251-2-2-1-1
mentalhealth,501,204-9-3-1-1
mentalhealth,506,106-26-3-1-1
mentalhealth,508,106-26-3-1-1
mentalhealth,509,223-21-2-1-1
mentalhealth,510,285-37-3-1-1
mentalhealth,511,178-13-3-1-1
mentalhealth,512,106-26-3-1-1
mentalhealth,514,117-13-3-1-1
mentalhealth,515,106-26-3-1-1
mentalhealth,532,175-18-3-1-1
mentalhealth,538,117-13-3-1-1
mentalhealth,539,106-26-3-1-1
mentalhealth,540,223-21-2-1-1
mentalhealth,541,262-19-2-1-1
mentalhealth,547,239-37-3-1-1
mentalhealth,548,265-24-3-1-1
mentalhealth,552,169-10-1-1-1
mentalhealth,553,223-21-2-1-1
mentalhealth,555,223-21-2-1-1
mentalhealth,557,68-1-1-1-1
mentalhealth,560,169-10-1-1-1
mentalhealth,561,169-10-1-1-1
mentalhealth,562,297-37-3-1-1
mentalhealth,563,107-28-2-1-1
mentalhealth,565,178-13-3-1-1
mentalhealth,566,178-13-3-1-1
mentalhealth,567,113-21-2-1-1
mentalhealth,568,178-13-3-1-1
mentalhealth,570,242-13-3-1-1
mentalhealth,579,262-19-2-1-1
mentalhealth,580,287-6-3-1-1
mentalhealth,581,156-14-2-1-1
mentalhealth,582,261-32-3-1-1
mentalhealth,583,36-1-1-1-1
mentalhealth,585,262-19-2-1-1
mentalhealth,599,274-34-5-1-1
mentalhealth,603,79-28-2-1-1
mentalhealth,605,151-31-3-1-1
mentalhealth,606,209-31-3-1-1
mentalhealth,608,209-31-3-1-1
mentalhealth,609,222-31-3-1-1
mentalhealth,610,222-31-3-1-1
mentalhealth,611,231-4-1-1-1
mentalhealth,613,63-26-3-1-1
mentalhealth,614,283-28-2-1-1
mentalhealth,615,111-32-3-1-1
mentalhealth,616,116-12-4-1-1
mentalhealth,617,154-1-1-1-1
mentalhealth,618,58-1-1-1-1
mentalhealth,621,39-20-2-1-1
mentalhealth,622,39-20-2-1-1
mentalhealth,623,223-21-2-1-1
mentalhealth,624,39-20-2-1-1
mentalhealth,625,39-20-2-1-1
mentalhealth,626,39-20-2-1-1
