Sub,word_ID_full,topic
nyc,1,53-23-3-1
nyc,46,110-49-7-1
nyc,69,162-24-3-1
nyc,95,104-36-3-1
nyc,97,52-31-6-1
nyc,100,87-6-2-1
nyc,217,73-28-2-1
nyc,224,110-49-7-1
nyc,231,92-6-2-1
nyc,275,7-6-2-1
nyc,289,122-15-2-1
nyc,389,73-28-2-1
nyc,400,165-27-3-1
nyc,405,90-44-2-1
nyc,415,5-5-2-1
nyc,416,5-5-2-1
nyc,444,165-27-3-1
nyc,455,182-49-7-1
nyc,460,62-6-2-1
nyc,462,148-27-3-1
nyc,476,41-6-2-1
nyc,501,145-18-6-1
nyc,508,165-27-3-1
nyc,547,52-31-6-1
nyc,548,162-24-3-1
nyc,552,69-13-2-1
nyc,553,12-7-3-1
nyc,557,37-24-3-1
nyc,560,77-13-2-1
nyc,561,131-22-6-1
nyc,563,146-42-4-1
nyc,567,86-45-7-1
nyc,568,154-1-1-1
nyc,579,103-48-3-1
nyc,581,55-28-2-1
nyc,585,103-48-3-1
nyc,588,200-32-7-1
nyc,589,198-54-8-1
nyc,590,200-32-7-1
nyc,591,86-45-7-1
nyc,592,199-54-8-1
nyc,605,146-42-4-1
nyc,618,85-22-6-1
nyc,621,99-47-3-1
nyc,633,176-20-6-1
nyc,634,87-6-2-1
nyc,635,8-2-2-1
nyc,644,119-51-6-1
nyc,648,99-47-3-1
nyc,671,78-39-4-1
nyc,673,140-22-6-1
nyc,681,76-2-2-1
nyc,690,149-42-4-1
nyc,693,5-5-2-1
nyc,766,22-15-2-1
nyc,806,22-15-2-1
nyc,813,36-23-3-1
nyc,863,200-32-7-1
nyc,870,199-54-8-1
nyc,884,99-47-3-1
nyc,911,5-5-2-1
nyc,912,6-6-2-1
nyc,920,98-10-2-1
nyc,941,95-36-3-1
nyc,945,134-23-3-1
nyc,981,167-12-3-1
nyc,987,76-2-2-1
nyc,1018,65-22-6-1
nyc,1020,117-6-2-1
nyc,1025,14-10-2-1
nyc,1027,7-6-2-1
nyc,1033,84-44-2-1
nyc,1046,77-13-2-1
nyc,1048,5-5-2-1
nyc,1050,6-6-2-1
nyc,1052,7-6-2-1
nyc,1054,148-27-3-1
nyc,1055,121-6-2-1
nyc,1060,82-27-3-1
nyc,1062,134-23-3-1
nyc,1068,14-10-2-1
nyc,1069,5-5-2-1
nyc,1095,17-12-3-1
nyc,1099,16-11-3-1
nyc,1120,134-23-3-1
nyc,1140,77-13-2-1
nyc,1149,75-12-3-1
nyc,1161,52-31-6-1
nyc,1164,47-10-2-1
nyc,1168,75-12-3-1
nyc,1173,121-6-2-1
nyc,1174,68-28-2-1
nyc,1176,75-12-3-1
nyc,1192,68-28-2-1
nyc,1193,87-6-2-1
nyc,1194,46-26-1-1
nyc,1195,46-26-1-1
nyc,1199,55-28-2-1
nyc,1226,165-27-3-1
nyc,1227,73-28-2-1
nyc,1270,134-23-3-1
nyc,1293,192-7-3-1
nyc,1303,98-10-2-1
nyc,1308,47-10-2-1
nyc,1317,100-14-3-1
nyc,1319,42-18-6-1
nyc,1336,44-28-2-1
nyc,1337,64-28-2-1
nyc,1338,200-32-7-1
nyc,1341,156-46-7-1
nyc,1343,92-6-2-1
nyc,1345,165-27-3-1
nyc,1358,165-27-3-1
nyc,1359,165-27-3-1
nyc,1360,5-5-2-1
nyc,1366,76-2-2-1
nyc,1399,52-31-6-1
nyc,1400,52-31-6-1
nyc,1402,52-31-6-1
nyc,1403,91-31-6-1
nyc,1408,82-27-3-1
nyc,1458,93-47-3-1
nyc,1476,116-37-5-1
nyc,1483,5-5-2-1
nyc,1493,106-29-1-1
nyc,1496,89-36-3-1
nyc,1507,22-15-2-1
nyc,1514,134-23-3-1
nyc,1523,44-28-2-1
nyc,1528,142-43-6-1
nyc,1529,83-43-6-1
nyc,1535,37-24-3-1
nyc,1537,101-19-3-1
nyc,1590,178-40-8-1
nyc,1591,42-18-6-1
nyc,1593,130-44-2-1
nyc,1597,6-6-2-1
nyc,1601,73-28-2-1
nyc,1602,54-32-7-1
nyc,1603,66-15-2-1
nyc,1604,7-6-2-1
nyc,1606,66-15-2-1
nyc,1607,53-23-3-1
nyc,1668,57-31-6-1
nyc,1692,144-48-3-1
nyc,1707,25-14-3-1
nyc,1721,6-6-2-1
nyc,1723,5-5-2-1
nyc,1724,45-24-3-1
nyc,1725,85-22-6-1
nyc,1733,5-5-2-1
nyc,1739,90-44-2-1
nyc,1742,46-26-1-1
nyc,1763,109-15-2-1
nyc,1765,174-15-2-1
nyc,1785,53-23-3-1
nyc,1795,5-5-2-1
nyc,1822,78-39-4-1
nyc,1854,131-22-6-1
nyc,1993,115-50-8-1
nyc,1996,10-2-2-1
nyc,1999,197-53-7-1
nyc,2005,35-22-6-1
nyc,2012,21-12-3-1
nyc,2014,66-15-2-1
nyc,2016,165-27-3-1
nyc,2021,81-42-4-1
nyc,2029,69-13-2-1
nyc,2031,69-13-2-1
nyc,2037,116-37-5-1
nyc,2070,14-10-2-1
nyc,2071,47-10-2-1
nyc,2150,197-53-7-1
nyc,2173,28-17-2-1
nyc,2247,33-21-4-1
nyc,2250,69-13-2-1
nyc,2263,14-10-2-1
nyc,2264,97-43-6-1
nyc,2293,35-22-6-1
nyc,2294,134-23-3-1
nyc,2327,44-28-2-1
nyc,2392,197-53-7-1
nyc,2462,21-12-3-1
nyc,2513,144-48-3-1
nyc,2543,150-16-5-1
nyc,2546,20-14-3-1
nyc,2549,25-14-3-1
nyc,2551,162-24-3-1
nyc,2556,110-49-7-1
nyc,2559,95-36-3-1
nyc,2583,95-36-3-1
nyc,2589,99-47-3-1
nyc,2637,100-14-3-1
nyc,2670,73-28-2-1
nyc,2685,144-48-3-1
nyc,2686,73-28-2-1
nyc,2687,73-28-2-1
nyc,2688,182-49-7-1
nyc,2714,167-12-3-1
nyc,2727,44-28-2-1
nyc,2811,117-6-2-1
nyc,2830,54-32-7-1
nyc,2865,20-14-3-1
nyc,2886,134-23-3-1
nyc,2909,189-47-3-1
nyc,3003,17-12-3-1
nyc,3076,31-19-3-1
nyc,3087,84-44-2-1
nyc,3120,89-36-3-1
nyc,3160,3-3-3-1
nyc,3235,53-23-3-1
nyc,3237,89-36-3-1
nyc,3301,16-11-3-1
nyc,3305,190-48-3-1
nyc,3313,53-23-3-1
nyc,3334,47-10-2-1
nyc,3357,55-28-2-1
nyc,3384,90-44-2-1
nyc,3400,40-13-2-1
nyc,3416,140-22-6-1
nyc,3463,5-5-2-1
nyc,3490,35-22-6-1
nyc,3497,47-10-2-1
nyc,3508,47-10-2-1
nyc,3510,166-16-5-1
nyc,3512,182-49-7-1
nyc,3560,52-31-6-1
nyc,3581,69-13-2-1
nyc,3585,92-6-2-1
nyc,3588,6-6-2-1
nyc,3589,10-2-2-1
nyc,3616,52-31-6-1
nyc,3637,95-36-3-1
nyc,3668,130-44-2-1
nyc,3683,12-7-3-1
nyc,3700,5-5-2-1
nyc,3746,90-44-2-1
nyc,3750,200-32-7-1
nyc,3753,86-45-7-1
nyc,3760,173-37-5-1
nyc,3763,131-22-6-1
nyc,3766,149-42-4-1
nyc,3776,76-2-2-1
nyc,3822,3-3-3-1
nyc,3919,121-6-2-1
nyc,3935,15-10-2-1
nyc,3983,76-2-2-1
nyc,4012,46-26-1-1
nyc,4033,94-48-3-1
nyc,4038,23-13-2-1
nyc,4040,100-14-3-1
nyc,4062,201-54-8-1
nyc,4090,53-23-3-1
nyc,4138,57-31-6-1
nyc,4155,194-34-4-1
nyc,4156,25-14-3-1
nyc,4203,41-6-2-1
nyc,4218,192-7-3-1
nyc,4230,29-17-2-1
nyc,4236,32-20-6-1
nyc,4243,110-49-7-1
nyc,4249,32-20-6-1
nyc,4270,134-23-3-1
nyc,4271,134-23-3-1
nyc,4272,99-47-3-1
nyc,4292,134-23-3-1
nyc,4300,103-48-3-1
nyc,4319,77-13-2-1
nyc,4340,2-2-2-1
nyc,4345,142-43-6-1
nyc,4352,164-15-2-1
nyc,4358,15-10-2-1
nyc,4359,12-7-3-1
nyc,4366,76-2-2-1
nyc,4404,166-16-5-1
nyc,4432,110-49-7-1
nyc,4526,10-2-2-1
