Sub,word_ID_full,topic
progressive,231,1-1-1
progressive,275,4-2-1
progressive,303,4-2-1
progressive,405,2-2-1
progressive,415,1-1-1
progressive,416,1-1-1
progressive,552,5-2-1
progressive,633,4-2-1
progressive,690,1-1-1
progressive,693,1-1-1
progressive,844,1-1-1
progressive,881,1-1-1
progressive,911,1-1-1
progressive,1018,1-1-1
progressive,1027,1-1-1
progressive,1033,4-2-1
progressive,1046,1-1-1
progressive,1048,1-1-1
progressive,1052,5-2-1
progressive,1069,1-1-1
progressive,1099,1-1-1
progressive,1149,1-1-1
progressive,1174,5-2-1
progressive,1192,4-2-1
progressive,1341,1-1-1
progressive,1360,3-2-1
progressive,1493,1-1-1
progressive,1507,1-1-1
progressive,1724,5-2-1
progressive,1765,1-1-1
progressive,1993,4-2-1
progressive,2012,1-1-1
progressive,2016,1-1-1
progressive,2173,4-2-1
progressive,2247,1-1-1
progressive,2266,1-1-1
progressive,2462,1-1-1
progressive,2637,2-2-1
progressive,2865,4-2-1
progressive,3400,1-1-1
progressive,3746,2-2-1
progressive,3760,1-1-1
progressive,3766,1-1-1
progressive,4340,1-1-1
progressive,4535,4-2-1
progressive,5330,1-1-1
progressive,5744,1-1-1
progressive,5762,5-2-1
progressive,6580,2-2-1
progressive,6611,1-1-1
progressive,6721,4-2-1
progressive,6772,1-1-1
progressive,6779,4-2-1
progressive,6783,4-2-1
progressive,7446,1-1-1
progressive,7528,1-1-1
progressive,7536,1-1-1
progressive,7543,1-1-1
progressive,7670,3-2-1
progressive,7781,2-2-1
progressive,7800,3-2-1
progressive,7880,2-2-1
progressive,7898,2-2-1
progressive,8034,1-1-1
progressive,8043,4-2-1
progressive,8088,2-2-1
progressive,8236,4-2-1
progressive,8273,1-1-1
progressive,8369,1-1-1
progressive,8605,4-2-1
progressive,8762,1-1-1
progressive,8799,1-1-1
progressive,8897,5-2-1
progressive,8901,1-1-1
progressive,8980,1-1-1
progressive,9002,1-1-1
progressive,9421,3-2-1
progressive,9603,1-1-1
progressive,9625,3-2-1
progressive,9649,3-2-1
progressive,10043,1-1-1
progressive,10211,1-1-1
progressive,10256,1-1-1
progressive,10322,4-2-1
progressive,10562,1-1-1
progressive,10581,1-1-1
progressive,10872,1-1-1
progressive,10932,4-2-1
progressive,11039,4-2-1
progressive,11140,1-1-1
progressive,11166,2-2-1
progressive,11168,2-2-1
progressive,11180,2-2-1
progressive,11191,4-2-1
progressive,11240,2-2-1
progressive,11639,1-1-1
progressive,11643,4-2-1
progressive,11654,5-2-1
progressive,11665,1-1-1
progressive,12016,4-2-1
progressive,12023,1-1-1
progressive,12043,1-1-1
progressive,12111,1-1-1
progressive,12188,1-1-1
progressive,12407,1-1-1
progressive,12445,1-1-1
progressive,12484,4-2-1
progressive,12658,1-1-1
progressive,12729,1-1-1
progressive,12918,1-1-1
progressive,12966,1-1-1
progressive,13069,5-2-1
progressive,13201,1-1-1
progressive,13216,1-1-1
progressive,13283,1-1-1
progressive,13426,1-1-1
progressive,13530,5-2-1
progressive,13571,2-2-1
progressive,13621,3-2-1
progressive,13772,1-1-1
progressive,13775,3-2-1
progressive,13792,1-1-1
progressive,13867,1-1-1
progressive,13906,3-2-1
progressive,14011,1-1-1
progressive,14164,5-2-1
progressive,14210,5-2-1
progressive,14214,1-1-1
progressive,14317,1-1-1
progressive,14471,1-1-1
progressive,14476,1-1-1
progressive,14484,1-1-1
progressive,14494,1-1-1
progressive,14505,1-1-1
progressive,14552,1-1-1
progressive,14558,2-2-1
progressive,14608,1-1-1
progressive,14610,1-1-1
progressive,14797,1-1-1
progressive,14843,1-1-1
progressive,15448,1-1-1
progressive,15466,4-2-1
progressive,15469,1-1-1
progressive,15578,4-2-1
progressive,15656,2-2-1
progressive,15676,1-1-1
progressive,15822,1-1-1
progressive,15852,1-1-1
progressive,15991,5-2-1
progressive,15998,5-2-1
progressive,16026,1-1-1
progressive,16053,5-2-1
progressive,16257,4-2-1
progressive,16298,1-1-1
progressive,16303,1-1-1
progressive,16305,1-1-1
progressive,16311,1-1-1
progressive,16326,1-1-1
progressive,16358,1-1-1
progressive,16360,1-1-1
progressive,16361,4-2-1
progressive,16362,1-1-1
progressive,16402,4-2-1
progressive,16446,1-1-1
progressive,16525,1-1-1
progressive,16608,1-1-1
progressive,16797,4-2-1
progressive,16955,4-2-1
progressive,16973,1-1-1
progressive,16985,1-1-1
progressive,17028,1-1-1
progressive,17131,1-1-1
progressive,17180,1-1-1
progressive,17231,1-1-1
progressive,17275,1-1-1
progressive,17276,1-1-1
progressive,17296,1-1-1
progressive,17312,1-1-1
progressive,17389,1-1-1
progressive,17391,1-1-1
progressive,17609,1-1-1
progressive,17788,5-2-1
progressive,17856,1-1-1
progressive,17858,1-1-1
progressive,17925,5-2-1
progressive,17990,1-1-1
progressive,18085,1-1-1
progressive,18089,1-1-1
progressive,18128,1-1-1
progressive,18138,1-1-1
progressive,18153,1-1-1
progressive,18192,4-2-1
progressive,18244,1-1-1
progressive,18283,1-1-1
progressive,18468,1-1-1
progressive,18506,1-1-1
progressive,18518,1-1-1
progressive,18565,1-1-1
progressive,18577,1-1-1
progressive,18650,1-1-1
progressive,18655,1-1-1
progressive,18675,1-1-1
progressive,18707,4-2-1
progressive,18717,4-2-1
progressive,18733,1-1-1
progressive,18748,1-1-1
progressive,18930,1-1-1
progressive,18936,1-1-1
progressive,19063,1-1-1
progressive,19069,1-1-1
progressive,19307,4-2-1
progressive,19419,1-1-1
progressive,19486,1-1-1
progressive,19501,1-1-1
progressive,19506,1-1-1
progressive,19659,1-1-1
progressive,19712,1-1-1
progressive,19753,1-1-1
progressive,19774,1-1-1
progressive,19809,1-1-1
progressive,19909,2-2-1
progressive,19984,1-1-1
progressive,20074,4-2-1
progressive,20116,5-2-1
progressive,20149,1-1-1
progressive,20188,4-2-1
progressive,20287,1-1-1
progressive,20307,4-2-1
progressive,20323,1-1-1
progressive,20418,1-1-1
progressive,20594,5-2-1
progressive,20638,1-1-1
progressive,20734,1-1-1
progressive,20738,1-1-1
progressive,20743,1-1-1
progressive,20810,4-2-1
progressive,21151,1-1-1
progressive,21166,1-1-1
progressive,21241,1-1-1
progressive,21255,4-2-1
progressive,21292,2-2-1
progressive,21293,4-2-1
progressive,21556,1-1-1
progressive,21618,1-1-1
progressive,21650,1-1-1
progressive,21833,1-1-1
progressive,21976,1-1-1
progressive,22017,1-1-1
progressive,22021,1-1-1
progressive,22675,1-1-1
progressive,22695,1-1-1
progressive,22881,1-1-1
progressive,23373,1-1-1
progressive,23415,5-2-1
progressive,23502,1-1-1
progressive,24056,1-1-1
progressive,24075,1-1-1
progressive,24285,1-1-1
progressive,24460,4-2-1
progressive,24467,4-2-1
progressive,24565,1-1-1
progressive,24647,1-1-1
progressive,24751,1-1-1
progressive,24778,4-2-1
progressive,24851,4-2-1
progressive,24934,3-2-1
progressive,24954,5-2-1
progressive,24958,5-2-1
progressive,24959,1-1-1
progressive,24962,5-2-1
progressive,25033,1-1-1
progressive,25776,1-1-1
progressive,25779,3-2-1
progressive,25790,1-1-1
progressive,25796,1-1-1
progressive,26063,1-1-1
progressive,26122,4-2-1
progressive,26357,1-1-1
progressive,26547,5-2-1
progressive,26592,1-1-1
progressive,26597,1-1-1
progressive,26600,2-2-1
progressive,26736,1-1-1
progressive,26746,4-2-1
progressive,26761,1-1-1
progressive,26807,2-2-1
progressive,26875,2-2-1
progressive,27064,4-2-1
progressive,27084,4-2-1
progressive,27131,1-1-1
progressive,27142,1-1-1
progressive,27368,2-2-1
progressive,27539,4-2-1
progressive,27631,1-1-1
progressive,27825,1-1-1
progressive,27839,2-2-1
progressive,27865,4-2-1
progressive,28047,1-1-1
progressive,28050,1-1-1
progressive,28066,1-1-1
progressive,28078,1-1-1
progressive,28116,1-1-1
progressive,28255,1-1-1
progressive,28313,4-2-1
progressive,28649,1-1-1
progressive,29009,1-1-1
progressive,29600,4-2-1
progressive,29709,1-1-1
progressive,29756,1-1-1
progressive,29938,1-1-1
progressive,29954,5-2-1
progressive,29961,1-1-1
progressive,30139,5-2-1
progressive,30224,2-2-1
progressive,30334,1-1-1
progressive,30347,2-2-1
progressive,30569,1-1-1
progressive,30684,4-2-1
progressive,30725,1-1-1
progressive,30926,4-2-1
progressive,30929,1-1-1
progressive,30956,1-1-1
progressive,30997,5-2-1
progressive,31215,1-1-1
progressive,31245,1-1-1
progressive,31261,1-1-1
progressive,31284,5-2-1
progressive,31300,1-1-1
progressive,31334,1-1-1
progressive,31343,1-1-1
progressive,31596,1-1-1
progressive,31651,1-1-1
progressive,31698,4-2-1
progressive,31722,1-1-1
progressive,31741,5-2-1
progressive,31802,1-1-1
progressive,31837,1-1-1
progressive,32096,1-1-1
progressive,32107,1-1-1
progressive,32144,4-2-1
progressive,32182,1-1-1
progressive,32190,1-1-1
progressive,32264,4-2-1
progressive,32277,1-1-1
progressive,32279,1-1-1
progressive,32283,1-1-1
progressive,32384,4-2-1
progressive,32427,3-2-1
progressive,32757,1-1-1
progressive,32793,1-1-1
progressive,32797,1-1-1
progressive,32830,1-1-1
progressive,32894,4-2-1
progressive,32899,3-2-1
progressive,32925,4-2-1
progressive,33028,1-1-1
progressive,33055,1-1-1
progressive,33119,1-1-1
progressive,33155,4-2-1
progressive,33236,3-2-1
progressive,33264,1-1-1
progressive,33268,1-1-1
progressive,33362,1-1-1
progressive,33448,1-1-1
progressive,33702,1-1-1
progressive,33734,4-2-1
progressive,33832,1-1-1
progressive,33841,1-1-1
progressive,33929,4-2-1
progressive,34005,4-2-1
progressive,34100,1-1-1
progressive,34132,5-2-1
progressive,34616,1-1-1
progressive,34793,1-1-1
