Sub,word_ID_full,topic
soccer,1,1267-619-439-129-19-1
soccer,10,2988-149-116-69-7-1
soccer,11,2088-1145-611-24-3-1
soccer,12,1722-36-31-6-1-1
soccer,13,2378-1281-727-116-3-1
soccer,15,3805-149-116-69-7-1
soccer,16,3286-1615-1006-170-9-1
soccer,17,3382-202-149-2-2-1
soccer,18,1885-151-118-25-10-1
soccer,19,1885-151-118-25-10-1
soccer,20,186-134-102-6-1-1
soccer,21,3652-151-118-25-10-1
soccer,22,1885-151-118-25-10-1
soccer,23,3236-1384-203-90-11-1
soccer,24,987-554-397-156-5-1
soccer,25,2496-1028-727-116-3-1
soccer,26,3074-1551-301-135-15-1
soccer,28,3386-954-687-56-15-1
soccer,29,129-41-36-4-2-1
soccer,30,78-31-26-15-7-1
soccer,31,863-44-39-22-14-1
soccer,32,41-38-33-21-10-1
soccer,34,3057-150-117-24-3-1
soccer,35,3421-132-100-58-3-1
soccer,36,974-128-74-48-14-1
soccer,37,3389-202-149-2-2-1
soccer,38,1885-151-118-25-10-1
soccer,39,1885-151-118-25-10-1
soccer,40,674-151-118-25-10-1
soccer,42,1736-42-37-23-15-1
soccer,44,3652-151-118-25-10-1
soccer,45,3033-131-99-58-3-1
soccer,47,3661-1704-906-34-5-1
soccer,49,2745-1406-920-116-3-1
soccer,50,1181-635-453-98-7-1
soccer,51,2199-1197-790-194-12-1
soccer,52,3547-134-102-6-1-1
soccer,54,1935-1013-295-6-1-1
soccer,55,204-151-118-25-10-1
soccer,56,1955-1077-62-25-10-1
soccer,57,1872-1030-729-58-3-1
soccer,58,3261-1606-858-63-15-1
soccer,60,3326-695-501-116-3-1
soccer,62,2504-1028-727-116-3-1
soccer,65,204-151-118-25-10-1
soccer,66,204-151-118-25-10-1
soccer,67,2442-1298-480-166-12-1
soccer,68,200-147-114-68-12-1
soccer,69,3749-1622-1010-65-17-1
soccer,70,2353-1264-848-41-15-1
soccer,71,2893-1104-773-57-17-1
soccer,73,2496-1028-727-116-3-1
soccer,74,1591-884-638-29-9-1
soccer,76,2303-1162-436-98-7-1
soccer,77,2697-1410-173-90-11-1
soccer,78,3588-765-557-133-15-1
soccer,79,2055-1127-448-150-11-1
soccer,80,2037-149-116-69-7-1
soccer,81,1905-1042-379-104-11-1
soccer,82,2893-1104-773-57-17-1
soccer,83,3776-1705-923-58-3-1
soccer,85,3254-1602-940-158-17-1
soccer,87,1509-838-610-154-12-1
soccer,88,1777-979-701-104-11-1
soccer,90,3713-1473-589-6-1-1
soccer,91,1664-294-213-91-3-1
soccer,92,2025-1061-747-6-1-1
soccer,93,1745-421-293-25-10-1
soccer,97,1455-297-127-61-8-1
soccer,105,1793-990-86-53-11-1
soccer,106,2727-1071-701-104-11-1
soccer,107,3385-134-102-6-1-1
soccer,108,3598-132-100-58-3-1
soccer,109,2640-149-116-69-7-1
soccer,111,1985-1091-718-98-7-1
soccer,112,1831-1011-717-192-9-1
soccer,114,1802-228-164-90-11-1
soccer,115,3124-1533-925-58-3-1
soccer,116,1193-648-464-166-12-1
soccer,117,1209-618-438-144-5-1
soccer,121,2988-149-116-69-7-1
soccer,122,3038-1536-975-159-18-1
soccer,123,2061-1132-289-58-3-1
soccer,126,1644-22-20-6-1-1
soccer,132,1977-149-116-69-7-1
soccer,134,2796-1091-718-98-7-1
soccer,135,3754-1627-259-123-12-1
soccer,145,2661-1406-920-116-3-1
soccer,146,1836-1013-295-6-1-1
soccer,148,52-47-42-26-11-1
soccer,149,736-453-325-24-3-1
soccer,150,2511-1261-342-124-3-1
soccer,151,1989-626-445-15-7-1
soccer,152,1951-748-544-91-3-1
soccer,158,3112-1562-447-125-18-1
soccer,160,3134-1131-787-60-15-1
soccer,161,1930-1063-749-197-9-1
soccer,162,1347-38-33-21-10-1
soccer,163,2855-229-133-72-16-1
soccer,181,3750-1725-781-63-15-1
soccer,182,3676-1552-982-191-9-1
soccer,183,2592-149-116-69-7-1
soccer,184,3024-1531-513-58-3-1
soccer,185,2313-400-282-58-3-1
soccer,189,2905-952-686-58-3-1
soccer,190,3146-478-342-124-3-1
soccer,191,3364-1014-572-88-5-1
soccer,192,2289-726-528-37-5-1
soccer,193,3719-149-116-69-7-1
soccer,194,1645-22-20-6-1-1
soccer,202,2046-1119-782-64-15-1
soccer,206,2747-852-609-98-7-1
soccer,207,3116-294-213-91-3-1
soccer,208,506-315-224-69-7-1
soccer,209,325-74-44-27-10-1
soccer,210,1556-861-623-170-9-1
soccer,211,2645-1398-916-109-13-1
soccer,212,492-307-123-73-11-1
soccer,213,3567-64-26-15-7-1
soccer,214,2582-1374-647-21-10-1
soccer,215,3206-1421-925-58-3-1
soccer,216,2391-1281-727-116-3-1
soccer,221,1563-424-301-135-15-1
soccer,222,1609-897-647-21-10-1
soccer,223,2309-1200-640-147-5-1
soccer,225,811-169-128-61-8-1
soccer,226,657-48-43-25-10-1
soccer,227,2279-35-30-19-13-1
soccer,229,275-86-74-48-14-1
soccer,231,275-86-74-48-14-1
soccer,232,3799-765-557-133-15-1
soccer,233,1980-1087-764-164-12-1
soccer,235,319-215-157-87-11-1
soccer,236,851-489-350-147-5-1
soccer,237,2169-1187-810-24-3-1
soccer,238,1161-626-445-15-7-1
soccer,239,27-24-18-6-1-1
soccer,240,1833-1008-714-92-19-1
soccer,241,2309-1200-640-147-5-1
soccer,244,908-516-372-6-1-1
soccer,246,2653-160-121-72-16-1
soccer,247,200-147-114-68-12-1
soccer,250,1163-627-175-51-16-1
soccer,258,2372-1278-854-38-11-1
soccer,259,3355-1626-194-100-3-1
soccer,260,18-18-18-6-1-1
soccer,261,1469-821-600-91-3-1
soccer,262,3420-1605-998-63-15-1
soccer,264,3890-1630-939-211-9-1
soccer,269,1716-947-683-173-15-1
soccer,274,1711-53-31-6-1-1
soccer,276,582-237-104-61-8-1
soccer,282,2802-1453-940-158-17-1
soccer,283,2805-1456-893-197-9-1
soccer,287,1126-357-251-61-8-1
soccer,288,192-139-106-58-3-1
soccer,289,2608-1355-501-116-3-1
soccer,293,2079-1140-609-98-7-1
soccer,294,2867-371-264-115-2-1
soccer,295,1798-994-393-85-16-1
soccer,296,3346-897-647-21-10-1
soccer,299,3674-1629-1013-105-9-1
soccer,306,2549-626-445-15-7-1
soccer,307,3114-1473-589-6-1-1
soccer,311,640-388-278-118-17-1
soccer,312,187-135-103-60-15-1
soccer,316,1748-963-382-2-2-1
soccer,318,1347-38-33-21-10-1
soccer,355,1847-1017-718-98-7-1
soccer,357,675-407-289-58-3-1
soccer,358,1200-651-465-18-15-1
soccer,359,2988-149-116-69-7-1
soccer,360,1661-672-485-92-19-1
soccer,362,1315-670-452-143-7-1
soccer,363,1102-193-143-61-8-1
soccer,364,2442-1298-480-166-12-1
soccer,365,759-459-330-92-19-1
soccer,366,2590-1378-905-194-12-1
soccer,367,2255-1044-738-195-9-1
soccer,368,1212-651-465-18-15-1
soccer,372,3383-134-102-6-1-1
soccer,373,1404-780-571-150-11-1
soccer,374,2172-1189-335-39-5-1
soccer,376,2079-1140-609-98-7-1
soccer,378,2596-931-669-186-9-1
soccer,379,1325-726-528-37-5-1
soccer,380,2063-1134-789-68-12-1
soccer,382,2399-1288-859-3-3-1
soccer,383,2178-441-315-27-10-1
soccer,384,3167-979-701-104-11-1
soccer,385,821-479-343-144-5-1
soccer,386,731-449-321-114-19-1
soccer,387,3468-878-609-98-7-1
soccer,388,186-134-102-6-1-1
soccer,389,1703-356-250-61-8-1
soccer,393,670-403-285-71-16-1
soccer,400,1090-110-74-48-14-1
soccer,402,479-291-76-48-14-1
soccer,404,429-189-76-48-14-1
soccer,411,3665-149-116-69-7-1
soccer,415,303-109-83-48-14-1
soccer,416,147-111-83-48-14-1
soccer,444,1003-250-74-48-14-1
soccer,451,2905-952-686-58-3-1
soccer,453,1954-1076-758-158-17-1
soccer,455,295-194-76-48-14-1
soccer,458,3637-1121-782-64-15-1
soccer,459,2893-1104-773-57-17-1
soccer,460,810-153-79-22-14-1
soccer,462,206-153-79-22-14-1
soccer,473,1383-764-293-25-10-1
soccer,474,179-128-74-48-14-1
soccer,489,536-323-229-53-11-1
soccer,490,72-63-55-6-1-1
soccer,491,3845-64-26-15-7-1
soccer,498,848-120-83-48-14-1
soccer,499,561-128-74-48-14-1
soccer,501,2909-217-159-53-11-1
soccer,502,3327-1298-480-166-12-1
soccer,505,1274-695-501-116-3-1
soccer,514,772-188-142-61-8-1
soccer,515,295-194-76-48-14-1
soccer,517,3222-1326-925-58-3-1
soccer,518,2003-1092-176-92-19-1
soccer,519,3719-149-116-69-7-1
soccer,520,1764-973-70-44-13-1
soccer,521,3116-294-213-91-3-1
soccer,522,2602-1053-210-52-10-1
soccer,526,1498-548-225-71-16-1
soccer,527,553-231-169-90-11-1
soccer,529,438-281-204-53-11-1
soccer,530,1009-93-77-22-14-1
soccer,533,2131-1168-802-156-5-1
soccer,534,2969-1453-940-158-17-1
soccer,535,2933-1506-342-124-3-1
soccer,542,513-289-83-48-14-1
soccer,552,474-291-76-48-14-1
soccer,553,1109-488-250-61-8-1
soccer,555,1109-488-250-61-8-1
soccer,557,654-162-83-48-14-1
soccer,560,376-128-74-48-14-1
soccer,563,475-121-76-48-14-1
soccer,567,960-343-83-48-14-1
soccer,573,3133-1566-987-214-4-1
soccer,575,3306-1567-718-98-7-1
soccer,577,2998-1140-609-98-7-1
soccer,578,2964-1506-342-124-3-1
soccer,579,365-94-39-22-14-1
soccer,580,935-531-329-51-16-1
soccer,581,528-44-39-22-14-1
soccer,598,241-176-133-72-16-1
soccer,603,561-128-74-48-14-1
soccer,605,485-105-76-48-14-1
soccer,615,961-90-76-48-14-1
soccer,617,1142-291-76-48-14-1
soccer,621,379-128-74-48-14-1
soccer,622,725-87-74-48-14-1
soccer,624,2676-835-184-71-16-1
soccer,625,2996-615-435-71-16-1
soccer,626,1089-169-128-61-8-1
soccer,629,1886-302-218-61-8-1
soccer,633,741-173-76-48-14-1
soccer,635,379-128-74-48-14-1
soccer,640,497-128-74-48-14-1
soccer,644,986-302-218-61-8-1
soccer,648,850-488-250-61-8-1
soccer,666,2746-545-143-61-8-1
soccer,669,419-96-39-22-14-1
soccer,670,1163-627-175-51-16-1
soccer,671,597-162-83-48-14-1
soccer,672,1798-994-393-85-16-1
soccer,673,592-110-74-48-14-1
soccer,674,1833-1008-714-92-19-1
soccer,676,1859-302-218-61-8-1
soccer,678,727-154-74-48-14-1
soccer,681,960-343-83-48-14-1
soccer,685,2520-187-141-45-10-1
soccer,690,2701-1390-166-53-11-1
soccer,693,206-153-79-22-14-1
soccer,696,1403-670-452-143-7-1
soccer,698,1470-820-594-82-2-1
soccer,699,725-87-74-48-14-1
soccer,700,2066-1126-307-25-10-1
soccer,742,2986-350-247-116-3-1
soccer,743,1745-421-293-25-10-1
soccer,745,2354-1265-849-129-19-1
soccer,746,403-264-171-91-3-1
soccer,748,3753-1365-902-147-5-1
soccer,749,1584-634-452-143-7-1
soccer,750,2334-1257-343-144-5-1
soccer,762,2681-166-125-53-11-1
soccer,763,3016-1071-701-104-11-1
