Sub,word_ID_full,topic
socialism,95,1-1
socialism,97,1-1
socialism,100,1-1
socialism,124,1-1
socialism,204,1-1
socialism,217,1-1
socialism,229,1-1
socialism,231,1-1
socialism,246,1-1
socialism,253,1-1
socialism,254,1-1
socialism,275,1-1
socialism,276,1-1
socialism,277,1-1
socialism,278,1-1
socialism,279,1-1
socialism,280,1-1
socialism,281,1-1
socialism,289,1-1
socialism,303,1-1
socialism,316,1-1
socialism,317,1-1
socialism,389,1-1
socialism,400,1-1
socialism,415,1-1
socialism,416,1-1
socialism,426,1-1
socialism,438,1-1
socialism,444,1-1
socialism,447,1-1
socialism,455,1-1
socialism,460,1-1
socialism,462,1-1
socialism,470,1-1
socialism,474,1-1
socialism,476,1-1
socialism,489,1-1
socialism,498,1-1
socialism,506,1-1
socialism,508,1-1
socialism,512,1-1
socialism,538,1-1
socialism,543,1-1
socialism,552,1-1
socialism,553,1-1
socialism,555,1-1
socialism,557,1-1
socialism,560,1-1
socialism,563,1-1
socialism,567,1-1
socialism,579,1-1
socialism,581,1-1
socialism,585,1-1
socialism,615,1-1
socialism,621,1-1
socialism,622,1-1
socialism,626,1-1
socialism,629,1-1
socialism,633,1-1
socialism,634,1-1
socialism,635,1-1
socialism,640,1-1
socialism,644,1-1
socialism,648,1-1
socialism,658,1-1
socialism,665,1-1
socialism,666,1-1
socialism,669,1-1
socialism,671,1-1
socialism,673,1-1
socialism,678,1-1
socialism,681,1-1
socialism,685,1-1
socialism,690,1-1
socialism,693,1-1
socialism,698,1-1
socialism,699,1-1
socialism,766,1-1
socialism,806,1-1
socialism,807,1-1
socialism,808,1-1
socialism,809,1-1
socialism,812,1-1
socialism,813,1-1
socialism,817,1-1
socialism,844,1-1
socialism,859,1-1
socialism,881,1-1
socialism,884,1-1
socialism,911,1-1
socialism,912,1-1
socialism,915,1-1
socialism,920,1-1
socialism,942,1-1
socialism,986,1-1
socialism,987,1-1
socialism,990,1-1
socialism,1018,1-1
socialism,1020,1-1
socialism,1025,1-1
socialism,1027,1-1
socialism,1033,1-1
socialism,1046,1-1
socialism,1048,1-1
socialism,1049,1-1
socialism,1050,1-1
socialism,1052,1-1
socialism,1054,1-1
socialism,1055,1-1
socialism,1060,1-1
socialism,1062,1-1
socialism,1068,1-1
socialism,1069,1-1
socialism,1090,1-1
socialism,1099,1-1
socialism,1120,1-1
socialism,1125,1-1
socialism,1140,1-1
socialism,1145,1-1
socialism,1146,1-1
socialism,1149,1-1
socialism,1161,1-1
socialism,1163,1-1
socialism,1168,1-1
socialism,1173,1-1
socialism,1174,1-1
socialism,1192,1-1
socialism,1193,1-1
socialism,1194,1-1
socialism,1195,1-1
socialism,1199,1-1
socialism,1226,1-1
socialism,1227,1-1
socialism,1249,1-1
socialism,1266,1-1
socialism,1267,1-1
socialism,1317,1-1
socialism,1322,1-1
socialism,1334,1-1
socialism,1336,1-1
socialism,1341,1-1
socialism,1342,1-1
socialism,1343,1-1
socialism,1345,1-1
socialism,1351,1-1
socialism,1360,1-1
socialism,1366,1-1
socialism,1367,1-1
socialism,1399,1-1
socialism,1400,1-1
socialism,1402,1-1
socialism,1403,1-1
socialism,1407,1-1
socialism,1458,1-1
socialism,1476,1-1
socialism,1483,1-1
socialism,1488,1-1
socialism,1493,1-1
socialism,1496,1-1
socialism,1499,1-1
socialism,1500,1-1
socialism,1502,1-1
socialism,1506,1-1
socialism,1507,1-1
socialism,1512,1-1
socialism,1513,1-1
socialism,1514,1-1
socialism,1520,1-1
socialism,1523,1-1
socialism,1529,1-1
socialism,1533,1-1
socialism,1535,1-1
socialism,1537,1-1
socialism,1603,1-1
socialism,1604,1-1
socialism,1605,1-1
socialism,1606,1-1
socialism,1607,1-1
socialism,1642,1-1
socialism,1668,1-1
socialism,1670,1-1
socialism,1692,1-1
socialism,1721,1-1
socialism,1723,1-1
socialism,1724,1-1
socialism,1725,1-1
socialism,1733,1-1
socialism,1742,1-1
socialism,1744,1-1
socialism,1762,1-1
socialism,1763,1-1
socialism,1765,1-1
socialism,1791,1-1
socialism,1795,1-1
socialism,1802,1-1
socialism,1803,1-1
socialism,1820,1-1
socialism,1822,1-1
socialism,1993,1-1
socialism,2012,1-1
socialism,2014,1-1
socialism,2016,1-1
socialism,2029,1-1
socialism,2031,1-1
socialism,2037,1-1
socialism,2058,1-1
socialism,2068,1-1
socialism,2070,1-1
socialism,2071,1-1
socialism,2114,1-1
socialism,2117,1-1
socialism,2173,1-1
socialism,2240,1-1
socialism,2247,1-1
socialism,2250,1-1
socialism,2263,1-1
socialism,2264,1-1
socialism,2266,1-1
socialism,2271,1-1
socialism,2272,1-1
socialism,2327,1-1
socialism,2443,1-1
socialism,2462,1-1
socialism,2472,1-1
socialism,2478,1-1
socialism,2513,1-1
socialism,2516,1-1
socialism,2537,1-1
socialism,2543,1-1
socialism,2546,1-1
socialism,2549,1-1
socialism,2551,1-1
socialism,2557,1-1
socialism,2559,1-1
socialism,2565,1-1
socialism,2568,1-1
socialism,2583,1-1
socialism,2588,1-1
socialism,2589,1-1
socialism,2637,1-1
socialism,2718,1-1
socialism,2735,1-1
socialism,2757,1-1
socialism,2809,1-1
socialism,2830,1-1
socialism,2865,1-1
socialism,2908,1-1
socialism,2909,1-1
socialism,2917,1-1
socialism,3003,1-1
socialism,3017,1-1
socialism,3029,1-1
socialism,3078,1-1
socialism,3120,1-1
socialism,3160,1-1
socialism,3166,1-1
socialism,3180,1-1
socialism,3237,1-1
socialism,3313,1-1
socialism,3314,1-1
socialism,3315,1-1
socialism,3334,1-1
socialism,3351,1-1
socialism,3354,1-1
socialism,3368,1-1
socialism,3388,1-1
socialism,3389,1-1
socialism,3390,1-1
socialism,3392,1-1
socialism,3393,1-1
socialism,3394,1-1
socialism,3400,1-1
socialism,3408,1-1
socialism,3409,1-1
socialism,3413,1-1
socialism,3416,1-1
socialism,3463,1-1
socialism,3490,1-1
socialism,3508,1-1
socialism,3585,1-1
socialism,3588,1-1
socialism,3589,1-1
socialism,3631,1-1
socialism,3637,1-1
socialism,3659,1-1
socialism,3668,1-1
socialism,3700,1-1
socialism,3719,1-1
socialism,3720,1-1
socialism,3722,1-1
socialism,3723,1-1
socialism,3760,1-1
socialism,3766,1-1
socialism,3811,1-1
socialism,3822,1-1
socialism,3919,1-1
socialism,3935,1-1
socialism,4012,1-1
socialism,4024,1-1
socialism,4033,1-1
socialism,4038,1-1
socialism,4040,1-1
socialism,4062,1-1
socialism,4066,1-1
socialism,4067,1-1
socialism,4069,1-1
socialism,4078,1-1
socialism,4079,1-1
socialism,4096,1-1
socialism,4138,1-1
socialism,4158,1-1
socialism,4206,1-1
socialism,4230,1-1
socialism,4236,1-1
socialism,4272,1-1
socialism,4281,1-1
socialism,4292,1-1
socialism,4300,1-1
socialism,4319,1-1
socialism,4338,1-1
socialism,4340,1-1
socialism,4341,1-1
socialism,4357,1-1
socialism,4358,1-1
socialism,4359,1-1
socialism,4360,1-1
socialism,4366,1-1
socialism,4372,1-1
socialism,4376,1-1
socialism,4404,1-1
socialism,4432,1-1
socialism,4436,1-1
socialism,4535,1-1
socialism,4538,1-1
socialism,4544,1-1
socialism,4631,1-1
socialism,4640,1-1
socialism,4689,1-1
socialism,4733,1-1
socialism,4842,1-1
socialism,4844,1-1
socialism,4872,1-1
socialism,4881,1-1
socialism,4883,1-1
socialism,4887,1-1
socialism,4889,1-1
socialism,4892,1-1
socialism,4896,1-1
socialism,4905,1-1
socialism,4907,1-1
socialism,4908,1-1
socialism,4911,1-1
socialism,4912,1-1
socialism,4917,1-1
socialism,4921,1-1
socialism,4923,1-1
socialism,4973,1-1
socialism,5004,1-1
socialism,5018,1-1
socialism,5072,1-1
socialism,5080,1-1
socialism,5104,1-1
socialism,5140,1-1
socialism,5155,1-1
socialism,5180,1-1
socialism,5198,1-1
socialism,5203,1-1
socialism,5205,1-1
socialism,5256,1-1
socialism,5280,1-1
socialism,5313,1-1
socialism,5314,1-1
socialism,5330,1-1
socialism,5398,1-1
socialism,5418,1-1
socialism,5437,1-1
socialism,5439,1-1
