Sub,word_ID_full,topic
suicidewatch,1,235-12-2-1-1
suicidewatch,2,52-7-4-1-1
suicidewatch,3,176-2-2-1-1
suicidewatch,7,9-8-3-1-1
suicidewatch,41,221-25-2-1-1
suicidewatch,42,214-23-4-1-1
suicidewatch,43,211-15-5-1-1
suicidewatch,69,202-21-2-1-1
suicidewatch,75,64-6-1-1-1
suicidewatch,95,101-16-1-1-1
suicidewatch,96,9-8-3-1-1
suicidewatch,97,144-24-2-1-1
suicidewatch,100,107-16-1-1-1
suicidewatch,102,151-22-2-1-1
suicidewatch,103,9-8-3-1-1
suicidewatch,104,21-16-1-1-1
suicidewatch,110,221-25-2-1-1
suicidewatch,165,9-8-3-1-1
suicidewatch,166,223-5-1-1-1
suicidewatch,169,191-20-2-1-1
suicidewatch,170,191-20-2-1-1
suicidewatch,172,9-8-3-1-1
suicidewatch,179,9-8-3-1-1
suicidewatch,193,214-23-4-1-1
suicidewatch,197,9-8-3-1-1
suicidewatch,203,2-2-2-1-1
suicidewatch,204,26-13-3-1-1
suicidewatch,217,26-13-3-1-1
suicidewatch,220,26-13-3-1-1
suicidewatch,228,221-25-2-1-1
suicidewatch,229,9-8-3-1-1
suicidewatch,231,40-13-3-1-1
suicidewatch,241,25-4-3-1-1
suicidewatch,245,211-15-5-1-1
suicidewatch,246,9-8-3-1-1
suicidewatch,249,126-9-5-1-1
suicidewatch,251,26-13-3-1-1
suicidewatch,253,19-11-1-1-1
suicidewatch,254,150-21-2-1-1
suicidewatch,263,211-15-5-1-1
suicidewatch,265,204-10-5-1-1
suicidewatch,266,191-20-2-1-1
suicidewatch,267,68-3-2-1-1
suicidewatch,268,241-27-5-1-1
suicidewatch,270,26-13-3-1-1
suicidewatch,273,211-15-5-1-1
suicidewatch,285,3-3-2-1-1
suicidewatch,289,229-19-5-1-1
suicidewatch,300,148-14-2-1-1
suicidewatch,301,3-3-2-1-1
suicidewatch,302,68-3-2-1-1
suicidewatch,303,148-14-2-1-1
suicidewatch,304,158-14-2-1-1
suicidewatch,309,9-8-3-1-1
suicidewatch,316,134-21-2-1-1
suicidewatch,329,126-9-5-1-1
suicidewatch,333,9-8-3-1-1
suicidewatch,335,134-21-2-1-1
suicidewatch,337,9-8-3-1-1
suicidewatch,346,9-8-3-1-1
suicidewatch,348,9-8-3-1-1
suicidewatch,349,9-8-3-1-1
suicidewatch,350,211-15-5-1-1
suicidewatch,361,9-8-3-1-1
suicidewatch,389,232-2-2-1-1
suicidewatch,391,9-8-3-1-1
suicidewatch,392,146-13-3-1-1
suicidewatch,394,179-27-5-1-1
suicidewatch,396,191-20-2-1-1
suicidewatch,400,87-13-3-1-1
suicidewatch,402,188-2-2-1-1
suicidewatch,404,90-5-1-1-1
suicidewatch,405,9-8-3-1-1
suicidewatch,410,9-8-3-1-1
suicidewatch,412,9-8-3-1-1
suicidewatch,413,68-3-2-1-1
suicidewatch,414,161-27-5-1-1
suicidewatch,415,12-4-3-1-1
suicidewatch,416,12-4-3-1-1
suicidewatch,417,2-2-2-1-1
suicidewatch,418,126-9-5-1-1
suicidewatch,421,161-27-5-1-1
suicidewatch,422,26-13-3-1-1
suicidewatch,423,9-8-3-1-1
suicidewatch,426,9-8-3-1-1
suicidewatch,427,4-4-3-1-1
suicidewatch,430,26-13-3-1-1
suicidewatch,431,2-2-2-1-1
suicidewatch,432,221-25-2-1-1
suicidewatch,438,26-13-3-1-1
suicidewatch,440,26-13-3-1-1
suicidewatch,444,87-13-3-1-1
suicidewatch,447,26-13-3-1-1
suicidewatch,448,177-19-5-1-1
suicidewatch,449,52-7-4-1-1
suicidewatch,452,104-23-4-1-1
suicidewatch,455,87-13-3-1-1
suicidewatch,456,26-13-3-1-1
suicidewatch,457,9-8-3-1-1
suicidewatch,460,142-14-2-1-1
suicidewatch,462,158-14-2-1-1
suicidewatch,468,158-14-2-1-1
suicidewatch,469,142-14-2-1-1
suicidewatch,470,158-14-2-1-1
suicidewatch,474,158-14-2-1-1
suicidewatch,476,158-14-2-1-1
suicidewatch,482,9-8-3-1-1
suicidewatch,483,9-8-3-1-1
suicidewatch,487,9-8-3-1-1
suicidewatch,489,193-27-5-1-1
suicidewatch,493,52-7-4-1-1
suicidewatch,498,9-8-3-1-1
suicidewatch,499,13-10-5-1-1
suicidewatch,501,186-10-5-1-1
suicidewatch,506,176-2-2-1-1
suicidewatch,508,176-2-2-1-1
suicidewatch,510,176-2-2-1-1
suicidewatch,512,176-2-2-1-1
suicidewatch,515,174-2-2-1-1
suicidewatch,532,52-7-4-1-1
suicidewatch,538,9-8-3-1-1
suicidewatch,539,9-8-3-1-1
suicidewatch,541,9-8-3-1-1
suicidewatch,547,251-19-5-1-1
suicidewatch,552,37-13-3-1-1
suicidewatch,553,87-13-3-1-1
suicidewatch,555,87-13-3-1-1
suicidewatch,556,176-2-2-1-1
suicidewatch,557,4-4-3-1-1
suicidewatch,560,32-13-3-1-1
suicidewatch,561,37-13-3-1-1
suicidewatch,562,221-25-2-1-1
suicidewatch,563,217-25-2-1-1
suicidewatch,565,9-8-3-1-1
suicidewatch,566,26-13-3-1-1
suicidewatch,567,217-25-2-1-1
suicidewatch,568,217-25-2-1-1
suicidewatch,570,241-27-5-1-1
suicidewatch,571,9-8-3-1-1
suicidewatch,579,42-6-1-1-1
suicidewatch,580,217-25-2-1-1
suicidewatch,581,25-4-3-1-1
suicidewatch,583,245-14-2-1-1
suicidewatch,584,9-8-3-1-1
suicidewatch,585,167-20-2-1-1
suicidewatch,603,9-8-3-1-1
suicidewatch,605,9-8-3-1-1
suicidewatch,606,44-2-2-1-1
suicidewatch,608,231-19-5-1-1
suicidewatch,609,44-2-2-1-1
suicidewatch,610,188-2-2-1-1
suicidewatch,613,9-8-3-1-1
suicidewatch,615,9-8-3-1-1
suicidewatch,616,9-8-3-1-1
suicidewatch,617,197-12-2-1-1
suicidewatch,618,9-8-3-1-1
suicidewatch,621,15-11-1-1-1
suicidewatch,622,15-11-1-1-1
suicidewatch,623,9-8-3-1-1
suicidewatch,624,15-11-1-1-1
suicidewatch,625,70-13-3-1-1
suicidewatch,626,35-13-3-1-1
suicidewatch,628,9-8-3-1-1
suicidewatch,629,9-8-3-1-1
suicidewatch,633,171-24-2-1-1
suicidewatch,634,32-13-3-1-1
suicidewatch,635,162-14-2-1-1
suicidewatch,637,114-2-2-1-1
suicidewatch,640,43-12-2-1-1
suicidewatch,644,176-2-2-1-1
suicidewatch,645,68-3-2-1-1
suicidewatch,648,171-24-2-1-1
suicidewatch,657,161-27-5-1-1
suicidewatch,659,46-17-2-1-1
suicidewatch,662,171-24-2-1-1
suicidewatch,665,2-2-2-1-1
suicidewatch,666,9-8-3-1-1
suicidewatch,668,9-8-3-1-1
suicidewatch,669,9-8-3-1-1
suicidewatch,670,26-13-3-1-1
suicidewatch,671,87-13-3-1-1
suicidewatch,673,87-13-3-1-1
suicidewatch,676,158-14-2-1-1
suicidewatch,678,143-19-5-1-1
suicidewatch,679,9-8-3-1-1
suicidewatch,680,158-14-2-1-1
suicidewatch,681,158-14-2-1-1
