Sub,word_ID_full,topic
sydney,1,20-6-2-1
sydney,2,6-3-2-1
sydney,69,18-5-2-1
sydney,75,6-3-2-1
sydney,97,9-3-2-1
sydney,147,20-6-2-1
sydney,163,20-6-2-1
sydney,165,14-5-2-1
sydney,172,16-6-2-1
sydney,217,6-3-2-1
sydney,220,13-3-2-1
sydney,229,6-3-2-1
sydney,231,7-5-2-1
sydney,241,22-3-2-1
sydney,246,6-3-2-1
sydney,254,6-3-2-1
sydney,264,17-5-2-1
sydney,265,17-5-2-1
sydney,268,6-3-2-1
sydney,275,21-3-2-1
sydney,286,6-3-2-1
sydney,297,20-6-2-1
sydney,313,18-5-2-1
sydney,342,6-3-2-1
sydney,370,6-3-2-1
sydney,389,4-3-2-1
sydney,396,13-3-2-1
sydney,400,6-3-2-1
sydney,415,5-4-2-1
sydney,416,5-4-2-1
sydney,422,6-3-2-1
sydney,424,6-3-2-1
sydney,433,13-3-2-1
sydney,444,18-5-2-1
sydney,449,5-4-2-1
sydney,450,6-3-2-1
sydney,455,4-3-2-1
sydney,460,5-4-2-1
sydney,462,21-3-2-1
sydney,474,5-4-2-1
sydney,476,4-3-2-1
sydney,498,6-3-2-1
sydney,499,6-3-2-1
sydney,501,21-3-2-1
sydney,508,4-3-2-1
sydney,510,6-3-2-1
sydney,512,6-3-2-1
sydney,515,13-3-2-1
sydney,532,6-3-2-1
sydney,538,22-3-2-1
sydney,539,7-5-2-1
sydney,541,7-5-2-1
sydney,547,4-3-2-1
sydney,548,13-3-2-1
sydney,552,5-4-2-1
sydney,553,21-3-2-1
sydney,555,4-3-2-1
sydney,557,21-3-2-1
sydney,560,5-4-2-1
sydney,561,6-3-2-1
sydney,563,5-4-2-1
sydney,565,6-3-2-1
sydney,566,6-3-2-1
sydney,567,8-3-2-1
sydney,568,6-3-2-1
sydney,570,6-3-2-1
sydney,579,22-3-2-1
sydney,580,13-3-2-1
sydney,581,5-4-2-1
sydney,583,22-3-2-1
sydney,585,9-3-2-1
sydney,605,7-5-2-1
sydney,609,9-3-2-1
sydney,610,4-3-2-1
sydney,611,21-3-2-1
sydney,613,5-4-2-1
sydney,614,17-5-2-1
sydney,615,22-3-2-1
sydney,617,22-3-2-1
sydney,618,6-3-2-1
sydney,621,6-3-2-1
sydney,622,6-3-2-1
sydney,628,6-3-2-1
sydney,629,6-3-2-1
sydney,633,7-5-2-1
sydney,634,6-3-2-1
sydney,635,9-3-2-1
sydney,637,6-3-2-1
sydney,638,6-3-2-1
sydney,644,4-3-2-1
sydney,648,7-5-2-1
sydney,654,4-3-2-1
sydney,655,6-3-2-1
sydney,657,6-3-2-1
sydney,658,11-6-2-1
sydney,659,17-5-2-1
sydney,665,20-6-2-1
sydney,666,5-4-2-1
sydney,670,6-3-2-1
sydney,671,9-3-2-1
sydney,673,22-3-2-1
sydney,680,6-3-2-1
sydney,681,6-3-2-1
sydney,685,6-3-2-1
sydney,687,17-5-2-1
