Sub,word_ID_full,topic
adelaide,25,8-3-1
adelaide,27,8-3-1
adelaide,28,8-3-1
adelaide,31,11-1-1
adelaide,34,11-1-1
adelaide,35,24-4-1
adelaide,40,11-1-1
adelaide,44,3-3-1
adelaide,62,2-2-1
adelaide,68,24-4-1
adelaide,106,11-1-1
adelaide,109,11-1-1
adelaide,116,11-1-1
adelaide,127,11-1-1
adelaide,228,23-3-1
adelaide,232,11-1-1
adelaide,236,11-1-1
adelaide,241,11-1-1
adelaide,253,11-1-1
adelaide,272,11-1-1
adelaide,383,11-1-1
adelaide,422,11-1-1
adelaide,468,11-1-1
adelaide,478,19-5-1
adelaide,698,11-1-1
adelaide,703,11-1-1
adelaide,705,3-3-1
adelaide,706,7-2-1
adelaide,723,19-5-1
adelaide,726,19-5-1
adelaide,729,14-5-1
adelaide,743,12-5-1
adelaide,744,14-5-1
adelaide,750,17-3-1
adelaide,754,22-4-1
adelaide,759,15-3-1
adelaide,760,16-2-1
adelaide,764,14-5-1
adelaide,770,14-5-1
adelaide,774,22-4-1
adelaide,782,14-5-1
adelaide,810,6-1-1
adelaide,818,11-1-1
adelaide,841,11-1-1
adelaide,846,11-1-1
adelaide,848,11-1-1
adelaide,849,11-1-1
adelaide,853,11-1-1
adelaide,866,11-1-1
adelaide,878,11-1-1
adelaide,879,19-5-1
adelaide,888,11-1-1
adelaide,889,11-1-1
adelaide,896,11-1-1
adelaide,900,12-5-1
adelaide,901,11-1-1
adelaide,911,13-5-1
adelaide,914,11-1-1
adelaide,926,11-1-1
adelaide,931,11-1-1
adelaide,945,6-1-1
adelaide,948,12-5-1
adelaide,954,19-5-1
adelaide,978,19-5-1
adelaide,982,11-1-1
adelaide,986,11-1-1
adelaide,989,6-1-1
adelaide,990,11-1-1
adelaide,996,6-1-1
adelaide,997,11-1-1
adelaide,1004,11-1-1
adelaide,1005,11-1-1
adelaide,1013,18-3-1
adelaide,1015,7-2-1
adelaide,1017,11-1-1
adelaide,1022,11-1-1
adelaide,1043,11-1-1
adelaide,1050,11-1-1
adelaide,1089,11-1-1
adelaide,1103,21-2-1
adelaide,1104,11-1-1
adelaide,1123,15-3-1
adelaide,1125,11-1-1
adelaide,1129,11-1-1
adelaide,1133,11-1-1
