Sub,word_ID_full,topic
belfast,95,1-1
belfast,97,1-1
belfast,166,1-1
belfast,231,1-1
belfast,303,1-1
belfast,389,2-1
belfast,394,1-1
belfast,415,1-1
belfast,416,1-1
belfast,460,1-1
belfast,508,1-1
belfast,532,1-1
belfast,539,1-1
belfast,547,1-1
belfast,552,1-1
belfast,557,1-1
belfast,560,1-1
belfast,563,1-1
belfast,567,2-1
belfast,581,1-1
belfast,597,1-1
belfast,605,3-1
belfast,609,1-1
belfast,614,1-1
belfast,615,2-1
belfast,633,1-1
belfast,648,1-1
belfast,671,1-1
belfast,806,1-1
belfast,807,2-1
belfast,937,2-1
belfast,966,3-1
belfast,986,1-1
belfast,1018,2-1
belfast,1025,1-1
belfast,1027,3-1
belfast,1028,2-1
belfast,1033,1-1
belfast,1046,1-1
belfast,1048,2-1
belfast,1054,1-1
belfast,1062,3-1
belfast,1068,2-1
belfast,1069,1-1
belfast,1099,1-1
belfast,1140,2-1
belfast,1149,1-1
belfast,1158,1-1
belfast,1168,1-1
belfast,1174,1-1
belfast,1186,1-1
belfast,1192,1-1
belfast,1194,1-1
belfast,1196,2-1
belfast,1246,1-1
belfast,1346,3-1
belfast,1360,1-1
belfast,1368,2-1
belfast,1400,1-1
belfast,1403,2-1
belfast,1458,1-1
belfast,1476,1-1
belfast,1493,1-1
belfast,1496,1-1
belfast,1507,1-1
belfast,1513,1-1
belfast,1523,1-1
belfast,1528,1-1
belfast,1531,1-1
belfast,1537,1-1
belfast,1589,1-1
belfast,1590,1-1
belfast,1591,1-1
belfast,1598,2-1
belfast,1668,2-1
belfast,1692,1-1
belfast,1721,1-1
belfast,1724,3-1
belfast,1725,3-1
belfast,1763,1-1
belfast,1765,1-1
belfast,1785,2-1
belfast,1795,1-1
belfast,1802,1-1
belfast,1822,1-1
belfast,1825,1-1
belfast,1993,1-1
belfast,1996,1-1
belfast,2012,1-1
belfast,2014,1-1
belfast,2029,1-1
belfast,2031,2-1
belfast,2037,1-1
belfast,2070,2-1
belfast,2173,1-1
belfast,2247,1-1
belfast,2327,2-1
belfast,2337,1-1
belfast,2462,1-1
belfast,2546,4-1
belfast,2551,1-1
belfast,2557,1-1
belfast,2637,1-1
belfast,2644,1-1
belfast,2686,2-1
belfast,2719,1-1
belfast,2830,1-1
belfast,2908,1-1
belfast,3060,1-1
belfast,3120,1-1
belfast,3121,1-1
belfast,3133,2-1
belfast,3160,1-1
belfast,3161,1-1
belfast,3416,1-1
belfast,3463,4-1
belfast,3585,1-1
belfast,3609,1-1
belfast,3637,1-1
belfast,3758,1-1
belfast,3760,1-1
belfast,3766,1-1
belfast,3919,1-1
belfast,3935,2-1
belfast,3983,1-1
belfast,4038,1-1
belfast,4039,1-1
belfast,4040,1-1
belfast,4230,1-1
belfast,4236,4-1
belfast,4261,1-1
belfast,4357,2-1
belfast,4358,1-1
belfast,4359,3-1
belfast,4535,1-1
belfast,4538,1-1
belfast,4872,1-1
belfast,4975,1-1
belfast,5193,1-1
belfast,5275,1-1
belfast,5280,1-1
belfast,5437,2-1
belfast,5439,1-1
belfast,5581,2-1
belfast,5584,1-1
belfast,5594,2-1
belfast,5605,2-1
belfast,5606,1-1
belfast,5609,1-1
belfast,5612,2-1
belfast,5615,2-1
belfast,5627,1-1
belfast,5669,1-1
belfast,5744,4-1
belfast,5747,1-1
belfast,5756,1-1
belfast,5835,1-1
belfast,6108,2-1
belfast,6191,1-1
belfast,6236,1-1
belfast,6526,3-1
belfast,6529,1-1
belfast,6539,1-1
belfast,6657,1-1
belfast,6665,1-1
belfast,6697,3-1
belfast,6710,1-1
belfast,6723,2-1
belfast,6725,1-1
belfast,6729,1-1
belfast,6765,2-1
belfast,6766,2-1
belfast,6769,3-1
belfast,6772,1-1
belfast,6774,2-1
belfast,6775,2-1
belfast,6778,3-1
belfast,6780,1-1
belfast,6781,1-1
belfast,6789,1-1
belfast,6801,1-1
belfast,6827,3-1
