Sub,word_ID_full,topic
birmingham,69,6-1-1
birmingham,97,5-1-1
birmingham,231,5-1-1
birmingham,405,7-1-1
birmingham,415,5-1-1
birmingham,416,3-1-1
birmingham,552,6-1-1
birmingham,557,2-1-1
birmingham,560,1-1-1
birmingham,563,5-1-1
birmingham,633,4-1-1
birmingham,671,6-1-1
birmingham,693,6-1-1
birmingham,884,5-1-1
birmingham,940,5-1-1
birmingham,1027,6-1-1
birmingham,1046,6-1-1
birmingham,1054,6-1-1
birmingham,1055,1-1-1
birmingham,1069,3-1-1
birmingham,1099,3-1-1
birmingham,1140,3-1-1
birmingham,1149,4-1-1
birmingham,1168,4-1-1
birmingham,1173,5-1-1
birmingham,1174,6-1-1
birmingham,1192,2-1-1
birmingham,1193,6-1-1
birmingham,1293,6-1-1
birmingham,1476,6-1-1
birmingham,1483,1-1-1
birmingham,1493,3-1-1
birmingham,1496,2-1-1
birmingham,1528,6-1-1
birmingham,1537,3-1-1
birmingham,1724,6-1-1
birmingham,1763,6-1-1
birmingham,1765,2-1-1
birmingham,1795,2-1-1
birmingham,1822,6-1-1
birmingham,1993,6-1-1
birmingham,2012,2-1-1
birmingham,2014,2-1-1
birmingham,2070,2-1-1
birmingham,2089,6-1-1
birmingham,2173,3-1-1
birmingham,2247,5-1-1
birmingham,2250,2-1-1
birmingham,2264,4-1-1
birmingham,2296,6-1-1
birmingham,2327,2-1-1
birmingham,2462,6-1-1
birmingham,2536,6-1-1
birmingham,2637,2-1-1
birmingham,2686,5-1-1
birmingham,2829,6-1-1
birmingham,2865,3-1-1
birmingham,2887,3-1-1
birmingham,2889,1-1-1
birmingham,2909,5-1-1
birmingham,3006,1-1-1
birmingham,3237,5-1-1
birmingham,3357,7-1-1
birmingham,3400,5-1-1
birmingham,3637,6-1-1
birmingham,3700,6-1-1
birmingham,3760,6-1-1
birmingham,3763,6-1-1
birmingham,3766,2-1-1
birmingham,3822,6-1-1
birmingham,4038,5-1-1
birmingham,4138,5-1-1
birmingham,4230,1-1-1
birmingham,4319,2-1-1
birmingham,4345,1-1-1
birmingham,4366,6-1-1
birmingham,4432,7-1-1
birmingham,4535,3-1-1
birmingham,4858,7-1-1
birmingham,4859,7-1-1
birmingham,5155,5-1-1
birmingham,5330,6-1-1
birmingham,5437,2-1-1
birmingham,5439,4-1-1
birmingham,5491,5-1-1
birmingham,5594,5-1-1
birmingham,5606,6-1-1
birmingham,5627,6-1-1
birmingham,5632,6-1-1
birmingham,5744,2-1-1
birmingham,5756,2-1-1
birmingham,5760,6-1-1
birmingham,5797,6-1-1
birmingham,5982,6-1-1
birmingham,6067,4-1-1
birmingham,6108,6-1-1
birmingham,6236,3-1-1
birmingham,6347,5-1-1
birmingham,6413,6-1-1
birmingham,6495,1-1-1
birmingham,6513,5-1-1
birmingham,6529,4-1-1
birmingham,6539,4-1-1
birmingham,6697,5-1-1
birmingham,6710,3-1-1
birmingham,6729,7-1-1
birmingham,6769,4-1-1
