Sub,word_ID_full,topic
cardiff,1,2-1
cardiff,97,2-1
cardiff,219,2-1
cardiff,229,2-1
cardiff,231,2-1
cardiff,275,2-1
cardiff,389,3-1
cardiff,415,2-1
cardiff,416,2-1
cardiff,460,3-1
cardiff,462,2-1
cardiff,476,2-1
cardiff,501,2-1
cardiff,508,3-1
cardiff,512,2-1
cardiff,515,2-1
cardiff,547,2-1
cardiff,552,2-1
cardiff,557,5-1
cardiff,560,3-1
cardiff,561,2-1
cardiff,563,2-1
cardiff,567,5-1
cardiff,570,1-1
cardiff,579,2-1
cardiff,581,2-1
cardiff,609,2-1
cardiff,610,2-1
cardiff,613,2-1
cardiff,614,3-1
cardiff,628,2-1
cardiff,629,2-1
cardiff,633,2-1
cardiff,634,2-1
cardiff,637,1-1
cardiff,644,3-1
cardiff,648,2-1
cardiff,671,2-1
cardiff,806,2-1
cardiff,813,2-1
cardiff,848,2-1
cardiff,987,2-1
cardiff,1018,2-1
cardiff,1025,2-1
cardiff,1027,2-1
cardiff,1033,2-1
cardiff,1046,2-1
cardiff,1048,2-1
cardiff,1054,1-1
cardiff,1055,3-1
cardiff,1062,2-1
cardiff,1069,1-1
cardiff,1099,2-1
cardiff,1111,5-1
cardiff,1126,2-1
cardiff,1140,2-1
cardiff,1149,1-1
cardiff,1159,2-1
cardiff,1168,2-1
cardiff,1174,2-1
cardiff,1192,1-1
cardiff,1194,4-1
cardiff,1246,2-1
cardiff,1254,2-1
cardiff,1319,2-1
cardiff,1343,2-1
cardiff,1348,5-1
cardiff,1358,2-1
cardiff,1360,2-1
cardiff,1366,2-1
cardiff,1367,2-1
cardiff,1399,2-1
cardiff,1432,2-1
cardiff,1458,2-1
cardiff,1476,6-1
cardiff,1483,2-1
cardiff,1493,2-1
cardiff,1496,2-1
cardiff,1507,2-1
cardiff,1514,3-1
cardiff,1528,2-1
cardiff,1537,5-1
cardiff,1590,5-1
cardiff,1591,2-1
cardiff,1597,2-1
cardiff,1598,2-1
cardiff,1631,2-1
cardiff,1668,2-1
cardiff,1697,2-1
cardiff,1723,1-1
cardiff,1724,2-1
cardiff,1725,2-1
cardiff,1763,5-1
cardiff,1765,5-1
cardiff,1767,2-1
cardiff,1795,2-1
cardiff,1803,2-1
cardiff,1809,2-1
cardiff,1822,2-1
cardiff,1825,2-1
cardiff,1993,3-1
cardiff,1996,2-1
cardiff,2012,5-1
cardiff,2014,3-1
cardiff,2016,2-1
cardiff,2029,4-1
cardiff,2031,4-1
cardiff,2037,2-1
cardiff,2068,2-1
cardiff,2173,2-1
cardiff,2247,5-1
cardiff,2250,2-1
cardiff,2264,2-1
cardiff,2265,2-1
cardiff,2327,5-1
cardiff,2549,6-1
cardiff,2551,6-1
cardiff,2557,2-1
cardiff,2637,2-1
cardiff,2644,2-1
cardiff,2645,2-1
cardiff,2652,2-1
cardiff,2673,2-1
cardiff,2686,3-1
cardiff,2772,2-1
cardiff,2830,2-1
cardiff,3076,1-1
cardiff,3083,2-1
cardiff,3087,2-1
cardiff,3120,2-1
cardiff,3133,2-1
cardiff,3135,2-1
cardiff,3160,2-1
cardiff,3305,2-1
cardiff,3382,2-1
cardiff,3394,2-1
cardiff,3408,2-1
cardiff,3609,2-1
cardiff,3637,1-1
cardiff,3659,2-1
cardiff,3720,5-1
cardiff,3758,2-1
cardiff,3760,2-1
cardiff,3766,2-1
cardiff,3919,6-1
cardiff,3930,2-1
cardiff,3935,5-1
cardiff,3956,2-1
cardiff,3983,5-1
cardiff,4024,2-1
cardiff,4033,2-1
cardiff,4036,2-1
cardiff,4038,2-1
cardiff,4039,5-1
cardiff,4090,3-1
cardiff,4218,2-1
cardiff,4230,2-1
cardiff,4236,6-1
cardiff,4300,4-1
cardiff,4345,2-1
cardiff,4357,2-1
cardiff,4358,1-1
cardiff,4535,2-1
cardiff,4536,2-1
cardiff,5173,2-1
cardiff,5175,2-1
cardiff,5193,2-1
cardiff,5273,2-1
cardiff,5316,2-1
cardiff,5330,2-1
cardiff,5437,4-1
cardiff,5439,4-1
cardiff,5594,3-1
cardiff,5605,2-1
cardiff,5606,3-1
cardiff,5619,2-1
