Sub,word_ID_full,topic
climate,95,11-1-1
climate,97,5-1-1
climate,102,8-4-1
climate,104,12-3-1
climate,124,8-4-1
climate,231,4-2-1
climate,268,6-1-1
climate,279,8-4-1
climate,389,9-5-1
climate,394,6-1-1
climate,400,6-1-1
climate,415,2-1-1
climate,416,2-1-1
climate,426,2-1-1
climate,427,2-1-1
climate,430,7-3-1
climate,431,6-1-1
climate,432,7-3-1
climate,438,11-1-1
climate,448,6-1-1
climate,450,8-4-1
climate,455,7-3-1
climate,456,3-1-1
climate,457,11-1-1
climate,460,10-5-1
climate,462,11-1-1
climate,470,10-5-1
climate,487,10-5-1
climate,501,10-5-1
climate,508,1-1-1
climate,512,13-3-1
climate,515,4-2-1
climate,538,4-2-1
climate,539,6-1-1
climate,540,6-1-1
climate,541,6-1-1
climate,542,10-5-1
climate,552,2-1-1
climate,553,10-5-1
climate,555,8-4-1
climate,557,7-3-1
climate,560,10-5-1
climate,563,9-5-1
climate,564,11-1-1
climate,566,6-1-1
climate,567,3-1-1
climate,579,10-5-1
climate,580,13-3-1
climate,585,10-5-1
climate,597,14-4-1
climate,615,8-4-1
climate,616,8-4-1
climate,621,6-1-1
climate,623,10-5-1
climate,625,13-3-1
climate,628,13-3-1
climate,631,13-3-1
climate,633,4-2-1
climate,634,5-1-1
climate,635,13-3-1
climate,640,8-4-1
climate,648,4-2-1
climate,665,11-1-1
climate,669,11-1-1
climate,670,6-1-1
climate,671,3-1-1
climate,673,11-1-1
climate,681,2-1-1
climate,806,1-1-1
climate,807,6-1-1
climate,848,6-1-1
climate,849,6-1-1
climate,850,6-1-1
climate,911,10-5-1
climate,915,6-1-1
climate,916,7-3-1
climate,985,8-4-1
climate,989,6-1-1
climate,999,2-1-1
climate,1002,10-5-1
climate,1018,10-5-1
climate,1025,14-4-1
climate,1027,4-2-1
climate,1033,4-2-1
climate,1046,11-1-1
climate,1048,4-2-1
climate,1049,11-1-1
climate,1050,4-2-1
climate,1052,4-2-1
climate,1054,6-1-1
climate,1055,11-1-1
climate,1062,14-4-1
climate,1068,1-1-1
climate,1069,4-2-1
climate,1090,11-1-1
climate,1099,13-3-1
climate,1111,8-4-1
climate,1112,11-1-1
climate,1120,3-1-1
climate,1123,8-4-1
climate,1127,9-5-1
climate,1140,7-3-1
climate,1149,7-3-1
climate,1163,8-4-1
climate,1168,2-1-1
climate,1173,9-5-1
climate,1174,4-2-1
climate,1175,11-1-1
climate,1176,6-1-1
climate,1192,4-2-1
climate,1193,4-2-1
climate,1194,10-5-1
climate,1195,9-5-1
climate,1246,5-1-1
climate,1308,6-1-1
climate,1317,13-3-1
climate,1322,13-3-1
climate,1323,6-1-1
climate,1336,5-1-1
climate,1341,9-5-1
climate,1344,6-1-1
climate,1346,13-3-1
climate,1360,11-1-1
climate,1367,6-1-1
climate,1399,8-4-1
climate,1400,7-3-1
climate,1402,8-4-1
climate,1403,11-1-1
climate,1458,2-1-1
climate,1476,1-1-1
climate,1493,9-5-1
climate,1496,4-2-1
climate,1499,8-4-1
climate,1502,6-1-1
climate,1506,8-4-1
climate,1507,2-1-1
climate,1512,2-1-1
climate,1513,8-4-1
climate,1523,8-4-1
climate,1524,6-1-1
climate,1528,12-3-1
climate,1530,10-5-1
climate,1531,13-3-1
climate,1535,2-1-1
climate,1537,5-1-1
climate,1590,9-5-1
climate,1595,14-4-1
climate,1597,9-5-1
climate,1598,9-5-1
climate,1600,9-5-1
climate,1601,9-5-1
climate,1603,5-1-1
climate,1604,11-1-1
climate,1606,11-1-1
climate,1607,5-1-1
climate,1653,6-1-1
climate,1655,6-1-1
climate,1668,8-4-1
climate,1697,3-1-1
climate,1721,9-5-1
climate,1723,4-2-1
climate,1724,2-1-1
climate,1725,3-1-1
climate,1733,1-1-1
climate,1741,9-5-1
climate,1754,9-5-1
climate,1762,11-1-1
climate,1763,14-4-1
climate,1765,8-4-1
climate,1795,11-1-1
climate,1802,6-1-1
climate,1820,6-1-1
climate,1822,6-1-1
climate,1993,10-5-1
climate,2012,9-5-1
climate,2014,9-5-1
climate,2016,10-5-1
climate,2023,10-5-1
climate,2037,10-5-1
climate,2053,8-4-1
climate,2059,13-3-1
climate,2063,11-1-1
climate,2070,3-1-1
climate,2173,1-1-1
climate,2247,4-2-1
climate,2250,6-1-1
climate,2264,4-2-1
climate,2265,9-5-1
climate,2271,3-1-1
climate,2272,5-1-1
climate,2278,8-4-1
climate,2327,3-1-1
climate,2443,14-4-1
climate,2462,14-4-1
climate,2468,14-4-1
climate,2472,12-3-1
climate,2532,6-1-1
climate,2546,14-4-1
climate,2549,9-5-1
climate,2551,5-1-1
climate,2557,9-5-1
climate,2589,6-1-1
climate,2637,2-1-1
climate,2652,14-4-1
climate,2670,14-4-1
climate,2673,14-4-1
climate,2684,14-4-1
climate,2830,7-3-1
climate,3003,4-2-1
climate,3055,14-4-1
climate,3076,7-3-1
climate,3077,6-1-1
climate,3078,2-1-1
climate,3079,6-1-1
climate,3081,7-3-1
climate,3087,14-4-1
climate,3090,3-1-1
climate,3120,6-1-1
climate,3301,13-3-1
climate,3305,13-3-1
climate,3329,3-1-1
climate,3339,2-1-1
climate,3351,8-4-1
climate,3390,12-3-1
climate,3408,13-3-1
climate,3409,8-4-1
climate,3411,9-5-1
climate,3463,7-3-1
climate,3491,2-1-1
climate,3631,5-1-1
climate,3659,9-5-1
climate,3760,4-2-1
climate,3766,2-1-1
climate,3811,6-1-1
climate,3919,6-1-1
climate,3935,11-1-1
climate,3951,7-3-1
climate,3983,6-1-1
climate,4012,2-1-1
climate,4031,6-1-1
climate,4033,8-4-1
climate,4038,10-5-1
climate,4039,10-5-1
climate,4040,11-1-1
climate,4057,6-1-1
climate,4058,8-4-1
climate,4067,8-4-1
climate,4090,8-4-1
climate,4138,12-3-1
climate,4218,8-4-1
climate,4230,5-1-1
climate,4236,4-2-1
climate,4261,2-1-1
climate,4270,9-5-1
climate,4271,13-3-1
climate,4272,6-1-1
climate,4314,7-3-1
climate,4340,9-5-1
climate,4357,9-5-1
climate,4358,4-2-1
climate,4359,5-1-1
climate,4360,13-3-1
climate,4405,6-1-1
climate,4489,10-5-1
climate,4493,8-4-1
climate,4535,2-1-1
climate,4538,7-3-1
climate,4603,13-3-1
climate,4604,8-4-1
climate,4606,11-1-1
climate,4607,6-1-1
climate,4780,8-4-1
climate,4876,8-4-1
climate,4879,6-1-1
climate,4881,11-1-1
climate,4883,4-2-1
climate,4887,8-4-1
climate,4889,14-4-1
climate,4891,8-4-1
climate,4892,6-1-1
climate,5004,6-1-1
climate,5008,11-1-1
climate,5165,10-5-1
climate,5169,7-3-1
climate,5175,2-1-1
