Sub,word_ID_full,topic
libertarian,69,4-1-1
libertarian,95,23-2-1
libertarian,97,25-4-1
libertarian,100,11-1-1
libertarian,102,35-4-1
libertarian,133,25-4-1
libertarian,175,17-3-1
libertarian,190,23-2-1
libertarian,204,11-1-1
libertarian,217,29-2-1
libertarian,220,27-3-1
libertarian,229,24-2-1
libertarian,231,15-2-1
libertarian,275,15-2-1
libertarian,276,29-2-1
libertarian,277,32-1-1
libertarian,278,34-1-1
libertarian,279,14-4-1
libertarian,280,32-1-1
libertarian,281,32-1-1
libertarian,285,17-3-1
libertarian,289,33-4-1
libertarian,300,25-4-1
libertarian,301,20-1-1
libertarian,303,25-4-1
libertarian,304,25-4-1
libertarian,316,13-5-1
libertarian,369,23-2-1
libertarian,389,24-2-1
libertarian,400,28-4-1
libertarian,404,10-4-1
libertarian,405,36-5-1
libertarian,415,24-2-1
libertarian,416,2-2-1
libertarian,419,13-5-1
libertarian,426,3-1-1
libertarian,433,13-5-1
libertarian,438,10-4-1
libertarian,444,29-2-1
libertarian,447,12-1-1
libertarian,448,27-3-1
libertarian,455,28-4-1
libertarian,456,24-2-1
libertarian,457,17-3-1
libertarian,460,7-3-1
libertarian,462,24-2-1
libertarian,469,27-3-1
libertarian,470,7-3-1
libertarian,474,18-4-1
libertarian,476,25-4-1
libertarian,494,35-4-1
libertarian,498,20-1-1
libertarian,503,19-3-1
libertarian,506,12-1-1
libertarian,508,14-4-1
libertarian,512,10-4-1
libertarian,516,10-4-1
libertarian,538,33-4-1
libertarian,539,20-1-1
libertarian,540,12-1-1
libertarian,543,18-4-1
libertarian,552,15-2-1
libertarian,553,2-2-1
libertarian,555,28-4-1
libertarian,557,16-1-1
libertarian,560,5-2-1
libertarian,561,35-4-1
libertarian,563,29-2-1
libertarian,565,17-3-1
libertarian,567,29-2-1
libertarian,568,35-4-1
libertarian,579,25-4-1
libertarian,580,7-3-1
libertarian,581,25-4-1
libertarian,585,21-3-1
libertarian,590,20-1-1
libertarian,594,20-1-1
libertarian,597,22-5-1
libertarian,605,14-4-1
libertarian,609,23-2-1
libertarian,615,23-2-1
libertarian,620,17-3-1
libertarian,621,32-1-1
libertarian,622,12-1-1
libertarian,624,18-4-1
libertarian,626,11-1-1
libertarian,628,6-2-1
libertarian,629,23-2-1
libertarian,633,4-1-1
libertarian,634,6-2-1
libertarian,635,24-2-1
libertarian,638,30-4-1
libertarian,640,13-5-1
libertarian,644,14-4-1
libertarian,648,3-1-1
libertarian,659,30-4-1
libertarian,665,35-4-1
libertarian,666,35-4-1
libertarian,668,24-2-1
libertarian,669,10-4-1
libertarian,670,11-1-1
libertarian,671,2-2-1
libertarian,673,2-2-1
libertarian,676,17-3-1
libertarian,678,16-1-1
libertarian,680,34-1-1
libertarian,681,17-3-1
libertarian,685,3-1-1
libertarian,687,28-4-1
libertarian,690,12-1-1
libertarian,693,4-1-1
libertarian,747,4-1-1
libertarian,766,21-3-1
libertarian,784,19-3-1
libertarian,805,3-1-1
libertarian,806,10-4-1
libertarian,807,18-4-1
libertarian,808,10-4-1
libertarian,809,32-1-1
libertarian,813,10-4-1
libertarian,844,12-1-1
libertarian,859,22-5-1
libertarian,881,12-1-1
