Sub,word_ID_full,topic
mentalhealth,1,14-4-1-1-1
mentalhealth,8,14-4-1-1-1
mentalhealth,41,9-2-1-1-1
mentalhealth,69,46-6-1-1-1
mentalhealth,75,21-7-1-1-1
mentalhealth,94,44-2-1-1-1
mentalhealth,95,11-3-1-1-1
mentalhealth,97,4-1-1-1-1
mentalhealth,100,4-1-1-1-1
mentalhealth,102,21-7-1-1-1
mentalhealth,110,36-5-1-1-1
mentalhealth,166,4-1-1-1-1
mentalhealth,169,9-2-1-1-1
mentalhealth,170,9-2-1-1-1
mentalhealth,172,6-5-1-1-1
mentalhealth,203,28-7-1-1-1
mentalhealth,204,2-2-1-1-1
mentalhealth,217,28-7-1-1-1
mentalhealth,220,30-8-1-1-1
mentalhealth,228,36-5-1-1-1
mentalhealth,229,33-3-1-1-1
mentalhealth,231,33-3-1-1-1
mentalhealth,241,1-1-1-1-1
mentalhealth,243,46-6-1-1-1
mentalhealth,245,14-4-1-1-1
mentalhealth,246,28-7-1-1-1
mentalhealth,253,28-7-1-1-1
mentalhealth,254,21-7-1-1-1
mentalhealth,265,1-1-1-1-1
mentalhealth,266,12-5-1-1-1
mentalhealth,267,13-4-1-1-1
mentalhealth,268,1-1-1-1-1
mentalhealth,285,23-7-1-1-1
mentalhealth,289,35-2-1-1-1
mentalhealth,300,37-7-1-1-1
mentalhealth,301,23-7-1-1-1
mentalhealth,303,37-7-1-1-1
mentalhealth,304,30-8-1-1-1
mentalhealth,310,31-8-1-1-1
mentalhealth,325,39-2-1-1-1
mentalhealth,329,45-6-1-1-1
mentalhealth,330,14-4-1-1-1
mentalhealth,332,14-4-1-1-1
mentalhealth,335,17-4-1-1-1
mentalhealth,338,20-2-1-1-1
mentalhealth,339,32-7-1-1-1
mentalhealth,340,37-7-1-1-1
mentalhealth,344,14-4-1-1-1
mentalhealth,346,20-2-1-1-1
mentalhealth,347,14-4-1-1-1
mentalhealth,348,37-7-1-1-1
mentalhealth,349,46-6-1-1-1
mentalhealth,351,22-8-1-1-1
mentalhealth,361,20-2-1-1-1
mentalhealth,373,40-7-1-1-1
mentalhealth,389,22-8-1-1-1
mentalhealth,391,26-8-1-1-1
mentalhealth,392,4-1-1-1-1
mentalhealth,394,43-2-1-1-1
mentalhealth,398,20-2-1-1-1
mentalhealth,400,33-3-1-1-1
mentalhealth,402,22-8-1-1-1
mentalhealth,404,20-2-1-1-1
mentalhealth,408,2-2-1-1-1
mentalhealth,409,43-2-1-1-1
mentalhealth,415,1-1-1-1-1
mentalhealth,416,1-1-1-1-1
mentalhealth,420,3-3-1-1-1
mentalhealth,421,39-2-1-1-1
mentalhealth,422,28-7-1-1-1
mentalhealth,426,1-1-1-1-1
mentalhealth,427,10-3-1-1-1
mentalhealth,430,2-2-1-1-1
mentalhealth,431,12-5-1-1-1
mentalhealth,432,36-5-1-1-1
mentalhealth,433,23-7-1-1-1
mentalhealth,434,9-2-1-1-1
mentalhealth,435,36-5-1-1-1
mentalhealth,436,12-5-1-1-1
mentalhealth,438,23-7-1-1-1
mentalhealth,444,14-4-1-1-1
mentalhealth,447,14-4-1-1-1
mentalhealth,448,1-1-1-1-1
mentalhealth,449,3-3-1-1-1
mentalhealth,455,45-6-1-1-1
mentalhealth,456,45-6-1-1-1
mentalhealth,457,37-7-1-1-1
mentalhealth,460,20-2-1-1-1
mentalhealth,462,20-2-1-1-1
mentalhealth,465,20-2-1-1-1
mentalhealth,467,20-2-1-1-1
mentalhealth,468,20-2-1-1-1
mentalhealth,469,20-2-1-1-1
mentalhealth,470,37-7-1-1-1
mentalhealth,474,20-2-1-1-1
mentalhealth,476,20-2-1-1-1
mentalhealth,480,16-5-1-1-1
mentalhealth,487,39-2-1-1-1
mentalhealth,489,13-4-1-1-1
mentalhealth,498,1-1-1-1-1
mentalhealth,499,11-3-1-1-1
mentalhealth,501,43-2-1-1-1
mentalhealth,506,22-8-1-1-1
mentalhealth,508,40-7-1-1-1
mentalhealth,509,14-4-1-1-1
mentalhealth,510,40-7-1-1-1
mentalhealth,511,19-2-1-1-1
mentalhealth,512,40-7-1-1-1
mentalhealth,514,6-5-1-1-1
mentalhealth,515,27-8-1-1-1
mentalhealth,532,3-3-1-1-1
mentalhealth,538,28-7-1-1-1
mentalhealth,539,27-8-1-1-1
mentalhealth,540,28-7-1-1-1
mentalhealth,541,13-4-1-1-1
mentalhealth,547,44-2-1-1-1
mentalhealth,548,16-5-1-1-1
mentalhealth,552,11-3-1-1-1
mentalhealth,553,33-3-1-1-1
mentalhealth,555,33-3-1-1-1
mentalhealth,557,1-1-1-1-1
mentalhealth,560,11-3-1-1-1
mentalhealth,561,33-3-1-1-1
mentalhealth,562,40-7-1-1-1
mentalhealth,563,35-2-1-1-1
mentalhealth,565,46-6-1-1-1
mentalhealth,566,46-6-1-1-1
mentalhealth,567,35-2-1-1-1
mentalhealth,568,28-7-1-1-1
mentalhealth,570,24-8-1-1-1
mentalhealth,579,13-4-1-1-1
mentalhealth,580,41-2-1-1-1
mentalhealth,581,13-4-1-1-1
mentalhealth,582,16-5-1-1-1
mentalhealth,583,4-1-1-1-1
mentalhealth,585,13-4-1-1-1
mentalhealth,599,39-2-1-1-1
mentalhealth,603,31-8-1-1-1
mentalhealth,605,42-8-1-1-1
mentalhealth,606,42-8-1-1-1
mentalhealth,608,22-8-1-1-1
mentalhealth,609,33-3-1-1-1
mentalhealth,610,42-8-1-1-1
mentalhealth,611,37-7-1-1-1
mentalhealth,613,22-8-1-1-1
mentalhealth,614,36-5-1-1-1
mentalhealth,615,3-3-1-1-1
mentalhealth,616,1-1-1-1-1
mentalhealth,617,1-1-1-1-1
mentalhealth,618,1-1-1-1-1
mentalhealth,621,27-8-1-1-1
mentalhealth,622,27-8-1-1-1
mentalhealth,623,28-7-1-1-1
mentalhealth,624,27-8-1-1-1
mentalhealth,625,27-8-1-1-1
mentalhealth,626,27-8-1-1-1
mentalhealth,628,11-3-1-1-1
mentalhealth,629,14-4-1-1-1
mentalhealth,633,23-7-1-1-1
mentalhealth,634,11-3-1-1-1
mentalhealth,635,33-3-1-1-1
mentalhealth,636,22-8-1-1-1
mentalhealth,637,22-8-1-1-1
mentalhealth,640,4-1-1-1-1
mentalhealth,644,22-8-1-1-1
mentalhealth,646,47-6-1-1-1
mentalhealth,648,44-2-1-1-1
mentalhealth,655,47-6-1-1-1
mentalhealth,659,4-1-1-1-1
mentalhealth,662,14-4-1-1-1
mentalhealth,665,28-7-1-1-1
mentalhealth,666,4-1-1-1-1
mentalhealth,667,12-5-1-1-1
mentalhealth,668,1-1-1-1-1
mentalhealth,669,12-5-1-1-1
mentalhealth,670,31-8-1-1-1
mentalhealth,671,5-4-1-1-1
mentalhealth,673,14-4-1-1-1
mentalhealth,676,29-7-1-1-1
mentalhealth,678,37-7-1-1-1
mentalhealth,679,21-7-1-1-1
mentalhealth,680,29-7-1-1-1
mentalhealth,681,29-7-1-1-1
mentalhealth,684,20-2-1-1-1
mentalhealth,685,29-7-1-1-1
mentalhealth,686,46-6-1-1-1
mentalhealth,687,33-3-1-1-1
mentalhealth,688,20-2-1-1-1
mentalhealth,690,27-8-1-1-1
mentalhealth,693,44-2-1-1-1
mentalhealth,695,27-8-1-1-1
mentalhealth,737,44-2-1-1-1
mentalhealth,738,17-4-1-1-1
mentalhealth,741,20-2-1-1-1
mentalhealth,752,6-5-1-1-1
mentalhealth,754,39-2-1-1-1
mentalhealth,757,1-1-1-1-1
mentalhealth,766,33-3-1-1-1
mentalhealth,779,13-4-1-1-1
mentalhealth,781,9-2-1-1-1
mentalhealth,783,22-8-1-1-1
mentalhealth,784,37-7-1-1-1
mentalhealth,786,27-8-1-1-1
mentalhealth,788,22-8-1-1-1
mentalhealth,794,16-5-1-1-1
mentalhealth,799,10-3-1-1-1
mentalhealth,801,28-7-1-1-1
mentalhealth,805,27-8-1-1-1
mentalhealth,806,27-8-1-1-1
mentalhealth,807,27-8-1-1-1
mentalhealth,808,27-8-1-1-1
mentalhealth,809,27-8-1-1-1
mentalhealth,810,22-8-1-1-1
mentalhealth,811,12-5-1-1-1
mentalhealth,812,28-7-1-1-1
mentalhealth,813,27-8-1-1-1
mentalhealth,817,13-4-1-1-1
mentalhealth,820,13-4-1-1-1
mentalhealth,840,16-5-1-1-1
mentalhealth,848,9-2-1-1-1
mentalhealth,849,31-8-1-1-1
mentalhealth,852,12-5-1-1-1
mentalhealth,859,46-6-1-1-1
mentalhealth,870,2-2-1-1-1
mentalhealth,881,31-8-1-1-1
mentalhealth,884,4-1-1-1-1
mentalhealth,898,1-1-1-1-1
mentalhealth,902,41-2-1-1-1
mentalhealth,904,28-7-1-1-1
mentalhealth,911,11-3-1-1-1
mentalhealth,912,11-3-1-1-1
mentalhealth,913,28-7-1-1-1
mentalhealth,914,20-2-1-1-1
mentalhealth,915,33-3-1-1-1
mentalhealth,916,11-3-1-1-1
mentalhealth,924,37-7-1-1-1
mentalhealth,937,43-2-1-1-1
mentalhealth,940,9-2-1-1-1
mentalhealth,941,30-8-1-1-1
mentalhealth,957,37-7-1-1-1
mentalhealth,958,12-5-1-1-1
mentalhealth,966,19-2-1-1-1
mentalhealth,971,11-3-1-1-1
mentalhealth,973,11-3-1-1-1
mentalhealth,976,1-1-1-1-1
mentalhealth,986,33-3-1-1-1
mentalhealth,987,33-3-1-1-1
mentalhealth,994,46-6-1-1-1
mentalhealth,1002,13-4-1-1-1
mentalhealth,1010,28-7-1-1-1
mentalhealth,1018,21-7-1-1-1
mentalhealth,1019,39-2-1-1-1
mentalhealth,1020,29-7-1-1-1
mentalhealth,1025,11-3-1-1-1
mentalhealth,1027,1-1-1-1-1
mentalhealth,1028,46-6-1-1-1
mentalhealth,1033,10-3-1-1-1
mentalhealth,1038,28-7-1-1-1
mentalhealth,1039,21-7-1-1-1
mentalhealth,1040,10-3-1-1-1
mentalhealth,1041,45-6-1-1-1
mentalhealth,1042,28-7-1-1-1
mentalhealth,1046,1-1-1-1-1
mentalhealth,1048,1-1-1-1-1
mentalhealth,1049,46-6-1-1-1
mentalhealth,1050,1-1-1-1-1
mentalhealth,1052,28-7-1-1-1
mentalhealth,1053,28-7-1-1-1
mentalhealth,1054,27-8-1-1-1
mentalhealth,1055,15-6-1-1-1
mentalhealth,1060,21-7-1-1-1
mentalhealth,1062,19-2-1-1-1
mentalhealth,1064,45-6-1-1-1
mentalhealth,1065,24-8-1-1-1
mentalhealth,1068,20-2-1-1-1
mentalhealth,1069,1-1-1-1-1
mentalhealth,1070,31-8-1-1-1
mentalhealth,1071,14-4-1-1-1
mentalhealth,1074,14-4-1-1-1
mentalhealth,1076,11-3-1-1-1
mentalhealth,1077,39-2-1-1-1
mentalhealth,1080,26-8-1-1-1
mentalhealth,1084,12-5-1-1-1
mentalhealth,1085,12-5-1-1-1
mentalhealth,1090,35-2-1-1-1
mentalhealth,1091,28-7-1-1-1
mentalhealth,1099,41-2-1-1-1
mentalhealth,1100,1-1-1-1-1
mentalhealth,1102,12-5-1-1-1
mentalhealth,1112,37-7-1-1-1
mentalhealth,1113,20-2-1-1-1
mentalhealth,1120,33-3-1-1-1
mentalhealth,1122,22-8-1-1-1
mentalhealth,1123,14-4-1-1-1
mentalhealth,1125,33-3-1-1-1
mentalhealth,1127,28-7-1-1-1
mentalhealth,1129,28-7-1-1-1
mentalhealth,1136,40-7-1-1-1
mentalhealth,1137,46-6-1-1-1
mentalhealth,1140,1-1-1-1-1
mentalhealth,1143,6-5-1-1-1
mentalhealth,1149,1-1-1-1-1
mentalhealth,1154,36-5-1-1-1
mentalhealth,1155,36-5-1-1-1
mentalhealth,1158,9-2-1-1-1
mentalhealth,1159,9-2-1-1-1
mentalhealth,1160,28-7-1-1-1
mentalhealth,1161,9-2-1-1-1
mentalhealth,1162,9-2-1-1-1
mentalhealth,1163,9-2-1-1-1
mentalhealth,1164,9-2-1-1-1
mentalhealth,1168,1-1-1-1-1
mentalhealth,1173,1-1-1-1-1
mentalhealth,1174,35-2-1-1-1
mentalhealth,1175,33-3-1-1-1
mentalhealth,1177,9-2-1-1-1
mentalhealth,1192,33-3-1-1-1
mentalhealth,1193,33-3-1-1-1
mentalhealth,1194,33-3-1-1-1
mentalhealth,1195,33-3-1-1-1
mentalhealth,1196,1-1-1-1-1
mentalhealth,1197,9-2-1-1-1
mentalhealth,1199,1-1-1-1-1
mentalhealth,1224,21-7-1-1-1
mentalhealth,1226,35-2-1-1-1
mentalhealth,1227,1-1-1-1-1
mentalhealth,1231,6-5-1-1-1
mentalhealth,1246,5-4-1-1-1
mentalhealth,1247,46-6-1-1-1
mentalhealth,1249,28-7-1-1-1
mentalhealth,1254,1-1-1-1-1
mentalhealth,1266,45-6-1-1-1
mentalhealth,1273,31-8-1-1-1
mentalhealth,1293,28-7-1-1-1
