Sub,word_ID_full,topic
nyc,1,21-10-2-1
nyc,46,16-8-1-1
nyc,69,33-5-1-1
nyc,95,26-2-2-1
nyc,97,49-10-2-1
nyc,100,3-2-2-1
nyc,217,27-5-1-1
nyc,224,55-8-1-1
nyc,231,7-4-2-1
nyc,275,2-2-2-1
nyc,289,39-12-2-1
nyc,389,27-5-1-1
nyc,400,39-12-2-1
nyc,405,42-12-2-1
nyc,415,5-3-2-1
nyc,416,5-3-2-1
nyc,444,33-5-1-1
nyc,455,16-8-1-1
nyc,460,7-4-2-1
nyc,462,7-4-2-1
nyc,476,21-10-2-1
nyc,501,19-9-2-1
nyc,508,22-4-2-1
nyc,547,23-4-2-1
nyc,548,22-4-2-1
nyc,552,5-3-2-1
nyc,553,5-3-2-1
nyc,557,22-4-2-1
nyc,560,17-3-2-1
nyc,561,34-2-2-1
nyc,563,32-5-1-1
nyc,567,50-1-2-1
nyc,568,18-2-2-1
nyc,579,45-2-2-1
nyc,581,5-3-2-1
nyc,585,45-2-2-1
nyc,588,29-8-1-1
nyc,589,54-11-1-1
nyc,590,29-8-1-1
nyc,591,29-8-1-1
nyc,592,54-11-1-1
nyc,605,16-8-1-1
nyc,618,2-2-2-1
nyc,621,10-4-2-1
nyc,633,37-2-2-1
nyc,634,6-2-2-1
nyc,635,2-2-2-1
nyc,644,22-4-2-1
nyc,648,28-4-2-1
nyc,671,5-3-2-1
nyc,673,6-2-2-1
nyc,681,2-2-2-1
nyc,690,16-8-1-1
nyc,693,6-2-2-1
nyc,766,23-4-2-1
nyc,806,6-2-2-1
nyc,813,14-12-2-1
nyc,863,29-8-1-1
nyc,870,54-11-1-1
nyc,884,5-3-2-1
nyc,911,5-3-2-1
nyc,912,6-2-2-1
nyc,920,34-2-2-1
nyc,941,17-3-2-1
nyc,945,26-2-2-1
nyc,981,26-2-2-1
nyc,987,13-4-2-1
nyc,1018,7-4-2-1
nyc,1020,7-4-2-1
nyc,1025,7-4-2-1
nyc,1027,6-2-2-1
nyc,1033,14-12-2-1
nyc,1046,20-10-2-1
nyc,1048,5-3-2-1
nyc,1050,6-2-2-1
nyc,1052,6-2-2-1
nyc,1054,17-3-2-1
nyc,1055,21-10-2-1
nyc,1060,17-3-2-1
nyc,1062,23-4-2-1
nyc,1068,7-4-2-1
nyc,1069,11-3-2-1
nyc,1095,53-12-2-1
nyc,1099,5-3-2-1
nyc,1120,5-3-2-1
nyc,1140,11-3-2-1
nyc,1149,39-12-2-1
nyc,1161,18-2-2-1
nyc,1164,13-4-2-1
nyc,1168,39-12-2-1
nyc,1173,23-4-2-1
nyc,1174,11-3-2-1
nyc,1176,39-12-2-1
nyc,1192,34-2-2-1
nyc,1193,7-4-2-1
nyc,1194,34-2-2-1
nyc,1195,28-4-2-1
nyc,1199,34-2-2-1
nyc,1226,33-5-1-1
nyc,1227,17-3-2-1
nyc,1270,34-2-2-1
nyc,1293,17-3-2-1
nyc,1303,49-10-2-1
nyc,1308,13-4-2-1
nyc,1317,17-3-2-1
nyc,1319,25-9-2-1
nyc,1336,20-10-2-1
nyc,1337,33-5-1-1
nyc,1338,44-8-1-1
nyc,1341,35-11-1-1
nyc,1343,2-2-2-1
nyc,1345,22-4-2-1
nyc,1358,22-4-2-1
nyc,1359,22-4-2-1
nyc,1360,11-3-2-1
nyc,1366,37-2-2-1
nyc,1399,28-4-2-1
nyc,1400,28-4-2-1
nyc,1402,28-4-2-1
nyc,1403,28-4-2-1
nyc,1408,19-9-2-1
nyc,1458,20-10-2-1
nyc,1476,51-7-1-1
nyc,1483,14-12-2-1
nyc,1493,31-1-2-1
nyc,1496,21-10-2-1
nyc,1507,23-4-2-1
nyc,1514,3-2-2-1
nyc,1523,20-10-2-1
nyc,1528,47-9-2-1
nyc,1529,47-9-2-1
nyc,1535,5-3-2-1
nyc,1537,17-3-2-1
nyc,1590,40-6-2-1
nyc,1591,25-9-2-1
nyc,1593,14-12-2-1
nyc,1597,13-4-2-1
nyc,1601,27-5-1-1
nyc,1602,29-8-1-1
nyc,1603,14-12-2-1
nyc,1604,7-4-2-1
nyc,1606,53-12-2-1
nyc,1607,21-10-2-1
nyc,1668,17-3-2-1
nyc,1692,45-2-2-1
nyc,1707,7-4-2-1
nyc,1721,2-2-2-1
nyc,1723,5-3-2-1
nyc,1724,23-4-2-1
nyc,1725,26-2-2-1
nyc,1733,33-5-1-1
nyc,1739,34-2-2-1
nyc,1742,33-5-1-1
