Sub,word_ID_full,topic
soccer,1,998-655-19-12-2-1
soccer,10,141-108-72-9-3-1
soccer,11,16-15-12-3-1-1
soccer,12,556-384-22-3-1-1
soccer,13,1050-679-199-17-3-1
soccer,15,146-114-69-23-3-1
soccer,16,774-378-28-3-1-1
soccer,17,208-149-95-29-3-1
soccer,18,151-25-21-3-1-1
soccer,19,151-25-21-3-1-1
soccer,20,1667-846-67-9-3-1
soccer,21,151-25-21-3-1-1
soccer,22,151-25-21-3-1-1
soccer,23,1566-669-102-13-1-1
soccer,24,1111-703-36-13-1-1
soccer,25,1050-679-199-17-3-1
soccer,26,1461-837-38-17-3-1
soccer,28,1620-659-73-6-3-1
soccer,29,2-2-2-2-1-1
soccer,30,29-23-19-12-2-1
soccer,31,97-36-29-15-4-1
soccer,32,715-342-22-3-1-1
soccer,34,1502-340-81-3-1-1
soccer,35,149-117-80-17-3-1
soccer,36,185-72-48-20-4-1
soccer,37,208-149-95-29-3-1
soccer,38,151-25-21-3-1-1
soccer,39,151-25-21-3-1-1
soccer,40,1655-834-186-9-3-1
soccer,42,657-310-32-8-3-1
soccer,44,151-25-21-3-1-1
soccer,45,1058-682-140-17-3-1
soccer,47,1537-834-186-9-3-1
soccer,49,515-252-135-17-3-1
soccer,50,33-27-23-6-3-1
soccer,51,1153-644-165-30-2-1
soccer,52,1316-664-12-3-1-1
soccer,54,1023-664-12-3-1-1
soccer,55,1537-834-186-9-3-1
soccer,56,937-629-21-3-1-1
soccer,57,151-25-21-3-1-1
soccer,58,1120-380-152-17-3-1
soccer,60,791-535-135-17-3-1
soccer,62,1050-679-199-17-3-1
soccer,65,1690-559-45-10-1-1
soccer,66,1537-834-186-9-3-1
soccer,67,1601-443-76-5-1-1
soccer,68,146-114-69-23-3-1
soccer,69,215-104-57-20-4-1
soccer,70,1223-632-75-6-3-1
soccer,71,899-610-199-17-3-1
soccer,73,1050-679-199-17-3-1
soccer,74,656-310-32-8-3-1
soccer,76,1033-459-77-5-1-1
soccer,77,252-127-62-25-4-1
soccer,78,386-274-140-17-3-1
soccer,79,1081-689-180-31-2-1
soccer,80,146-114-69-23-3-1
soccer,81,787-345-22-3-1-1
soccer,82,899-610-199-17-3-1
soccer,83,10-9-7-7-1-1
soccer,85,1064-274-140-17-3-1
soccer,87,1112-530-77-5-1-1
soccer,88,101-78-50-21-2-1
soccer,90,774-378-28-3-1-1
soccer,91,258-182-105-30-2-1
soccer,92,1023-664-12-3-1-1
soccer,93,924-296-78-8-3-1
soccer,97,135-104-57-20-4-1
soccer,105,263-187-18-11-4-1
soccer,106,844-571-19-12-2-1
soccer,107,1316-664-12-3-1-1
soccer,108,1077-688-80-17-3-1
soccer,109,146-114-69-23-3-1
soccer,111,664-443-76-5-1-1
soccer,112,677-462-176-17-3-1
soccer,114,244-95-62-25-4-1
soccer,115,1489-795-140-17-3-1
soccer,116,627-431-117-28-1-1
soccer,117,594-412-164-6-3-1
soccer,121,802-540-188-26-2-1
soccer,122,1678-258-82-28-1-1
soccer,123,821-555-80-17-3-1
soccer,126,19-3-3-3-1-1
soccer,132,146-114-69-23-3-1
soccer,134,1233-443-76-5-1-1
soccer,135,1135-664-12-3-1-1
soccer,145,1489-795-140-17-3-1
soccer,146,1316-664-12-3-1-1
soccer,148,47-39-31-10-1-1
soccer,149,449-321-149-10-1-1
soccer,150,1220-560-81-3-1-1
soccer,151,1046-677-45-10-1-1
soccer,152,735-500-74-17-3-1
soccer,158,1659-116-79-24-2-1
soccer,160,150-118-81-3-1-1
soccer,161,1552-723-38-17-3-1
soccer,162,232-165-41-13-1-1
soccer,163,621-427-83-19-4-1
soccer,181,1172-570-74-17-3-1
soccer,182,1552-723-38-17-3-1
soccer,183,146-114-69-23-3-1
soccer,184,675-460-152-17-3-1
soccer,185,1244-546-156-26-2-1
soccer,189,899-610-199-17-3-1
soccer,190,907-560-81-3-1-1
soccer,191,1601-443-76-5-1-1
soccer,192,709-451-164-6-3-1
soccer,193,146-114-69-23-3-1
soccer,194,3-3-3-3-1-1
soccer,202,139-108-72-9-3-1
soccer,206,840-194-117-28-1-1
soccer,207,1524-815-212-29-3-1
soccer,208,327-231-128-30-2-1
soccer,209,232-165-41-13-1-1
soccer,210,1544-773-206-14-2-1
soccer,211,49-22-18-11-4-1
soccer,212,1076-201-18-11-4-1
soccer,213,998-655-19-12-2-1
soccer,214,1336-50-28-3-1-1
soccer,215,1540-553-74-17-3-1
soccer,216,1050-679-199-17-3-1
soccer,221,821-555-80-17-3-1
soccer,222,850-574-147-3-1-1
soccer,223,745-508-155-6-3-1
soccer,225,968-639-82-28-1-1
soccer,226,48-40-21-3-1-1
soccer,227,1188-736-172-9-3-1
soccer,229,83-72-48-20-4-1
soccer,231,199-120-51-20-4-1
soccer,232,1537-834-186-9-3-1
soccer,233,1041-675-144-10-1-1
soccer,235,228-163-98-11-4-1
soccer,236,484-337-118-10-1-1
soccer,237,472-333-81-3-1-1
soccer,238,1046-677-45-10-1-1
soccer,239,126-96-14-3-1-1
soccer,240,968-639-82-28-1-1
soccer,241,745-508-155-6-3-1
soccer,244,509-7-3-3-1-1
soccer,246,1123-549-103-19-4-1
soccer,247,535-114-69-23-3-1
soccer,250,166-85-56-20-4-1
soccer,258,1234-755-39-10-1-1
soccer,259,371-107-71-27-2-1
soccer,260,17-12-2-2-1-1
soccer,261,967-380-152-17-3-1
soccer,262,410-291-72-9-3-1
soccer,264,1360-803-171-26-2-1
soccer,269,904-28-24-13-1-1
soccer,274,504-350-12-3-1-1
soccer,276,171-75-48-20-4-1
soccer,282,146-114-69-23-3-1
soccer,283,899-610-199-17-3-1
soccer,287,561-387-87-19-4-1
soccer,288,804-505-74-17-3-1
soccer,289,1660-99-64-26-2-1
soccer,293,973-443-76-5-1-1
soccer,294,382-271-136-2-1-1
soccer,295,950-624-136-2-1-1
soccer,296,850-574-147-3-1-1
soccer,299,1169-723-38-17-3-1
soccer,306,1046-677-45-10-1-1
soccer,307,1166-612-28-3-1-1
soccer,311,804-505-74-17-3-1
soccer,312,1064-274-140-17-3-1
soccer,316,634-3-3-3-1-1
soccer,318,492-40-21-3-1-1
soccer,355,973-443-76-5-1-1
soccer,357,841-570-74-17-3-1
soccer,358,628-304-117-28-1-1
soccer,359,141-108-72-9-3-1
soccer,360,1148-124-83-19-4-1
soccer,362,610-422-164-6-3-1
soccer,363,464-142-88-22-4-1
soccer,364,438-314-146-8-3-1
soccer,365,454-323-108-28-1-1
soccer,366,1342-797-183-21-2-1
soccer,367,399-283-128-30-2-1
soccer,368,973-443-76-5-1-1
soccer,372,1023-664-12-3-1-1
soccer,373,755-516-169-10-1-1
soccer,374,443-318-81-3-1-1
soccer,376,683-466-117-28-1-1
soccer,378,1555-685-34-9-3-1
soccer,379,709-451-164-6-3-1
soccer,380,669-431-117-28-1-1
soccer,382,214-152-39-10-1-1
soccer,383,1144-315-147-3-1-1
soccer,384,101-78-50-21-2-1
soccer,385,443-318-81-3-1-1
soccer,386,1341-124-83-19-4-1
soccer,387,1233-443-76-5-1-1
soccer,388,1023-664-12-3-1-1
soccer,389,313-98-51-20-4-1
soccer,393,171-75-48-20-4-1
soccer,400,102-79-51-20-4-1
soccer,402,1582-623-162-24-2-1
soccer,404,176-72-48-20-4-1
soccer,411,146-114-69-23-3-1
soccer,415,108-76-29-15-4-1
soccer,416,155-72-48-20-4-1
soccer,444,113-86-57-20-4-1
soccer,451,899-610-199-17-3-1
soccer,453,389-276-141-17-3-1
soccer,455,185-72-48-20-4-1
soccer,458,1552-723-38-17-3-1
soccer,459,1064-274-140-17-3-1
soccer,460,120-72-48-20-4-1
