Sub,word_ID_full,topic
socialism,95,17-1-1
socialism,97,2-1-1
socialism,100,17-1-1
socialism,124,25-3-1
socialism,204,20-1-1
socialism,217,13-3-1
socialism,229,26-3-1
socialism,231,3-1-1
socialism,246,16-1-1
socialism,253,12-1-1
socialism,254,17-1-1
socialism,275,1-1-1
socialism,276,1-1-1
socialism,277,19-1-1
socialism,278,5-1-1
socialism,279,15-3-1
socialism,280,15-3-1
socialism,281,15-3-1
socialism,289,26-3-1
socialism,303,5-1-1
socialism,316,26-3-1
socialism,317,26-3-1
socialism,389,9-1-1
socialism,400,15-3-1
socialism,415,8-1-1
socialism,416,8-1-1
socialism,426,12-1-1
socialism,438,26-3-1
socialism,444,16-1-1
socialism,447,26-3-1
socialism,455,15-3-1
socialism,460,20-1-1
socialism,462,13-3-1
socialism,470,9-1-1
socialism,474,12-1-1
socialism,476,12-1-1
socialism,489,15-3-1
socialism,498,24-3-1
socialism,506,22-3-1
socialism,508,4-1-1
socialism,512,13-3-1
socialism,538,26-3-1
socialism,543,16-1-1
socialism,552,1-1-1
socialism,553,12-1-1
socialism,555,22-3-1
socialism,557,18-3-1
socialism,560,1-1-1
socialism,563,6-1-1
socialism,567,4-1-1
socialism,579,2-1-1
socialism,581,20-1-1
socialism,585,16-1-1
socialism,615,15-3-1
socialism,621,18-3-1
socialism,622,23-3-1
socialism,626,15-3-1
socialism,629,16-1-1
socialism,633,15-3-1
socialism,634,15-3-1
socialism,635,16-1-1
socialism,640,6-1-1
socialism,644,6-1-1
socialism,648,12-1-1
socialism,658,16-1-1
socialism,665,1-1-1
socialism,666,26-3-1
socialism,669,26-3-1
socialism,671,12-1-1
socialism,673,26-3-1
socialism,678,12-1-1
socialism,681,18-3-1
socialism,685,17-1-1
socialism,690,13-3-1
socialism,693,2-1-1
socialism,698,15-3-1
socialism,699,15-3-1
socialism,766,15-3-1
socialism,806,17-1-1
socialism,807,15-3-1
socialism,808,22-3-1
socialism,809,1-1-1
socialism,812,22-3-1
socialism,813,17-1-1
socialism,817,15-3-1
socialism,844,14-2-1
socialism,859,9-1-1
socialism,881,24-3-1
socialism,884,13-3-1
socialism,911,12-1-1
socialism,912,9-1-1
socialism,915,17-1-1
socialism,920,9-1-1
socialism,942,19-1-1
socialism,986,20-1-1
socialism,987,17-1-1
socialism,990,26-3-1
socialism,1018,8-1-1
socialism,1020,9-1-1
socialism,1025,2-1-1
socialism,1027,10-2-1
socialism,1033,8-1-1
socialism,1046,4-1-1
socialism,1048,6-1-1
socialism,1049,10-2-1
socialism,1050,15-3-1
socialism,1052,16-1-1
socialism,1054,6-1-1
socialism,1055,6-1-1
socialism,1060,21-3-1
socialism,1062,12-1-1
socialism,1068,8-1-1
socialism,1069,3-1-1
socialism,1090,1-1-1
socialism,1099,5-1-1
socialism,1120,22-3-1
socialism,1125,1-1-1
socialism,1140,12-1-1
socialism,1145,14-2-1
socialism,1146,14-2-1
socialism,1149,21-3-1
socialism,1161,12-1-1
socialism,1163,17-1-1
socialism,1168,6-1-1
socialism,1173,25-3-1
socialism,1174,5-1-1
socialism,1192,6-1-1
socialism,1193,15-3-1
socialism,1194,6-1-1
socialism,1195,12-1-1
socialism,1199,14-2-1
socialism,1226,15-3-1
socialism,1227,17-1-1
socialism,1249,26-3-1
socialism,1266,14-2-1
socialism,1267,22-3-1
socialism,1317,20-1-1
socialism,1322,14-2-1
socialism,1334,13-3-1
socialism,1336,18-3-1
socialism,1341,16-1-1
socialism,1342,2-1-1
socialism,1343,15-3-1
socialism,1345,2-1-1
socialism,1351,12-1-1
socialism,1360,3-1-1
socialism,1366,15-3-1
socialism,1367,4-1-1
socialism,1399,15-3-1
socialism,1400,9-1-1
socialism,1402,15-3-1
socialism,1403,13-3-1
socialism,1407,1-1-1
socialism,1458,6-1-1
socialism,1476,12-1-1
socialism,1483,5-1-1
socialism,1488,15-3-1
socialism,1493,4-1-1
socialism,1496,1-1-1
socialism,1499,21-3-1
socialism,1500,17-1-1
socialism,1502,17-1-1
socialism,1506,22-3-1
socialism,1507,23-3-1
socialism,1512,15-3-1
socialism,1513,26-3-1
socialism,1514,13-3-1
socialism,1520,9-1-1
socialism,1523,14-2-1
socialism,1529,6-1-1
socialism,1533,6-1-1
socialism,1535,26-3-1
socialism,1537,18-3-1
socialism,1603,26-3-1
socialism,1604,3-1-1
socialism,1605,26-3-1
socialism,1606,1-1-1
socialism,1607,17-1-1
socialism,1642,9-1-1
socialism,1668,13-3-1
socialism,1670,22-3-1
socialism,1692,20-1-1
socialism,1721,25-3-1
socialism,1723,7-1-1
socialism,1724,15-3-1
socialism,1725,13-3-1
socialism,1733,22-3-1
socialism,1742,4-1-1
socialism,1744,22-3-1
socialism,1762,17-1-1
socialism,1763,20-1-1
socialism,1765,20-1-1
socialism,1791,1-1-1
socialism,1795,18-3-1
socialism,1802,14-2-1
socialism,1803,9-1-1
socialism,1820,4-1-1
socialism,1822,17-1-1
socialism,1993,5-1-1
socialism,2012,9-1-1
socialism,2014,26-3-1
socialism,2016,12-1-1
socialism,2029,6-1-1
socialism,2031,9-1-1
socialism,2037,14-2-1
socialism,2058,26-3-1
socialism,2068,9-1-1
socialism,2070,9-1-1
socialism,2071,2-1-1
socialism,2114,4-1-1
socialism,2117,23-3-1
socialism,2173,3-1-1
socialism,2240,1-1-1
socialism,2247,7-1-1
socialism,2250,3-1-1
socialism,2263,19-1-1
socialism,2264,22-3-1
socialism,2266,12-1-1
socialism,2271,15-3-1
socialism,2272,15-3-1
socialism,2327,22-3-1
socialism,2443,13-3-1
socialism,2462,6-1-1
socialism,2472,15-3-1
socialism,2478,16-1-1
socialism,2513,16-1-1
socialism,2516,19-1-1
socialism,2537,6-1-1
socialism,2543,22-3-1
socialism,2546,8-1-1
socialism,2549,1-1-1
socialism,2551,6-1-1
socialism,2557,1-1-1
socialism,2559,13-3-1
socialism,2565,12-1-1
socialism,2568,12-1-1
socialism,2583,17-1-1
socialism,2588,15-3-1
socialism,2589,12-1-1
socialism,2637,16-1-1
socialism,2718,14-2-1
socialism,2735,16-1-1
socialism,2757,22-3-1
socialism,2809,13-3-1
socialism,2830,13-3-1
socialism,2865,13-3-1
socialism,2908,16-1-1
socialism,2909,22-3-1
socialism,2917,16-1-1
socialism,3003,22-3-1
socialism,3017,18-3-1
socialism,3029,22-3-1
socialism,3078,8-1-1
socialism,3120,9-1-1
socialism,3160,15-3-1
socialism,3166,22-3-1
socialism,3180,26-3-1
socialism,3237,13-3-1
socialism,3313,9-1-1
socialism,3314,9-1-1
socialism,3315,9-1-1
socialism,3334,5-1-1
socialism,3351,15-3-1
socialism,3354,15-3-1
socialism,3368,14-2-1
socialism,3388,13-3-1
socialism,3389,26-3-1
socialism,3390,15-3-1
socialism,3392,6-1-1
socialism,3393,26-3-1
socialism,3394,13-3-1
socialism,3400,16-1-1
socialism,3408,8-1-1
socialism,3409,22-3-1
socialism,3413,13-3-1
socialism,3416,1-1-1
socialism,3463,17-1-1
socialism,3490,13-3-1
socialism,3508,18-3-1
socialism,3585,16-1-1
socialism,3588,9-1-1
socialism,3589,15-3-1
socialism,3631,26-3-1
socialism,3637,6-1-1
socialism,3659,1-1-1
socialism,3668,2-1-1
socialism,3700,12-1-1
socialism,3719,26-3-1
socialism,3720,20-1-1
socialism,3722,26-3-1
socialism,3723,21-3-1
socialism,3760,3-1-1
socialism,3766,17-1-1
socialism,3811,13-3-1
socialism,3822,26-3-1
socialism,3919,9-1-1
socialism,3935,1-1-1
socialism,4012,12-1-1
socialism,4024,15-3-1
socialism,4033,6-1-1
socialism,4038,22-3-1
socialism,4040,15-3-1
socialism,4062,17-1-1
socialism,4066,2-1-1
socialism,4067,17-1-1
socialism,4069,17-1-1
socialism,4078,26-3-1
socialism,4079,26-3-1
socialism,4096,15-3-1
socialism,4138,15-3-1
socialism,4158,2-1-1
