Sub,word_ID_full,topic
twoxchromosomes,69,27-2-1-1
twoxchromosomes,75,19-1-1-1
twoxchromosomes,95,2-2-1-1
twoxchromosomes,97,21-2-1-1
twoxchromosomes,100,28-2-1-1
twoxchromosomes,102,20-1-1-1
twoxchromosomes,166,27-2-1-1
twoxchromosomes,169,15-5-1-1
twoxchromosomes,170,12-4-1-1
twoxchromosomes,172,2-2-1-1
twoxchromosomes,176,36-3-1-1
twoxchromosomes,179,2-2-1-1
twoxchromosomes,204,14-1-1-1
twoxchromosomes,217,8-6-1-1
twoxchromosomes,224,16-4-1-1
twoxchromosomes,229,2-2-1-1
twoxchromosomes,231,14-1-1-1
twoxchromosomes,241,26-2-1-1
twoxchromosomes,246,27-2-1-1
twoxchromosomes,248,12-4-1-1
twoxchromosomes,253,4-2-1-1
twoxchromosomes,254,4-2-1-1
twoxchromosomes,265,12-4-1-1
twoxchromosomes,266,12-4-1-1
twoxchromosomes,267,15-5-1-1
twoxchromosomes,268,5-4-1-1
twoxchromosomes,275,27-2-1-1
twoxchromosomes,289,16-4-1-1
twoxchromosomes,300,16-4-1-1
twoxchromosomes,301,16-4-1-1
twoxchromosomes,302,16-4-1-1
twoxchromosomes,303,16-4-1-1
twoxchromosomes,304,16-4-1-1
twoxchromosomes,329,2-2-1-1
twoxchromosomes,330,14-1-1-1
twoxchromosomes,335,15-5-1-1
twoxchromosomes,338,2-2-1-1
twoxchromosomes,361,27-2-1-1
twoxchromosomes,389,37-2-1-1
twoxchromosomes,391,28-2-1-1
twoxchromosomes,392,6-5-1-1
twoxchromosomes,394,23-5-1-1
twoxchromosomes,396,12-4-1-1
twoxchromosomes,397,30-4-1-1
twoxchromosomes,400,6-5-1-1
twoxchromosomes,404,33-2-1-1
twoxchromosomes,405,16-4-1-1
twoxchromosomes,415,10-1-1-1
twoxchromosomes,416,11-6-1-1
twoxchromosomes,420,38-3-1-1
twoxchromosomes,426,13-5-1-1
twoxchromosomes,427,10-1-1-1
twoxchromosomes,428,12-4-1-1
twoxchromosomes,429,12-4-1-1
twoxchromosomes,430,4-2-1-1
twoxchromosomes,432,10-1-1-1
twoxchromosomes,433,16-4-1-1
twoxchromosomes,435,5-4-1-1
twoxchromosomes,436,16-4-1-1
twoxchromosomes,437,6-5-1-1
twoxchromosomes,438,27-2-1-1
twoxchromosomes,444,8-6-1-1
twoxchromosomes,447,4-2-1-1
twoxchromosomes,449,11-6-1-1
twoxchromosomes,455,2-2-1-1
twoxchromosomes,456,2-2-1-1
twoxchromosomes,457,4-2-1-1
twoxchromosomes,460,3-3-1-1
twoxchromosomes,461,3-3-1-1
twoxchromosomes,462,3-3-1-1
twoxchromosomes,467,3-3-1-1
twoxchromosomes,468,3-3-1-1
twoxchromosomes,469,3-3-1-1
twoxchromosomes,470,3-3-1-1
twoxchromosomes,474,3-3-1-1
twoxchromosomes,476,21-2-1-1
twoxchromosomes,489,16-4-1-1
twoxchromosomes,498,33-2-1-1
twoxchromosomes,499,13-5-1-1
twoxchromosomes,501,24-3-1-1
twoxchromosomes,506,27-2-1-1
twoxchromosomes,508,27-2-1-1
twoxchromosomes,510,36-3-1-1
twoxchromosomes,512,2-2-1-1
twoxchromosomes,515,36-3-1-1
twoxchromosomes,532,32-2-1-1
twoxchromosomes,539,17-2-1-1
twoxchromosomes,547,34-2-1-1
twoxchromosomes,552,8-6-1-1
twoxchromosomes,553,14-1-1-1
twoxchromosomes,555,4-2-1-1
twoxchromosomes,557,8-6-1-1
twoxchromosomes,560,8-6-1-1
twoxchromosomes,561,1-1-1-1
twoxchromosomes,563,27-2-1-1
twoxchromosomes,565,17-2-1-1
twoxchromosomes,566,27-2-1-1
twoxchromosomes,567,27-2-1-1
twoxchromosomes,568,27-2-1-1
twoxchromosomes,570,31-2-1-1
twoxchromosomes,571,36-3-1-1
twoxchromosomes,579,18-2-1-1
twoxchromosomes,580,11-6-1-1
twoxchromosomes,581,7-1-1-1
twoxchromosomes,583,24-3-1-1
twoxchromosomes,585,11-6-1-1
twoxchromosomes,590,5-4-1-1
twoxchromosomes,605,11-6-1-1
twoxchromosomes,608,21-2-1-1
twoxchromosomes,609,37-2-1-1
twoxchromosomes,610,2-2-1-1
twoxchromosomes,615,18-2-1-1
twoxchromosomes,616,5-4-1-1
twoxchromosomes,617,1-1-1-1
twoxchromosomes,618,8-6-1-1
twoxchromosomes,621,20-1-1-1
twoxchromosomes,622,2-2-1-1
twoxchromosomes,624,27-2-1-1
twoxchromosomes,625,8-6-1-1
twoxchromosomes,626,2-2-1-1
twoxchromosomes,628,32-2-1-1
twoxchromosomes,632,19-1-1-1
twoxchromosomes,633,29-2-1-1
twoxchromosomes,634,3-3-1-1
twoxchromosomes,635,3-3-1-1
twoxchromosomes,637,33-2-1-1
twoxchromosomes,640,14-1-1-1
twoxchromosomes,644,9-2-1-1
twoxchromosomes,648,29-2-1-1
twoxchromosomes,666,11-6-1-1
twoxchromosomes,669,4-2-1-1
twoxchromosomes,670,27-2-1-1
twoxchromosomes,671,10-1-1-1
twoxchromosomes,673,27-2-1-1
twoxchromosomes,676,3-3-1-1
twoxchromosomes,678,3-3-1-1
twoxchromosomes,679,14-1-1-1
twoxchromosomes,680,19-1-1-1
twoxchromosomes,681,3-3-1-1
twoxchromosomes,683,3-3-1-1
twoxchromosomes,684,8-6-1-1
twoxchromosomes,685,1-1-1-1
twoxchromosomes,687,15-5-1-1
twoxchromosomes,688,12-4-1-1
twoxchromosomes,690,13-5-1-1
twoxchromosomes,693,14-1-1-1
twoxchromosomes,695,2-2-1-1
twoxchromosomes,737,29-2-1-1
twoxchromosomes,738,20-1-1-1
twoxchromosomes,741,20-1-1-1
twoxchromosomes,766,6-5-1-1
twoxchromosomes,779,15-5-1-1
twoxchromosomes,781,17-2-1-1
twoxchromosomes,784,14-1-1-1
