Sub,word_ID_full,topic
twoxchromosomes,69,130-4-2-1-1
twoxchromosomes,75,219-25-7-1-1
twoxchromosomes,95,149-9-4-1-1
twoxchromosomes,97,170-10-5-1-1
twoxchromosomes,100,122-9-4-1-1
twoxchromosomes,102,156-10-5-1-1
twoxchromosomes,166,126-31-2-1-1
twoxchromosomes,169,75-13-6-1-1
twoxchromosomes,170,224-13-6-1-1
twoxchromosomes,172,3-3-2-1-1
twoxchromosomes,176,210-16-6-1-1
twoxchromosomes,179,255-1-1-1-1
twoxchromosomes,204,20-23-4-1-1
twoxchromosomes,217,12-9-4-1-1
twoxchromosomes,224,254-17-6-1-1
twoxchromosomes,229,161-4-2-1-1
twoxchromosomes,231,58-9-4-1-1
twoxchromosomes,241,110-24-3-1-1
twoxchromosomes,246,254-17-6-1-1
twoxchromosomes,248,224-13-6-1-1
twoxchromosomes,253,118-12-2-1-1
twoxchromosomes,254,192-12-2-1-1
twoxchromosomes,265,235-13-6-1-1
twoxchromosomes,266,235-13-6-1-1
twoxchromosomes,267,141-16-6-1-1
twoxchromosomes,268,123-14-5-1-1
twoxchromosomes,275,254-17-6-1-1
twoxchromosomes,289,151-16-6-1-1
twoxchromosomes,300,254-17-6-1-1
twoxchromosomes,301,254-17-6-1-1
twoxchromosomes,302,254-17-6-1-1
twoxchromosomes,303,254-17-6-1-1
twoxchromosomes,304,254-17-6-1-1
twoxchromosomes,329,114-30-7-1-1
twoxchromosomes,330,118-12-2-1-1
twoxchromosomes,335,208-17-6-1-1
twoxchromosomes,338,12-9-4-1-1
twoxchromosomes,361,126-31-2-1-1
twoxchromosomes,389,237-32-2-1-1
twoxchromosomes,391,193-29-7-1-1
twoxchromosomes,392,140-8-4-1-1
twoxchromosomes,394,201-20-6-1-1
twoxchromosomes,396,221-7-3-1-1
twoxchromosomes,397,71-27-6-1-1
twoxchromosomes,400,76-9-4-1-1
twoxchromosomes,404,122-9-4-1-1
twoxchromosomes,405,122-9-4-1-1
twoxchromosomes,415,10-8-4-1-1
twoxchromosomes,416,105-23-4-1-1
twoxchromosomes,420,239-4-2-1-1
twoxchromosomes,426,90-13-6-1-1
twoxchromosomes,427,10-8-4-1-1
twoxchromosomes,428,90-13-6-1-1
twoxchromosomes,429,90-13-6-1-1
twoxchromosomes,430,12-9-4-1-1
twoxchromosomes,432,101-13-6-1-1
twoxchromosomes,433,198-29-7-1-1
twoxchromosomes,435,221-7-3-1-1
twoxchromosomes,436,64-28-7-1-1
twoxchromosomes,437,251-16-6-1-1
twoxchromosomes,438,130-4-2-1-1
twoxchromosomes,444,20-23-4-1-1
twoxchromosomes,447,59-26-6-1-1
twoxchromosomes,449,89-21-5-1-1
twoxchromosomes,455,12-9-4-1-1
twoxchromosomes,456,44-4-2-1-1
twoxchromosomes,457,118-12-2-1-1
twoxchromosomes,460,188-3-2-1-1
twoxchromosomes,461,49-18-5-1-1
twoxchromosomes,462,188-3-2-1-1
twoxchromosomes,467,156-10-5-1-1
twoxchromosomes,468,188-3-2-1-1
twoxchromosomes,469,188-3-2-1-1
twoxchromosomes,470,188-3-2-1-1
twoxchromosomes,474,188-3-2-1-1
twoxchromosomes,476,156-10-5-1-1
twoxchromosomes,489,250-15-3-1-1
twoxchromosomes,498,122-9-4-1-1
twoxchromosomes,499,12-9-4-1-1
twoxchromosomes,501,29-2-2-1-1
twoxchromosomes,506,194-31-2-1-1
twoxchromosomes,508,194-31-2-1-1
twoxchromosomes,510,237-32-2-1-1
twoxchromosomes,512,237-32-2-1-1
twoxchromosomes,515,114-30-7-1-1
twoxchromosomes,532,174-25-7-1-1
twoxchromosomes,539,6-5-2-1-1
twoxchromosomes,547,199-25-7-1-1
twoxchromosomes,552,149-9-4-1-1
twoxchromosomes,553,157-19-3-1-1
twoxchromosomes,555,50-12-2-1-1
twoxchromosomes,557,131-18-5-1-1
twoxchromosomes,560,149-9-4-1-1
twoxchromosomes,561,64-28-7-1-1
twoxchromosomes,563,254-17-6-1-1
twoxchromosomes,565,64-28-7-1-1
twoxchromosomes,566,254-17-6-1-1
twoxchromosomes,567,254-17-6-1-1
twoxchromosomes,568,254-17-6-1-1
twoxchromosomes,570,200-26-6-1-1
twoxchromosomes,571,152-27-6-1-1
twoxchromosomes,579,98-24-3-1-1
twoxchromosomes,580,185-28-7-1-1
twoxchromosomes,581,81-8-4-1-1
twoxchromosomes,583,234-32-2-1-1
twoxchromosomes,585,79-21-5-1-1
twoxchromosomes,590,130-4-2-1-1
twoxchromosomes,605,12-9-4-1-1
twoxchromosomes,608,12-9-4-1-1
twoxchromosomes,609,24-15-3-1-1
twoxchromosomes,610,237-32-2-1-1
twoxchromosomes,615,140-8-4-1-1
twoxchromosomes,616,210-16-6-1-1
twoxchromosomes,617,164-2-2-1-1
twoxchromosomes,618,122-9-4-1-1
twoxchromosomes,621,149-9-4-1-1
twoxchromosomes,622,194-31-2-1-1
twoxchromosomes,624,126-31-2-1-1
twoxchromosomes,625,149-9-4-1-1
twoxchromosomes,626,194-31-2-1-1
twoxchromosomes,628,49-18-5-1-1
twoxchromosomes,632,164-2-2-1-1
twoxchromosomes,633,215-30-7-1-1
twoxchromosomes,634,3-3-2-1-1
twoxchromosomes,635,3-3-2-1-1
twoxchromosomes,637,245-31-2-1-1
twoxchromosomes,640,118-12-2-1-1
twoxchromosomes,644,24-15-3-1-1
twoxchromosomes,648,215-30-7-1-1
twoxchromosomes,666,122-9-4-1-1
twoxchromosomes,669,4-4-2-1-1
twoxchromosomes,670,130-4-2-1-1
twoxchromosomes,671,138-14-5-1-1
twoxchromosomes,673,205-20-6-1-1
twoxchromosomes,676,8-3-2-1-1
twoxchromosomes,678,8-3-2-1-1
twoxchromosomes,679,198-29-7-1-1
twoxchromosomes,680,39-18-5-1-1
twoxchromosomes,681,233-25-7-1-1
twoxchromosomes,683,3-3-2-1-1
twoxchromosomes,684,174-25-7-1-1
twoxchromosomes,685,233-25-7-1-1
twoxchromosomes,687,12-9-4-1-1
twoxchromosomes,688,151-16-6-1-1
twoxchromosomes,690,247-33-1-1-1
twoxchromosomes,693,174-25-7-1-1
twoxchromosomes,695,12-9-4-1-1
twoxchromosomes,737,229-29-7-1-1
twoxchromosomes,738,198-29-7-1-1
twoxchromosomes,741,193-29-7-1-1
twoxchromosomes,766,10-8-4-1-1
twoxchromosomes,779,209-13-6-1-1
twoxchromosomes,781,122-9-4-1-1
twoxchromosomes,784,114-30-7-1-1
twoxchromosomes,785,212-32-2-1-1
twoxchromosomes,786,216-33-1-1-1
twoxchromosomes,788,194-31-2-1-1
twoxchromosomes,794,101-13-6-1-1
twoxchromosomes,799,101-13-6-1-1
twoxchromosomes,806,149-9-4-1-1
twoxchromosomes,807,194-31-2-1-1
twoxchromosomes,808,239-4-2-1-1
twoxchromosomes,809,194-31-2-1-1
twoxchromosomes,813,163-4-2-1-1
twoxchromosomes,820,209-13-6-1-1
twoxchromosomes,840,209-13-6-1-1
twoxchromosomes,848,21-13-6-1-1
twoxchromosomes,849,77-27-6-1-1
twoxchromosomes,881,118-12-2-1-1
twoxchromosomes,882,4-4-2-1-1
twoxchromosomes,884,70-8-4-1-1
twoxchromosomes,896,19-4-2-1-1
twoxchromosomes,898,72-8-4-1-1
twoxchromosomes,911,20-23-4-1-1
twoxchromosomes,912,39-18-5-1-1
twoxchromosomes,913,12-9-4-1-1
twoxchromosomes,914,149-9-4-1-1
twoxchromosomes,915,39-18-5-1-1
twoxchromosomes,916,174-25-7-1-1
twoxchromosomes,920,118-12-2-1-1
twoxchromosomes,924,169-11-5-1-1
twoxchromosomes,937,151-16-6-1-1
twoxchromosomes,938,71-27-6-1-1
twoxchromosomes,941,147-1-1-1-1
twoxchromosomes,971,168-18-5-1-1
twoxchromosomes,973,184-28-7-1-1
twoxchromosomes,976,198-29-7-1-1
twoxchromosomes,986,116-19-3-1-1
twoxchromosomes,987,44-4-2-1-1
twoxchromosomes,989,194-31-2-1-1
twoxchromosomes,1002,29-2-2-1-1
twoxchromosomes,1006,244-13-6-1-1
twoxchromosomes,1015,200-26-6-1-1
twoxchromosomes,1018,49-18-5-1-1
twoxchromosomes,1020,31-18-5-1-1
twoxchromosomes,1025,135-18-5-1-1
twoxchromosomes,1027,233-25-7-1-1
twoxchromosomes,1033,233-25-7-1-1
twoxchromosomes,1040,174-25-7-1-1
twoxchromosomes,1046,16-8-4-1-1
twoxchromosomes,1048,132-9-4-1-1
twoxchromosomes,1049,163-4-2-1-1
twoxchromosomes,1050,44-4-2-1-1
twoxchromosomes,1052,115-4-2-1-1
twoxchromosomes,1054,108-29-7-1-1
twoxchromosomes,1055,73-8-4-1-1
twoxchromosomes,1060,114-30-7-1-1
twoxchromosomes,1062,114-30-7-1-1
twoxchromosomes,1064,114-30-7-1-1
twoxchromosomes,1065,114-30-7-1-1
twoxchromosomes,1068,49-18-5-1-1
twoxchromosomes,1069,41-9-4-1-1
twoxchromosomes,1070,49-18-5-1-1
twoxchromosomes,1085,210-16-6-1-1
twoxchromosomes,1090,141-16-6-1-1
twoxchromosomes,1091,12-9-4-1-1
twoxchromosomes,1099,17-11-5-1-1
twoxchromosomes,1100,195-30-7-1-1
twoxchromosomes,1102,64-28-7-1-1
twoxchromosomes,1112,172-18-5-1-1
twoxchromosomes,1113,169-11-5-1-1
twoxchromosomes,1120,12-9-4-1-1
twoxchromosomes,1125,49-18-5-1-1
twoxchromosomes,1127,194-31-2-1-1
twoxchromosomes,1140,105-23-4-1-1
twoxchromosomes,1149,104-21-5-1-1
twoxchromosomes,1155,143-24-3-1-1
twoxchromosomes,1158,173-10-5-1-1
twoxchromosomes,1159,156-10-5-1-1
twoxchromosomes,1160,193-29-7-1-1
twoxchromosomes,1161,156-10-5-1-1
twoxchromosomes,1162,174-25-7-1-1
twoxchromosomes,1163,193-29-7-1-1
twoxchromosomes,1164,49-18-5-1-1
twoxchromosomes,1168,123-14-5-1-1
twoxchromosomes,1173,10-8-4-1-1
twoxchromosomes,1174,175-15-3-1-1
twoxchromosomes,1175,72-8-4-1-1
twoxchromosomes,1192,56-25-7-1-1
twoxchromosomes,1193,19-4-2-1-1
twoxchromosomes,1194,56-25-7-1-1
twoxchromosomes,1195,20-23-4-1-1
twoxchromosomes,1196,20-23-4-1-1
twoxchromosomes,1197,64-28-7-1-1
twoxchromosomes,1199,35-11-5-1-1
twoxchromosomes,1219,224-13-6-1-1
twoxchromosomes,1224,164-2-2-1-1
twoxchromosomes,1226,251-16-6-1-1
twoxchromosomes,1227,251-16-6-1-1
twoxchromosomes,1228,254-17-6-1-1
twoxchromosomes,1246,154-15-3-1-1
twoxchromosomes,1249,147-1-1-1-1
twoxchromosomes,1273,123-14-5-1-1
twoxchromosomes,1308,43-2-2-1-1
twoxchromosomes,1309,239-4-2-1-1
twoxchromosomes,1310,246-33-1-1-1
twoxchromosomes,1312,186-20-6-1-1
twoxchromosomes,1317,36-11-5-1-1
twoxchromosomes,1319,175-15-3-1-1
twoxchromosomes,1321,82-23-4-1-1
twoxchromosomes,1322,134-15-3-1-1
twoxchromosomes,1323,255-1-1-1-1
twoxchromosomes,1324,243-13-6-1-1
twoxchromosomes,1334,104-21-5-1-1
twoxchromosomes,1336,24-15-3-1-1
twoxchromosomes,1338,141-16-6-1-1
twoxchromosomes,1341,256-32-2-1-1
twoxchromosomes,1343,133-31-2-1-1
twoxchromosomes,1344,256-32-2-1-1
twoxchromosomes,1345,44-4-2-1-1
twoxchromosomes,1346,192-12-2-1-1
twoxchromosomes,1347,12-9-4-1-1
twoxchromosomes,1350,198-29-7-1-1
twoxchromosomes,1351,149-9-4-1-1
twoxchromosomes,1352,116-19-3-1-1
twoxchromosomes,1356,6-5-2-1-1
twoxchromosomes,1358,118-12-2-1-1
twoxchromosomes,1359,237-32-2-1-1
twoxchromosomes,1360,117-18-5-1-1
twoxchromosomes,1364,170-10-5-1-1
twoxchromosomes,1366,173-10-5-1-1
twoxchromosomes,1367,117-18-5-1-1
twoxchromosomes,1368,188-3-2-1-1
twoxchromosomes,1386,111-12-2-1-1
twoxchromosomes,1387,118-12-2-1-1
twoxchromosomes,1388,130-4-2-1-1
twoxchromosomes,1396,247-33-1-1-1
twoxchromosomes,1399,250-15-3-1-1
twoxchromosomes,1400,121-11-5-1-1
twoxchromosomes,1402,121-11-5-1-1
twoxchromosomes,1403,250-15-3-1-1
twoxchromosomes,1406,212-32-2-1-1
twoxchromosomes,1408,190-19-3-1-1
twoxchromosomes,1409,193-29-7-1-1
twoxchromosomes,1410,61-9-4-1-1
twoxchromosomes,1411,122-9-4-1-1
twoxchromosomes,1412,169-11-5-1-1
twoxchromosomes,1432,6-5-2-1-1
twoxchromosomes,1435,174-25-7-1-1
twoxchromosomes,1458,205-20-6-1-1
twoxchromosomes,1476,111-12-2-1-1
twoxchromosomes,1480,111-12-2-1-1
twoxchromosomes,1483,111-12-2-1-1
twoxchromosomes,1493,83-14-5-1-1
twoxchromosomes,1496,20-23-4-1-1
twoxchromosomes,1499,161-4-2-1-1
twoxchromosomes,1500,216-33-1-1-1
twoxchromosomes,1502,135-18-5-1-1
twoxchromosomes,1506,194-31-2-1-1
twoxchromosomes,1507,233-25-7-1-1
twoxchromosomes,1512,118-12-2-1-1
twoxchromosomes,1514,36-11-5-1-1
twoxchromosomes,1516,12-9-4-1-1
twoxchromosomes,1518,247-33-1-1-1
twoxchromosomes,1523,208-17-6-1-1
twoxchromosomes,1526,127-31-2-1-1
twoxchromosomes,1527,118-12-2-1-1
twoxchromosomes,1528,216-33-1-1-1
twoxchromosomes,1529,88-7-3-1-1
twoxchromosomes,1530,114-30-7-1-1
twoxchromosomes,1531,163-4-2-1-1
twoxchromosomes,1535,115-4-2-1-1
twoxchromosomes,1536,91-27-6-1-1
twoxchromosomes,1537,83-14-5-1-1
twoxchromosomes,1568,137-28-7-1-1
twoxchromosomes,1571,96-13-6-1-1
twoxchromosomes,1578,122-9-4-1-1
twoxchromosomes,1585,154-15-3-1-1
twoxchromosomes,1586,169-11-5-1-1
twoxchromosomes,1587,101-13-6-1-1
twoxchromosomes,1590,139-11-5-1-1
twoxchromosomes,1591,72-8-4-1-1
twoxchromosomes,1593,256-32-2-1-1
twoxchromosomes,1597,141-16-6-1-1
twoxchromosomes,1598,255-1-1-1-1
