Sub,word,count,freq,word_ID_full
birmingham,ab,5,1.1532429190884768e-4,69
birmingham,abandoned,6,1.383891502906172e-4,97
birmingham,ability,5,1.1532429190884768e-4,231
birmingham,absentee,24,5.535566011624688e-4,405
birmingham,absolute,6,1.383891502906172e-4,415
birmingham,absolutely,24,5.535566011624688e-4,416
birmingham,accept,7,1.6145400867238676e-4,552
birmingham,accepted,12,2.767783005812344e-4,557
birmingham,accepting,5,1.1532429190884768e-4,560
birmingham,access,16,3.6903773410831256e-4,563
birmingham,account,33,7.611403265983947e-4,633
birmingham,accurate,4,9.225943352707814e-5,671
birmingham,acebook,28,6.45816034689547e-4,693
birmingham,ack,9,2.0758372543592583e-4,884
birmingham,aco,5,1.1532429190884768e-4,940
birmingham,action,7,1.6145400867238676e-4,1027
birmingham,active,8,1.8451886705415628e-4,1046
birmingham,activities,12,2.767783005812344e-4,1054
birmingham,activity,5,1.1532429190884768e-4,1055
birmingham,actual,24,5.535566011624688e-4,1069
birmingham,ad,19,4.382323092536212e-4,1099
birmingham,add,19,4.382323092536212e-4,1140
birmingham,added,28,6.45816034689547e-4,1149
birmingham,adding,5,1.1532429190884768e-4,1168
birmingham,addition,5,1.1532429190884768e-4,1173
birmingham,additional,7,1.6145400867238676e-4,1174
birmingham,address,30,6.919457514530861e-4,1192
birmingham,addressed,5,1.1532429190884768e-4,1193
birmingham,adio,5,1.1532429190884768e-4,1293
birmingham,adult,15,3.4597287572654304e-4,1476
birmingham,adults,5,1.1532429190884768e-4,1483
birmingham,advance,106,0.002444874988467571,1493
birmingham,advanced,5,1.1532429190884768e-4,1496
birmingham,advertise,5,1.1532429190884768e-4,1528
birmingham,advice,53,0.0012224374942337855,1537
birmingham,affected,6,1.383891502906172e-4,1724
birmingham,afford,11,2.537134421994649e-4,1763
birmingham,affordable,17,3.9210259249008214e-4,1765
birmingham,afraid,7,1.6145400867238676e-4,1795
birmingham,afternoon,13,2.9984315896300394e-4,1822
birmingham,age,19,4.382323092536212e-4,1993
birmingham,agencies,6,1.383891502906172e-4,2012
birmingham,agency,11,2.537134421994649e-4,2014
birmingham,aggressive,8,1.8451886705415628e-4,2070
birmingham,agic,9,2.0758372543592583e-4,2089
birmingham,ago,93,0.002145031829504567,2173
birmingham,agree,6,1.383891502906172e-4,2247
birmingham,agreed,5,1.1532429190884768e-4,2250
birmingham,agreement,5,1.1532429190884768e-4,2264
birmingham,ahaba,17,3.9210259249008214e-4,2296
birmingham,ahead,16,3.6903773410831256e-4,2327
