Sub,word,count,freq,word_ID_full
liverpool,abandoned,8,2.860207365033965e-4,97
liverpool,abroad,5,1.787629603146228e-4,389
liverpool,absolute,7,2.5026814444047195e-4,415
liverpool,absolutely,8,2.860207365033965e-4,416
liverpool,abuse,6,2.1451555237754738e-4,460
liverpool,accent,18,6.435466571326421e-4,547
liverpool,accept,14,5.005362888809439e-4,552
liverpool,accepting,8,2.860207365033965e-4,560
liverpool,access,12,4.2903110475509475e-4,563
liverpool,accommodation,19,6.792992491955667e-4,609
liverpool,account,17,6.077940650697176e-4,633
liverpool,accounts,6,2.1451555237754738e-4,648
liverpool,acebook,8,2.860207365033965e-4,693
liverpool,action,5,1.787629603146228e-4,1027
liverpool,active,9,3.2177332856632104e-4,1046
liverpool,activity,6,2.1451555237754738e-4,1055
liverpool,actual,6,2.1451555237754738e-4,1069
liverpool,ad,9,3.2177332856632104e-4,1099
liverpool,add,8,2.860207365033965e-4,1140
liverpool,added,5,1.787629603146228e-4,1149
liverpool,adding,5,1.787629603146228e-4,1168
liverpool,addressing,5,1.787629603146228e-4,1195
liverpool,adult,6,2.1451555237754738e-4,1476
liverpool,advance,41,0.001465856274579907,1493
liverpool,advertise,4,1.4301036825169826e-4,1528
liverpool,advice,72,0.0025741866285305683,1537
liverpool,adviser,76,0.002717196996782267,1593
liverpool,advisor,17,6.077940650697176e-4,1598
liverpool,affected,9,3.2177332856632104e-4,1724
liverpool,afford,10,3.575259206292456e-4,1763
liverpool,affordable,8,2.860207365033965e-4,1765
liverpool,afraid,4,1.4301036825169826e-4,1795
liverpool,afternoon,9,3.2177332856632104e-4,1822
liverpool,aftershave,76,0.002717196996782267,1831
liverpool,age,21,7.508044333214158e-4,1993
liverpool,ages,9,3.2177332856632104e-4,2037
liverpool,ago,56,0.0020021451555237756,2173
liverpool,agreement,7,2.5026814444047195e-4,2264
liverpool,aiming,7,2.5026814444047195e-4,2551
liverpool,air,5,1.787629603146228e-4,2637
liverpool,airport,6,2.1451555237754738e-4,2686
liverpool,ake,3,1.0725777618877369e-4,2865
liverpool,albums,5,1.787629603146228e-4,3135
liverpool,alderstones,5,1.787629603146228e-4,3202
liverpool,alking,2,7.150518412584913e-5,3508
liverpool,allm,5,1.787629603146228e-4,3700
liverpool,allowed,11,3.932785126921702e-4,3760
liverpool,alot,6,2.1451555237754738e-4,3935
liverpool,alright,5,1.787629603146228e-4,3983
liverpool,alternative,10,3.575259206292456e-4,4038
liverpool,altic,14,5.005362888809439e-4,4051
liverpool,alton,16,5.72041473006793e-4,4063
liverpool,amateur,4,1.4301036825169826e-4,4218
liverpool,amazing,19,6.792992491955667e-4,4230
liverpool,ambulance,4,1.4301036825169826e-4,4300
liverpool,amount,13,4.647836968180193e-4,4535
liverpool,anada,10,3.575259206292456e-4,4842
liverpool,anchester,18,6.435466571326421e-4,4985
liverpool,andor,6,2.1451555237754738e-4,5155
liverpool,ane,22,7.865570253843404e-4,5198
liverpool,anfield,4,1.4301036825169826e-4,5249
liverpool,animals,4,1.4301036825169826e-4,5439
liverpool,annoyed,13,4.647836968180193e-4,5622
liverpool,annoying,5,1.787629603146228e-4,5627
liverpool,anonymous,7,2.5026814444047195e-4,5668
liverpool,answer,9,3.2177332856632104e-4,5744
liverpool,ant,4,1.4301036825169826e-4,5760
liverpool,anti,3,1.0725777618877369e-4,5835
liverpool,anuary,11,3.932785126921702e-4,6067
liverpool,anxiety,10,3.575259206292456e-4,6108
liverpool,anymore,10,3.575259206292456e-4,6236
liverpool,anyones,4,1.4301036825169826e-4,6347
liverpool,apartment,9,3.2177332856632104e-4,6529
liverpool,apartments,5,1.787629603146228e-4,6539
liverpool,apologies,5,1.787629603146228e-4,6657
liverpool,app,15,5.362888809438684e-4,6697
liverpool,application,85,0.0030389703253485877,6774
liverpool,applied,6,2.1451555237754738e-4,6778
liverpool,apply,11,3.932785126921702e-4,6780
liverpool,applying,6,2.1451555237754738e-4,6781
liverpool,appointment,119,0.004254558455488023,6789
liverpool,appointments,81,0.0028959599570968896,6790
liverpool,appreciated,31,0.0011083303539506614,6801
liverpool,appreciatedhanks,3,1.0725777618877369e-4,6808
liverpool,approximately,5,1.787629603146228e-4,6854
liverpool,arch,6,2.1451555237754738e-4,7205
liverpool,architecture,7,2.5026814444047195e-4,7242
liverpool,arent,19,6.792992491955667e-4,7446
liverpool,argue,6,2.1451555237754738e-4,7528
liverpool,argument,4,1.4301036825169826e-4,7536
liverpool,ark,46,0.0016446192348945298,7670
liverpool,arm,57,0.0020378977475867,7784
liverpool,arms,38,0.0013585984983911334,7835
liverpool,arrington,7,2.5026814444047195e-4,8081
liverpool,arrived,6,2.1451555237754738e-4,8097
liverpool,art,6,2.1451555237754738e-4,8208
liverpool,article,4,1.4301036825169826e-4,8273
liverpool,articles,9,3.2177332856632104e-4,8276
liverpool,artists,7,2.5026814444047195e-4,8320
liverpool,ashamed,4,1.4301036825169826e-4,8570
liverpool,asically,6,2.1451555237754738e-4,8632
liverpool,assertive,76,0.002717196996782267,8876
liverpool,assumes,5,1.787629603146228e-4,8982
liverpool,assuming,5,1.787629603146228e-4,8983
liverpool,ast,10,3.575259206292456e-4,9002
liverpool,asters,8,2.860207365033965e-4,9045
liverpool,ate,6,2.1451555237754738e-4,9256
liverpool,atm,6,2.1451555237754738e-4,9457
liverpool,attend,6,2.1451555237754738e-4,9614
liverpool,aturday,13,4.647836968180193e-4,9748
liverpool,automatic,5,1.787629603146228e-4,10079
liverpool,ave,9,3.2177332856632104e-4,10185
liverpool,average,6,2.1451555237754738e-4,10211
liverpool,avertree,8,2.860207365033965e-4,10236
liverpool,aving,3,1.0725777618877369e-4,10287
liverpool,avoid,23,8.223096174472649e-4,10322
liverpool,aware,22,7.865570253843404e-4,10389
liverpool,awful,8,2.860207365033965e-4,10445
liverpool,awkward,7,2.5026814444047195e-4,10469
liverpool,awwww,5,1.787629603146228e-4,10507
liverpool,awwwww,12,4.2903110475509475e-4,10508
liverpool,ay,19,6.792992491955667e-4,10562
liverpool,aybe,4,1.4301036825169826e-4,10581
liverpool,background,7,2.5026814444047195e-4,10932
liverpool,bad,40,0.0014301036825169824,11039
liverpool,band,4,1.4301036825169826e-4,11199
liverpool,bands,13,4.647836968180193e-4,11219
liverpool,bank,8,2.860207365033965e-4,11234
liverpool,bar,58,0.0020736503396496246,11274
liverpool,barely,7,2.5026814444047195e-4,11306
liverpool,bars,12,4.2903110475509475e-4,11366
liverpool,based,23,8.223096174472649e-4,11643
liverpool,basic,5,1.787629603146228e-4,11654
liverpool,basically,15,5.362888809438684e-4,11655
liverpool,basis,7,2.5026814444047195e-4,11665
liverpool,beach,7,2.5026814444047195e-4,11807
liverpool,beating,5,1.787629603146228e-4,11854
liverpool,beautiful,11,3.932785126921702e-4,11861
liverpool,bed,21,7.508044333214158e-4,11895
liverpool,bedroom,9,3.2177332856632104e-4,11920
liverpool,beer,4,1.4301036825169826e-4,11955
liverpool,behaviour,5,1.787629603146228e-4,12057
liverpool,benefit,9,3.2177332856632104e-4,12188
liverpool,benefits,7,2.5026814444047195e-4,12191
liverpool,bf,4,1.4301036825169826e-4,12383
liverpool,bike,19,6.792992491955667e-4,12461
liverpool,bikes,4,1.4301036825169826e-4,12466
liverpool,bills,9,3.2177332856632104e-4,12505
liverpool,bin,5,1.787629603146228e-4,12519
liverpool,bins,6,2.1451555237754738e-4,12542
liverpool,birthday,10,3.575259206292456e-4,12625
liverpool,bit,184,0.006578476939578119,12658
liverpool,bits,6,2.1451555237754738e-4,12693
liverpool,black,22,7.865570253843404e-4,12729
liverpool,blanks,5,1.787629603146228e-4,12795
liverpool,book,26,9.295673936360387e-4,13201
liverpool,booked,11,3.932785126921702e-4,13203
liverpool,booking,12,4.2903110475509475e-4,13206
liverpool,books,4,1.4301036825169826e-4,13216
liverpool,bored,3,1.0725777618877369e-4,13272
liverpool,born,6,2.1451555237754738e-4,13283
liverpool,boss,8,2.860207365033965e-4,13303
liverpool,bother,9,3.2177332856632104e-4,13322
liverpool,bothered,5,1.787629603146228e-4,13323
liverpool,bottom,91,0.0032534858777261352,13343
liverpool,bought,11,3.932785126921702e-4,13370
liverpool,bouncers,6,2.1451555237754738e-4,13381
liverpool,box,6,2.1451555237754738e-4,13426
liverpool,boyfriend,30,0.0010725777618877368,13448
liverpool,brand,5,1.787629603146228e-4,13576
liverpool,break,5,1.787629603146228e-4,13621
liverpool,bridge,4,1.4301036825169826e-4,13737
liverpool,bring,9,3.2177332856632104e-4,13772
